Dates,AUD,BRL,CAD,CHF,COP,CZK,EUR,GBP,HKD,HUF,IDR,INR,JPY,KRW,MXN,MYR,NOK,NZD,PEN,PHP,PLN,RUB,SEK,SGD,THB,TRY,TWD,ZAR,,,,,,,,,
20/05/1997,127.9252,#N/A N/A,114.2694,105.8876,#N/A N/A,#N/A N/A,101.3129,96.8907,96.7097,#N/A N/A,#N/A N/A,#N/A N/A,109.1117,#N/A N/A,#N/A N/A,#N/A N/A,109.7587,127.8254,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,110.9054,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,109.785,,,,,,,,,
21/05/1997,130.0436,#N/A N/A,114.0587,104.2528,#N/A N/A,#N/A N/A,101.3028,96.466,96.7114,#N/A N/A,#N/A N/A,#N/A N/A,107.4575,#N/A N/A,#N/A N/A,#N/A N/A,108.6393,128.1433,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,109.6974,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,110.0148,,,,,,,,,
22/05/1997,128.7725,#N/A N/A,113.6912,103.676,#N/A N/A,#N/A N/A,101.3804,95.0869,96.7132,#N/A N/A,#N/A N/A,#N/A N/A,105.7427,#N/A N/A,#N/A N/A,#N/A N/A,109.1893,127.5038,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,108.7105,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,109.7274,,,,,,,,,
23/05/1997,126.7884,#N/A N/A,113.5154,104.4425,#N/A N/A,#N/A N/A,101.5106,95.6869,96.7162,#N/A N/A,#N/A N/A,#N/A N/A,106.1512,#N/A N/A,#N/A N/A,#N/A N/A,108.5697,127.4351,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,108.8031,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,109.7848,,,,,,,,,
26/05/1997,126.838,#N/A N/A,113.4473,105.1749,#N/A N/A,#N/A N/A,101.5005,96.0175,96.6914,#N/A N/A,#N/A N/A,#N/A N/A,105.5733,#N/A N/A,#N/A N/A,#N/A N/A,108.8913,127.4403,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,108.5785,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,109.7685,,,,,,,,,
27/05/1997,126.4243,#N/A N/A,112.651,103.1514,#N/A N/A,#N/A N/A,100.798,95.5695,96.6967,#N/A N/A,#N/A N/A,#N/A N/A,105.1634,#N/A N/A,#N/A N/A,#N/A N/A,107.859,127.2429,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,107.8012,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,109.8012,,,,,,,,,
28/05/1997,126.4902,#N/A N/A,112.9832,103.865,#N/A N/A,#N/A N/A,100.902,96.0177,96.6595,#N/A N/A,#N/A N/A,#N/A N/A,106.0153,#N/A N/A,#N/A N/A,#N/A N/A,108.4446,127.1376,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,107.6073,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,109.8704,,,,,,,,,
29/05/1997,126.6717,#N/A N/A,113.0547,103.7809,#N/A N/A,#N/A N/A,100.9446,95.9916,96.6709,#N/A N/A,#N/A N/A,#N/A N/A,105.4839,#N/A N/A,#N/A N/A,#N/A N/A,108.3076,127.1244,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,107.4813,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,110.0502,,,,,,,,,
30/05/1997,125.6625,#N/A N/A,113.3482,103.5793,#N/A N/A,#N/A N/A,100.4439,95.948,96.6741,#N/A N/A,#N/A N/A,#N/A N/A,105.4267,#N/A N/A,#N/A N/A,#N/A N/A,107.7132,126.9454,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,106.9459,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,110.0699,,,,,,,,,
02/06/1997,125.0832,#N/A N/A,113.6101,102.2877,#N/A N/A,#N/A N/A,99.3563,95.8224,96.6543,#N/A N/A,#N/A N/A,#N/A N/A,105.1258,#N/A N/A,#N/A N/A,#N/A N/A,106.7846,126.748,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,106.0977,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,110.0451,,,,,,,,,
03/06/1997,125.8431,#N/A N/A,113.3766,101.9139,#N/A N/A,#N/A N/A,99.3552,95.6967,96.6617,#N/A N/A,#N/A N/A,#N/A N/A,105.6488,#N/A N/A,#N/A N/A,#N/A N/A,107.222,126.9005,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,106.5831,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,110.1458,,,,,,,,,
04/06/1997,125.2966,#N/A N/A,113.3412,101.3744,#N/A N/A,#N/A N/A,99.214,95.6648,96.6546,#N/A N/A,#N/A N/A,#N/A N/A,105.3099,#N/A N/A,#N/A N/A,#N/A N/A,107.1822,126.7768,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,106.6681,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,109.956,,,,,,,,,
05/06/1997,125.8578,#N/A N/A,113.273,101.2803,#N/A N/A,#N/A N/A,99.1867,95.6623,96.6754,#N/A N/A,#N/A N/A,#N/A N/A,105.9724,#N/A N/A,#N/A N/A,#N/A N/A,106.8717,126.5609,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,106.8181,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,109.8894,,,,,,,,,
06/06/1997,125.9561,#N/A N/A,112.8037,100.9494,#N/A N/A,#N/A N/A,99.0981,95.5544,96.6828,#N/A N/A,#N/A N/A,#N/A N/A,107.1846,#N/A N/A,#N/A N/A,#N/A N/A,107.0546,126.9713,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,106.0625,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,109.8963,,,,,,,,,
09/06/1997,125.8891,#N/A N/A,112.3869,101.6978,#N/A N/A,#N/A N/A,100.2179,96.0089,96.6851,#N/A N/A,#N/A N/A,#N/A N/A,108.3968,#N/A N/A,#N/A N/A,#N/A N/A,108.3598,127.2344,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,106.4994,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,109.4029,,,,,,,,,
10/06/1997,125.7889,#N/A N/A,112.401,101.5189,#N/A N/A,#N/A N/A,99.7,95.872,96.6935,#N/A N/A,#N/A N/A,#N/A N/A,109.0706,#N/A N/A,#N/A N/A,#N/A N/A,106.7898,127.2396,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,106.1926,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,109.6167,,,,,,,,,
11/06/1997,124.9448,#N/A N/A,112.4231,101.7136,#N/A N/A,#N/A N/A,99.8738,95.8584,96.7178,#N/A N/A,#N/A N/A,#N/A N/A,110.059,#N/A N/A,#N/A N/A,#N/A N/A,106.7025,127.3921,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,106.7147,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,109.7702,,,,,,,,,
12/06/1997,124.1828,#N/A N/A,112.7135,101.3019,#N/A N/A,#N/A N/A,99.4434,95.6744,96.6887,#N/A N/A,#N/A N/A,#N/A N/A,107.0817,#N/A N/A,#N/A N/A,#N/A N/A,106.0245,127.3236,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,106.0841,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,109.7285,,,,,,,,,
13/06/1997,124.0657,#N/A N/A,112.8744,101.3407,#N/A N/A,#N/A N/A,98.6456,95.7658,96.7159,#N/A N/A,#N/A N/A,#N/A N/A,106.5574,#N/A N/A,#N/A N/A,#N/A N/A,105.3608,127.0158,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,106.2994,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,109.6653,,,,,,,,,
16/06/1997,123.7504,#N/A N/A,112.4651,101.3094,#N/A N/A,#N/A N/A,99.1436,95.9453,96.7207,#N/A N/A,#N/A N/A,#N/A N/A,108.0899,#N/A N/A,#N/A N/A,#N/A N/A,104.5368,127.0028,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,106.1149,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,109.756,,,,,,,,,
17/06/1997,124.2288,#N/A N/A,112.4465,101.2363,#N/A N/A,#N/A N/A,98.9411,96.0602,96.739,#N/A N/A,#N/A N/A,#N/A N/A,107.9349,#N/A N/A,#N/A N/A,#N/A N/A,105.3129,126.9897,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,106.9054,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,109.5083,,,,,,,,,
18/06/1997,123.7151,#N/A N/A,111.9033,101.0657,#N/A N/A,#N/A N/A,99.3076,96.0229,96.7257,#N/A N/A,#N/A N/A,#N/A N/A,107.7429,#N/A N/A,#N/A N/A,#N/A N/A,105.5024,126.9201,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,106.5837,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,109.5406,,,,,,,,,
19/06/1997,123.5484,#N/A N/A,112.3528,101.5407,#N/A N/A,#N/A N/A,99.3939,96.5365,96.7335,#N/A N/A,#N/A N/A,#N/A N/A,107.071,#N/A N/A,#N/A N/A,#N/A N/A,106.1767,126.611,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,106.9185,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,109.6702,,,,,,,,,
