date,price_to_book,dvd12M,price_to_earnings,liquidity
2000-04-03,3.2141,2.3059,22.4666,
2000-04-04,3.2292,2.3013,22.4321,
2000-04-05,3.2514,2.3023,22.4436,
2000-04-06,3.247,2.3059,22.4827,
2000-04-07,3.222,2.31,22.5202,
2000-04-10,3.2024,2.3047,22.4685,
2000-04-11,3.2317,2.2942,22.3657,
2000-04-12,3.2565,2.2984999999999998,22.4073,
2000-04-13,3.3077,2.2729,22.1617,
2000-04-14,3.2948,2.2843,22.2708,
2000-04-17,3.4829,2.1882,21.3362,
2000-04-18,3.4045,2.2333,21.7731,
2000-04-19,3.3416,2.2656,22.0836,
2000-04-20,3.3415,2.2613,22.0419,
2000-04-26,3.2918,2.2804,22.2267,
2000-04-27,3.3039,2.2672,22.0977,
2000-04-28,3.2941,2.2656,22.0838,
2000-05-01,3.3051,2.2426,21.8706,
2000-05-02,3.2743,2.2662,22.1022,
2000-05-03,3.2993,2.252,21.9644,
2000-05-04,3.3509,2.2362,21.8414,
2000-05-05,3.2859,2.2881,22.3729,
2000-05-08,3.2875,2.2937,22.4304,
2000-05-09,3.3088,2.2712,22.2102,
2000-05-10,3.3559,2.2374,21.8813,
2000-05-11,3.4082,2.2198,21.6473,
2000-05-12,3.3651,2.2456,21.8956,
2000-05-15,3.3479,2.2495,21.9374,
2000-05-16,3.3068,2.2698,22.1378,
2000-05-17,3.3219,2.2515,21.9609,
2000-05-18,3.3537,2.2439999999999998,21.8902,
2000-05-19,3.3603,2.2475,21.9252,
2000-05-22,3.408,2.2366,21.8192,
2000-05-23,3.3883,2.2524,21.9737,
2000-05-24,3.403,2.2511,21.9593,
2000-05-25,3.3936,2.2565,22.0144,
2000-05-26,3.4074,2.247,21.9345,
2000-05-29,3.3689,2.2725,22.184,
2000-05-30,3.3516,2.2823,22.2793,
2000-05-31,3.2982,2.3032,22.5346,
2000-06-01,3.2906,2.3119,22.6224,
2000-06-02,3.202,2.3388,22.6149,
2000-06-05,3.1981,2.3418,22.6476,
2000-06-06,3.1938,2.3471,22.6984,
2000-06-07,3.2356,2.3292,22.5261,
2000-06-08,3.2314,2.3345000000000002,22.5747,
2000-06-09,3.2237,2.3308,22.5407,
2000-06-13,3.2585,2.318,22.4147,
2000-06-14,3.2543,2.3198,22.4435,
2000-06-15,3.2389,2.3106,22.354,
2000-06-16,3.232,2.3176,22.4217,
2000-06-19,3.2193,2.3109,22.3537,
2000-06-20,3.2132,2.3184,22.4103,
2000-06-21,3.1898,2.3253,22.4763,
2000-06-22,3.1813,2.3355,22.638,
2000-06-23,3.2513,2.352,22.799,
2000-06-26,3.2594,2.3741,22.8813,
2000-06-27,3.2468,2.3975,23.1139,
2000-06-28,3.2223,2.4158,23.2913,
2000-06-29,3.1817,2.431,23.4458,
2000-06-30,3.1269,2.305,19.2679,
2000-07-03,3.1275,2.3123,19.3713,
2000-07-04,3.1257,2.3093,19.3439,
2000-07-05,3.1157,2.3177,19.4158,
2000-07-06,3.1288,2.3163,19.4037,
2000-07-07,3.1303,2.3224,19.4551,
2000-07-10,3.1131,2.331,19.5291,
