date,price_to_book,dvd12M,price_to_earnings,liquidity
1998-02-02,1.6564999999999999,,,
1998-02-03,1.6545,,,
1998-02-04,1.6640000000000001,,,
1998-02-05,1.6496,,,
1998-02-06,1.6423,,,
1998-02-09,1.6393,,,
1998-02-10,1.641,,,
1998-02-11,1.6244,,,
1998-02-12,1.6433,,,
1998-02-13,1.6402,,,
1998-02-16,1.6237,,,
1998-02-17,1.5920999999999998,,,
1998-02-18,1.5918,,,
1998-02-19,1.6016,,,
1998-02-20,1.5984,,,
1998-02-23,1.5916000000000001,,,
1998-02-24,1.5899999999999999,,,
1998-02-25,1.5564,,,
1998-02-26,1.5489000000000002,,,
1998-02-27,1.5485,,,
1998-03-02,1.5204,,,
1998-03-03,1.5291000000000001,,,
1998-03-04,1.5453999999999999,,,
1998-03-05,1.5528,,,
1998-03-06,1.5169000000000001,,,
1998-03-09,1.5013999999999998,,,
1998-03-10,1.5025,,,
1998-03-11,1.4933,,,
1998-03-12,1.4956,,,
1998-03-13,1.4794,,,
1998-03-16,1.4642,,,
1998-03-17,1.4731,,,
1998-03-18,1.4809999999999999,,,
1998-03-19,1.4741,,,
1998-03-20,1.4557,,,
1998-03-23,1.4438,,,
1998-03-24,1.4151,,,
1998-03-25,1.4228,,,
1998-03-26,1.4302000000000001,,,
1998-03-27,1.4239,,,
1998-03-30,1.4284,,,
1998-03-31,1.4203999999999999,,,
1998-04-01,1.4019,,,
1998-04-02,1.3866,,,
1998-04-03,1.371,,,
1998-04-06,1.3564,,,
1998-04-07,1.3805,,,
1998-04-08,1.3966,,,
1998-04-09,1.3917,,,
1998-04-14,1.3881999999999999,,,
1998-04-15,1.3857,,,
1998-04-16,1.3996,,,
1998-04-17,1.393,,,
1998-04-20,1.3808,,,
1998-04-21,1.3852,,,
1998-04-22,1.3947,,,
1998-04-23,1.4138,,,
1998-04-24,1.4393,,,
1998-04-27,1.5147,,,
1998-04-28,1.4505,,,
1998-04-29,1.4668,,,
1998-04-30,1.4161000000000001,,,
1998-05-04,1.3748,,,
1998-05-05,1.397,,,
1998-05-06,1.397,,,
1998-05-07,1.4112,,,
1998-05-08,1.3942,,,
1998-05-11,1.5234,,,
1998-05-12,1.5402,,,
1998-05-13,1.576,,,
1998-05-14,1.5382,,,
1998-05-15,1.5173999999999999,,,
1998-05-18,1.5792000000000002,,,
1998-05-19,1.5368,,,
1998-05-20,1.5021,,,
1998-05-22,1.4952,,,
1998-05-25,1.4207,,,
1998-05-26,1.4372,,,
1998-05-27,1.5051,,,
1998-05-28,1.5431,,,
1998-05-29,1.5135,,,
1998-06-02,1.5085,,,
1998-06-03,1.4477,,,
1998-06-04,1.4579,,,
1998-06-05,1.564,,,
1998-06-08,1.6208,,,
1998-06-09,1.6345,,,
1998-06-10,1.629,,,
1998-06-11,1.627,,,
1998-06-12,1.6781000000000001,,,
1998-06-15,1.7032,,,
1998-06-16,1.6947,,,
1998-06-17,1.7033,,,
1998-06-18,1.7405,,,
1998-06-19,1.7584,,,
1998-06-22,1.8103,,,
1998-06-23,1.7274,,,
1998-06-24,1.7157,,,
1998-06-25,1.6844999999999999,,,
1998-06-26,1.6825999999999999,,,
1998-06-29,1.6077,,,
1998-06-30,1.6234,,,
1998-07-01,1.5347,,,
1998-07-02,1.5318,,,
1998-07-03,1.5186,,,
1998-07-06,1.5146,,,
1998-07-07,1.4931,,,
1998-07-08,1.4827,,,
1998-07-09,1.4877,,,
1998-07-10,1.4931,,,
1998-07-13,1.484,,,
1998-07-14,1.4867,,,
1998-07-15,1.4759,,,
1998-07-16,1.4723,,,
1998-07-17,1.4539,,,
1998-07-20,1.4625,,,
1998-07-21,1.4517,,,
1998-07-22,1.4798,,,
1998-07-23,1.4805,,,
1998-07-24,1.4834,,,
1998-07-27,1.5076,,,
1998-07-28,1.5150000000000001,,,
1998-07-29,1.5173999999999999,,,
1998-07-30,1.5038,,,
1998-07-31,1.5279,,,
1998-08-03,1.554,,,
1998-08-04,1.5577999999999999,,,
1998-08-05,1.5906,,,
1998-08-06,1.6172,,,
1998-08-07,1.5901999999999998,,,
1998-08-10,1.6196000000000002,,,
1998-08-11,1.6677,,,
1998-08-12,1.638,,,
1998-08-13,1.6412,,,
1998-08-14,1.6187,,,
1998-08-17,1.6364,,,
1998-08-18,1.5805,,,
1998-08-19,1.5746,,,
1998-08-20,1.5972,,,
1998-08-21,1.69,,,
1998-08-24,1.6726,,,
1998-08-25,1.6311,,,
1998-08-26,1.6705,,,
1998-08-27,1.736,,,
1998-08-28,1.7698,,,
1998-08-31,1.8221,,,
1998-09-01,1.7997,,,
1998-09-02,1.7486000000000002,,,
1998-09-03,1.7865,,,
1998-09-04,1.7692999999999999,,,
1998-09-07,1.7572,,,
1998-09-08,1.7162,,,
1998-09-09,1.7481,,,
1998-09-10,1.8384,,,
1998-09-11,1.8451,,,
1998-09-14,1.8871,,,
1998-09-15,1.8138,,,
1998-09-16,1.7995999999999999,,,
1998-09-17,1.8938000000000001,,,
1998-09-18,1.9224999999999999,,,
1998-09-21,2.0128,,,
1998-09-22,1.9623,,,
1998-09-23,1.8961999999999999,,,
1998-09-24,1.9184,,,
1998-09-25,1.9489,,,
1998-09-28,1.9167,,,
1998-09-29,1.9327999999999999,,,
1998-09-30,2.0001,,,
1998-10-01,2.1079,,,
1998-10-02,2.1465,,,
1998-10-05,2.1819,,,
1998-10-06,2.0636,,,
1998-10-07,2.1023,,,
1998-10-08,2.1922,,,
1998-10-09,2.1421,,,
1998-10-12,2.0067,,,
1998-10-13,1.9967000000000001,,,
1998-10-14,1.9465,,,
1998-10-15,1.9479,,,1.6118582234928023
1998-10-16,1.9193,,,1.6118582234928023
1998-10-19,1.9234,,,1.5622654556800837
1998-10-20,1.862,,,1.5101171351228275
1998-10-21,1.8931,,,1.6025075430437912
1998-10-22,1.9106999999999998,,,1.5622654556800837
1998-10-23,1.9058000000000002,,,1.6025075430437912
1998-10-26,1.8919000000000001,,,1.6025075430437912
1998-10-27,1.8368,,,1.7664192686707634
1998-10-28,1.879,,,1.8094336488955323
1998-10-29,1.8843999999999999,,,1.7664192686707634
1998-10-30,1.8519,,,1.7664192686707634
1998-11-02,1.8173,,,1.6328636220569948
1998-11-03,1.8186,,,1.7560745139924427
1998-11-04,1.7689,,,1.7180015009103056
1998-11-05,1.8024,,,1.5974619135596815
1998-11-06,1.8077999999999999,,,1.531550994688991
1998-11-09,1.8138999999999998,,,1.4851229779385884
1998-11-10,1.8372000000000002,,,1.4851229779385884
1998-11-11,1.8268,,,1.4489778040581234
1998-11-12,1.8300999999999998,,,1.287568895929173
1998-11-13,1.8344,,,1.287568895929173
1998-11-16,1.7915,,,1.287568895929173
1998-11-17,1.7995999999999999,,,1.4154967016752018
1998-11-18,1.8034,,,1.3584204587253197
1998-11-19,1.7593999999999999,,,1.3584204587253197
1998-11-20,1.7435,,,1.4184445794635883
1998-11-23,1.7105000000000001,,,1.456579289992188
1998-11-24,1.7255,,,1.4446686221823222
1998-11-25,1.725,,,1.4039476529241415
1998-11-26,1.6915,,,1.7625500568367196
1998-11-27,1.6755,,,1.7245772903744596
1998-11-30,1.722,,,1.531817540487035
1998-12-01,1.7923,,,1.600784973366975
1998-12-02,1.8155000000000001,,,1.5888950725630377
1998-12-03,1.7879,,,1.7433896999015368
1998-12-04,1.7765,,,1.7051249413813894
1998-12-07,1.7702,,,1.7051249413813894
1998-12-08,1.7625,,,1.7051249413813894
1998-12-09,1.7572,,,1.8017528339674886
1998-12-10,1.7602,,,1.9998377614589191
1998-12-11,1.7924,,,1.851942161512474
1998-12-14,1.7645,,,1.8960079840319362
1998-12-15,1.7488000000000001,,,1.8555336471012926
1998-12-16,1.7241,,,1.8292465774366893
1998-12-17,1.7050999999999998,,,1.8698522566250502
1998-12-18,1.72,,,1.9057852253499612
1998-12-21,1.6656,,,1.8643992264357185
1998-12-22,1.6542,,,2.4040237572903846
1998-12-23,1.6278000000000001,,,2.457388360320842
1998-12-28,1.6129,,,2.457388360320842
1998-12-29,1.6019999999999999,,,2.457388360320842
1998-12-30,1.6113,,,2.386687738216975
1999-01-04,1.5244,,,2.5540995322245323
1999-01-05,1.4983,,,2.3277689207052696
1999-01-06,1.4655,,,2.632697094463119
1999-01-07,1.4888,,,2.3277689207052696
1999-01-08,1.4934,,,3.554164205683428
1999-01-11,1.522,,,4.014588884479468
1999-01-12,1.5338,,,4.014588884479468
1999-01-13,1.6101,,,4.353946926768515
1999-01-14,1.6073,,,4.787749368507915
1999-01-15,1.5789,,,5.0
1999-01-18,1.5387,,,5.0
1999-01-19,1.5219,,,5.0
1999-01-20,1.4857,,,5.0
1999-01-21,1.5023,,,5.0
1999-01-22,1.5617,,,5.0
1999-01-25,1.5605,,,5.0
1999-01-26,1.5582,,,5.0
1999-01-27,1.5493000000000001,,,5.0
1999-01-28,1.5238,,,5.0
1999-01-29,1.5084,,,5.0
1999-02-01,1.5016,,,5.0
1999-02-02,1.5128,,,5.0
1999-02-03,1.5359,,,5.0
1999-02-04,1.5364,,,5.0
1999-02-05,1.5351,,,5.0
1999-02-08,1.5474,,,4.868284941812625
1999-02-09,1.6028,,,4.857321800768753
1999-02-10,1.611,,,4.868284941812625
1999-02-11,1.5872000000000002,,,4.868284941812625
1999-02-12,1.5731000000000002,,,4.989725729400016
1999-02-15,1.5688,,,4.857321800768753
1999-02-16,1.5747,,,4.857321800768753
1999-02-17,1.6026,,,4.745302308493153
1999-02-18,1.5848,,,4.135374261766701
1999-02-19,1.6061999999999999,,,4.1267799337898285
1999-02-22,1.5436,,,4.09246419479987
1999-02-23,1.5144,,,4.09246419479987
1999-02-24,1.5063,,,4.018736685288641
1999-02-25,1.5323,,,3.880407039123564
1999-02-26,1.5375999999999999,,,4.062246836612965
1999-03-01,1.5566,,,3.4058604409184463
1999-03-02,1.5524,,,3.6134802896766858
1999-03-03,1.5785,,,4.042046930532479
1999-03-04,1.5598999999999998,,,3.8090940320625086
1999-03-05,1.5149,,,3.8090940320625086
1999-03-08,1.5327,,,3.4715420991733588
1999-03-09,1.5335,,,3.4715420991733588
1999-03-10,1.5373,,,3.4715420991733588
1999-03-11,1.5213,,,3.4715420991733588
1999-03-12,1.4987,,,3.440553006718805
1999-03-15,1.4953,,,3.0997645157718523
1999-03-16,1.4854,,,3.1446037605121013
1999-03-17,1.4927000000000001,,,3.01967701863354
1999-03-18,1.5305,,,3.126225181598063
1999-03-19,1.5078,,,3.207950732013128
1999-03-22,1.5183,,,3.207950732013128
1999-03-23,1.5558999999999998,,,3.1474658506155846
1999-03-24,1.5775000000000001,,,3.1474658506155846
1999-03-25,1.5302,,,2.637926166353367
1999-03-26,1.5497,,,2.4746138016467962
1999-03-29,1.5284,,,2.4746138016467962
1999-03-30,1.5342,,,2.4746138016467962
1999-03-31,1.5185,,,2.440962939457224
1999-04-01,1.5126,,,2.440962939457224
1999-04-06,1.4691,,,2.440962939457224
1999-04-07,1.4632,,,2.440962939457224
1999-04-08,1.4593,,,2.4746138016467962
1999-04-09,1.4512,,,1.8830510904717146
1999-04-12,1.4771,,,1.6215001210425801
1999-04-13,1.4497,,,1.6215001210425801
1999-04-14,1.4599,,,1.3271717199692292
1999-04-15,1.4788000000000001,,,1.2069209949590445
1999-04-16,1.4775,,,1.1695429244659237
1999-04-19,1.4765,,,0.9555080781063838
1999-04-20,1.514,,,1.0905322429400945
1999-04-21,1.5018,,,1.0053348205963397
1999-04-22,1.4882,,,1.0133596732303691
1999-04-23,1.494,,,1.0867790874027212
1999-04-26,1.4875,,,1.0867790874027212
1999-04-27,1.4384000000000001,,,1.0399496428907065
1999-04-28,1.4433,,,0.9479413555300009
1999-04-29,1.4462,,,0.9805800554883772
1999-04-30,1.4865,,,0.9805800554883772
1999-05-03,1.5316,,,0.9805800554883772
