date,price_to_book,dvd12M,price_to_earnings,liquidity
1994-03-11,1.6768,1.0464,6.5585,
1994-03-23,1.3382,1.0613,6.652,
1994-03-25,1.3519999999999999,1.0505,6.5842,
1994-03-28,1.4095,1.0194,6.3893,
1994-03-29,1.5055,1.0241,6.4192,
1994-03-30,1.5352000000000001,1.0043,6.2951,
1994-04-04,1.6185,0.9435,5.9137,
1994-04-06,1.621,0.942,5.9046,
1994-04-07,1.6118999999999999,0.9473,5.9379,
1994-04-08,1.6438000000000001,0.929,5.8227,
1994-04-11,1.6592,0.9203,5.7684999999999995,
1994-04-12,1.6336,0.9348,5.8591,
1994-04-13,1.9178,0.9167,5.7461,
1994-04-14,1.9363000000000001,0.9195,5.7635,
1994-04-15,1.9445000000000001,0.9156,5.7392,
1994-04-18,1.9987,0.8908,5.5834,
1994-04-19,2.0693,0.8604,5.3931000000000004,
1994-04-20,2.1829,0.8156,5.1124,
1994-04-21,1.9506999999999999,0.8637,5.4139,
1994-04-22,1.8323,0.9196,5.7638,
1994-04-25,1.8551,0.9083,5.6931,
1994-04-26,1.7739,0.9519,5.9663,
1994-04-27,1.7805,0.9719,6.0918,
1994-04-28,1.7890000000000001,0.9673,6.063,
1994-04-29,1.8466,0.956,5.9921,
1994-05-02,1.9385,0.9296,5.8266,
1994-05-03,1.0276,0.9331,5.8488,
1994-05-04,1.0295,0.9314,5.8381,
1994-05-06,1.13,1.0159,6.3792,
1994-05-09,1.1613,1.0019,6.2909,
1994-05-10,1.1269,1.0324,6.4828,
1994-05-11,1.0698,1.0174,6.3882,
1994-05-12,1.0435,1.043,6.549,
1994-05-13,1.0415,1.0451,6.5621,
1994-05-16,1.0416,1.0449,6.5612,
1994-05-17,1.0334,1.0671,6.7003,
1994-05-18,0.9952,1.108,6.9576,
1994-05-19,0.9829,1.1219,7.0446,
1994-05-20,0.9778,1.1277,7.081,
1994-05-23,0.9721,1.1343,7.1224,
1994-05-24,0.9575,1.1516,7.231,
1994-05-25,0.9561,1.1533,7.2417,
1994-05-26,0.9626,1.1455,7.1927,
1994-05-27,0.9514,1.159,7.2777,
1994-05-30,0.951,1.1595,7.2805,
1994-05-31,0.9517,1.1587,7.2756,
1994-06-01,0.9691,1.1378,7.1445,
1994-06-02,0.9663,1.1411,7.1652000000000005,
1994-06-03,0.9589,1.1499,7.2207,
1994-06-06,0.9474,1.1639,7.3081,
1994-06-07,0.9623,1.1459,7.1951,
1994-06-08,0.9808,1.1243,7.0595,
1994-06-09,0.9794,1.1258,7.0695,
1994-06-10,0.9908,1.1129,6.9879999999999995,
1994-06-13,1.0317,1.0688,6.7114,
1994-06-14,1.0273,1.0733,6.7397,
1994-06-15,1.0301,1.0704,6.7214,
1994-06-16,1.0159,1.0855,6.8159,
1994-06-17,1.023,1.0779,6.7681000000000004,
1994-06-20,1.1215,1.0653,6.6894,
1994-06-21,1.1344,1.0532,6.6134,
1994-06-22,1.1573,1.0532,6.6133,
1994-06-23,1.1648,1.0463,6.5702,
1994-06-24,1.0894,1.0204,6.4072,
1994-06-27,1.0641,1.0446,6.5593,
1994-06-28,1.0672,1.0416,6.5403,
1994-06-29,1.0489,1.0597,6.6541,
1994-06-30,1.0538,1.0548,6.6233,
1994-07-01,1.0311,1.0555,6.628,
1994-07-04,1.0464,1.0578,6.6423,
1994-07-05,1.0425,1.0618,6.6673,
1994-07-06,1.0272,1.0776,6.7666,
1994-07-07,1.0165,1.089,6.8381,
1994-07-08,1.0251,1.0799,6.7806999999999995,
