date,price_to_book,dvd12M,price_to_earnings,liquidity
2002-02-04,2.6117,2.3225,62.6055,0.753525353933262
2002-02-05,2.6498,2.2899,61.7276,0.7751639647484714
2002-02-06,2.5979,2.2819,61.5098,0.7961576499543386
2002-02-07,2.5707,2.3068,62.0588,0.8165773773737545
2002-02-08,2.5701,2.307,62.0633,0.8370009598587013
2002-02-11,2.5534,2.3223,62.4777,0.8616280301928146
2002-02-12,2.5663,2.31,62.1452,0.8622444148981878
2002-02-13,2.5574,2.3195,62.4008,0.8609552634976582
2002-02-14,2.5303,2.3443,62.9562,0.8419358144655503
2002-02-15,2.5431,2.3329,62.6476,0.8296414078930919
2002-02-18,2.557,2.3204000000000002,62.313,0.8490460671317215
2002-02-19,2.5878,2.2939,61.4751,0.8593880821327495
2002-02-20,2.695,2.2639,60.672,0.8721233028977029
2002-02-21,2.6688,2.2854,61.2533,0.8631186255489102
2002-02-22,2.6807,2.2758,60.9998,0.8218620673303818
2002-02-25,2.6545,2.297,61.3707,0.8398558231770845
2002-02-26,2.6323,2.3164,61.6268,0.8970825081749364
2002-02-27,2.6389,2.3339,61.9688,0.8970825081749364
2002-02-28,2.6789,2.2982,60.8162,0.8981174340891426
2002-03-01,2.6437,2.329,61.6262,0.8981174340891426
2002-03-04,2.6069,2.3607,62.5458,0.8981174340891426
2002-03-05,2.6209,2.3482,62.1687,0.908140433485918
2002-03-06,2.6041,2.3617,62.3375,0.9596872072182586
2002-03-07,2.5919,2.3768000000000002,62.7354,0.9596872072182586
2002-03-08,2.59,2.3794,62.7,0.9596872072182586
2002-03-11,2.6032,2.3674,62.3826,1.0396739059350895
2002-03-12,2.6067,2.3654,62.3323,0.9838308821023599
2002-03-13,2.654,2.374,62.5604,0.9905153612408208
2002-03-14,2.6592000000000002,2.3693,62.3451,0.9905153612408208
2002-03-15,2.6433999999999997,2.3836,62.7175,0.9905153612408208
2002-03-18,2.6377,2.377,64.0488,0.9905153612408208
2002-03-19,2.6294,2.3809,64.0982,0.9809889216289802
2002-03-20,2.6668,2.3579,63.475,0.9796524231226603
2002-03-21,2.6737,2.3509,63.2866,0.8400230294319406
2002-03-22,2.6729000000000003,2.3501,63.2473,0.8400230294319406
2002-03-25,2.697,2.3287,62.671,0.8400230294319406
2002-03-26,2.7012,2.3253,62.5827,0.8400230294319406
2002-03-27,2.6915,2.3336,62.8078,0.8400230294319406
2002-03-28,2.6644,2.3583,63.3361,0.8400230294319406
2002-04-02,2.6748,2.351,119.2861,0.7600077383783742
2002-04-03,2.673,2.3491,119.1929,0.7358737304875551
2002-04-04,2.6927,2.3319,118.3208,0.7358737304875551
2002-04-05,2.6803,2.3428,118.8742,0.723139660576348
2002-04-08,2.7087,2.3188,117.6558,0.6911407164741992
2002-04-09,2.706,2.3246,114.4065,0.7236176138315433
2002-04-10,2.6818,2.3472,115.5159,1.0355305517504192
2002-04-11,2.7297000000000002,2.3066,113.5179,1.0355305517504192
2002-04-12,2.7172,2.3171,114.0304,1.0110686613314603
2002-04-15,2.6961,2.3354,114.062,1.0012883753998252
2002-04-16,2.6661,2.3614,115.3337,1.0012883753998252
2002-04-17,2.6677999999999997,2.3625,115.3831,1.0012883753998252
2002-04-18,2.6853,2.3478,114.6531,1.004072674477897
2002-04-19,2.678,2.3543,114.9696,1.0048869605334294
2002-04-22,2.6894,2.3449999999999998,114.5104,1.0463443658539253
2002-04-23,2.7052,2.3303,113.8423,1.0463443658539253
2002-04-24,2.6811,2.3431,114.4711,1.0048869605334294
2002-04-25,2.6917,2.3339,114.0202,1.004072674477897
2002-04-26,2.7118,2.3151,114.818,0.9555612819833935
2002-04-29,2.7145,2.3134,111.0675,0.955000013286748
2002-04-30,2.7084,2.3191,111.3818,0.9442206742601342
2002-05-01,2.7308,2.3007,110.4959,0.9138362546118943
2002-05-02,2.7052,2.3221,111.5271,0.9164570877266648
2002-05-03,2.6901,2.336,112.195,0.9137176407792901
2002-05-07,2.7338,2.2984,110.3924,0.9162584304731921
2002-05-08,2.6887,2.3377,111.9174,0.9480802296032704
2002-05-09,2.6942,2.3327,111.6743,0.9480802296032704
2002-05-10,2.7116,2.321,112.9961,0.924372078487819
2002-05-13,2.6941,2.3368,113.7632,0.8685895099298102
2002-05-14,2.6763,2.3522,114.5271,0.8992962044074867
2002-05-15,2.6812,2.3613,114.966,0.9042120109257545
2002-05-16,2.6866,2.3565,114.7305,0.8986533328313775
2002-05-17,2.7023,2.3427,114.0543,0.8992962044074867
2002-05-20,2.7074,2.3384,113.8461,0.8325096996560812
2002-05-21,2.7131,2.3336,113.6535,0.9126228212576897
2002-05-22,2.7296,2.3203,117.2962,0.9126228212576897
2002-05-23,2.7172,2.3314,117.8543,0.8852310442590392
2002-05-24,2.7205,2.3282,117.716,0.8377154495575548
2002-05-27,2.7378,2.313,116.9462,0.8892358293382583
2002-05-28,2.7714,2.2852,115.5395,0.8892358293382583
2002-05-29,2.7713,2.2872,118.3877,0.8325096996560812
2002-05-30,2.7945,2.2683,117.4228,0.8377154495575548
2002-05-31,2.7702,2.2878,118.4254,0.8951652010862537
2002-06-05,2.8209999999999997,2.25,116.556,0.8951652010862537
2002-06-06,2.8402,2.235,115.3312,0.8951652010862537
2002-06-07,2.8618,2.2186,114.5079,0.8938824645367485
2002-06-10,2.8567,2.2224,114.4777,0.8365150362439802
2002-06-11,2.8528000000000002,2.2254,114.6338,0.8938824645367485
2002-06-12,2.9036,2.1882,112.7136,0.8970619312010824
2002-06-13,2.9523,2.1519,110.7155,0.882979793173875
2002-06-14,3.0422,2.0882,107.479,0.882979793173875
2002-06-17,2.9616,2.1452,110.1654,0.8770210163208241
2002-06-18,2.9961,2.1201,108.8727,0.8930921674905118
2002-06-19,3.0286,2.0977,107.7124,0.9256839418177353
2002-06-20,3.0763,2.0657,106.0632,0.9507539164265176
2002-06-21,3.0598,2.0761,106.9652,0.9507539164265176
2002-06-24,3.0968,2.0485,105.2634,1.0917578237468335
2002-06-25,3.0373,2.089,107.3446,1.1943741828514924
2002-06-26,3.106,2.0442,105.0407,1.2988732242747694
2002-06-27,3.0991,2.049,104.3458,1.3026713965699876
2002-06-28,3.0226,2.1009,107.2074,1.3323128106357347
2002-07-01,3.0036,2.0972,145.9638,1.3695890743894379
2002-07-02,3.0892,2.0334,139.1869,1.3695890743894379
2002-07-03,3.1974,1.9651,134.5128,1.7174517959720994
2002-07-04,3.1283,2.0003,136.9887,1.773778028964042
2002-07-05,3.0304,2.0647,141.3989,1.773778028964042
2002-07-08,3.0399,2.0589,141.0103,1.8050132310407594
2002-07-09,3.0789,2.0331,139.2431,1.8885830687119693
2002-07-10,3.1655,1.9783,135.4868,1.9184472723012682
2002-07-11,3.3247999999999998,1.8878,129.7503,1.9247898592621278
2002-07-12,3.3297,1.8851,129.5683,1.9040503975494447
2002-07-15,3.5211,1.7823,122.5072,1.950117172199243
