date,price_to_book,dvd12M,price_to_earnings,liquidity
2003-07-30,2.711,1.9559,32.7196,
2003-07-31,2.6837999999999997,1.9756,33.0498,
2003-08-01,2.7069,1.9588,32.7692,
2003-08-04,2.6057,1.7525,31.0812,
2003-08-05,2.597,1.7584,31.1856,
2003-08-06,2.6244,1.7401,30.8608,
2003-08-07,2.6225,1.7416,30.8871,
2003-08-08,2.6048,1.7534999999999998,31.0982,
2003-08-11,2.5855,1.7667000000000002,31.3314,
2003-08-12,2.5704000000000002,1.7770000000000001,31.5151,
2003-08-13,2.5667999999999997,1.7795,31.5594,
2003-08-14,2.5351,1.8016,31.9517,
2003-08-18,2.517,1.8143,32.176,
2003-08-19,2.515,1.8157999999999999,32.2023,
2003-08-20,2.5305,1.8044,32.0015,
2003-08-21,2.5317,1.8029,31.9734,
2003-08-22,2.5208,1.8108,32.1149,
2003-08-25,2.5454,1.7934,31.8062,
2003-08-26,2.5648999999999997,1.7798,31.5646,
2003-08-27,2.5491,1.7907,31.7578,
2003-08-28,2.5387,1.798,31.8875,
2003-08-29,2.5552,1.7864,31.681,
2003-09-01,2.5324999999999998,1.8022,31.9622,
2003-09-02,2.527,1.806,32.0297,
2003-09-03,2.4953,1.8286,32.4294,
2003-09-04,2.4812,1.8062,40.7178,
2003-09-05,2.4839,1.804,40.6689,
2003-09-08,2.4534000000000002,1.8265,41.1772,
2003-09-09,2.4798,1.8073000000000001,40.7436,
2003-09-10,2.5054,1.7890000000000001,40.3316,
2003-09-11,2.5028,1.7908,40.3712,
2003-09-12,2.5122999999999998,1.7839,40.2169,
2003-09-15,2.5121,1.7839,40.2158,
2003-09-16,2.4882,1.8010000000000002,40.6009,
2003-09-17,2.4843,1.8037,40.6615,
2003-09-18,2.4549,1.8254000000000001,41.1521,
2003-09-19,2.4561,1.8245,41.1317,
2003-09-22,2.4784,1.7753999999999999,42.4458,
2003-09-23,2.4835,1.7715999999999998,42.356,
2003-09-24,2.4805,1.7738,42.4092,
2003-09-25,2.5013,1.7591999999999999,42.0597,
2003-09-26,2.5215,1.7452,41.7241,
2003-09-29,2.5251,1.7427000000000001,41.664,
2003-09-30,2.564,1.8266,25.1465,
2003-10-01,2.5289,1.8519,25.4947,
2003-10-02,2.5324999999999998,1.8491,25.4574,
2003-10-03,2.4826,1.8860999999999999,25.9662,
2003-10-06,2.4994,1.8734,25.7913,
2003-10-07,2.5301,1.8688,25.4944,
2003-10-08,2.528,1.8702999999999999,25.5153,
2003-10-09,2.4689,1.8965,26.1094,
2003-10-10,2.4819,1.8866,25.9736,
2003-10-13,2.4554,1.9068,26.2514,
2003-10-14,2.4565,1.9060000000000001,26.24,
2003-10-15,2.4283,1.9282,26.5461,
2003-10-16,2.4316,1.9257,26.5119,
2003-10-17,2.4438,1.9161000000000001,26.3794,
2003-10-20,2.4433,1.9165999999999999,26.3857,
