date,price_to_book,dvd12M,price_to_earnings,liquidity
2002-10-01,3.7927999999999997,1.4423,17.3057,0.8682872767145188
2002-10-02,3.7917,1.4429,17.3095,0.8682872767145188
2002-10-03,3.8674,1.6052,16.4607,0.9031363624186274
2002-10-04,3.8541,1.6107,16.5174,0.9849775084586123
2002-10-07,3.9937,1.5694,16.3568,1.008495976137712
2002-10-08,3.9821999999999997,1.5737999999999999,16.402,0.9097699181220879
2002-10-09,4.0472,1.5484,16.1369,0.9097699181220879
2002-10-10,4.0827,1.5350000000000001,15.9969,0.9164902263941285
2002-10-11,3.949,1.5871,16.5406,0.8812864641193868
2002-10-14,3.9369,1.5918999999999999,16.7058,0.8480764961213157
2002-10-15,3.8201,1.6404999999999998,17.2159,0.8619590184552693
2002-10-16,3.8747,1.6175000000000002,16.975,0.8857347664740876
2002-10-17,3.8567,1.6255,17.0592,0.8857347664740876
2002-10-18,3.8632999999999997,1.6226,17.0282,0.8317588561418842
2002-10-21,3.8741,1.6179000000000001,16.9791,0.8217539091027863
2002-10-22,3.8045,1.6479,17.2944,0.8217539091027863
2002-10-23,3.815,1.6431,17.244,0.817344709787395
2002-10-24,3.7909,1.6538,17.3564,0.8217539091027863
2002-10-25,3.862,1.6228,17.0308,0.7583613304361666
2002-10-28,3.9,1.6154,16.9524,0.7229756504687496
2002-10-29,4.0163,1.5688,16.4638,0.7583613304361666
2002-10-30,4.0173,1.5676,16.4509,0.7919759755447757
2002-10-31,3.9985,1.5753,16.5318,0.817344709787395
2002-11-01,3.8823,1.6226,17.0285,0.85116642197247
2002-11-04,3.9181,1.6075,16.8696,0.85116642197247
2002-11-05,3.8895999999999997,1.6192,16.9931,0.85116642197247
2002-11-06,3.8666,1.6211,17.0129,0.8814424092001959
2002-11-07,3.8374,1.633,17.1372,0.9145842396431223
2002-11-08,3.8639,1.6213,17.0143,0.8226750038339627
2002-11-11,3.8803,1.6221999999999999,17.0245,0.8289803792137849
2002-11-12,3.8811999999999998,1.6221,17.023,0.8469509289625878
2002-11-13,3.8897,1.6191,16.9913,0.8162158416557111
2002-11-14,3.8756,1.6244,17.0474,0.8005624822216715
2002-11-15,3.88,1.6178,17.039,0.7700384826827927
2002-11-18,3.8173,1.6448,17.3241,0.7700384826827927
2002-11-19,3.8602,1.6265,17.1309,0.7700384826827927
2002-11-20,3.864,1.625,17.1146,0.7501488234211506
2002-11-21,3.8374,1.6362999999999999,17.2336,0.7501488234211506
2002-11-22,3.8746,1.6204,17.0663,0.7487412100881595
2002-11-25,3.9802,1.577,16.6093,0.7487412100881595
2002-11-26,4.1,1.5306,16.1205,0.7571126828632786
2002-11-27,4.0379,1.5546,16.3732,0.8037466835069635
2002-11-28,3.9859,1.5753,16.5916,0.8211492631753385
2002-11-29,3.9463,1.5908,16.7546,0.8211492631753385
2002-12-02,3.9093999999999998,1.6032,16.8852,0.8049901049413578
2002-12-03,3.9438,1.5892,16.7384,0.8211492631753385
2002-12-04,3.9595000000000002,1.5829,16.6722,0.8389257386682085
2002-12-05,4.0066,1.5638999999999998,16.4718,0.8211464229484715
2002-12-06,4.0505,1.5469,16.2928,0.7667956691079644
2002-12-09,4.0684,1.5510000000000002,16.3359,0.791499317207047
2002-12-10,4.1708,1.5126,15.9314,0.7800107894820528
2002-12-11,4.2097,1.4982,15.7792,0.8013813176531702
2002-12-12,4.2156,1.4962,15.7588,0.9357348310447178
2002-12-13,4.2,1.5017,15.8167,0.8737673033811079
2002-12-17,3.9925,1.5804,16.6457,0.9956620541713235
2002-12-18,4.0037,1.5756999999999999,16.5963,1.0041700824026685
2002-12-19,4.023,1.5682,16.5167,1.1291852961716242
2002-12-20,4.0732,1.5488,16.3121,1.1914644659954527
2002-12-23,4.0528,1.5564,16.3924,1.2798868041728007
2002-12-24,4.0644,1.5516999999999999,16.3427,1.2798868041728007
2002-12-27,3.9323,1.5641,16.8782,1.1914644659954527
2002-12-30,3.9497,1.5569,16.8007,1.059554153826548
2002-12-31,3.9913,1.5995,13.9835,1.050576873173229
2003-01-02,3.9962,1.5975000000000001,13.9662,1.050576873173229
2003-01-03,3.9604,1.6117,14.0908,0.8737673033811079
2003-01-06,3.9779,1.6042,14.025,0.8737673033811079
2003-01-07,3.9247,1.6284,14.2327,0.8710885971705943
2003-01-08,3.9259,1.6278000000000001,14.2273,0.6664929234706481
2003-01-09,3.9432,1.6207,14.1657,0.6746526208512852
2003-01-10,3.9645,1.6120999999999999,14.0899,0.5328611461075892
2003-01-13,3.9025,1.6513,14.4327,0.5328611461075892
2003-01-14,3.8682,1.6656,14.5578,0.5541467528617589
2003-01-15,3.8943,1.6542,14.4582,0.5758466773531711
2003-01-16,3.9233000000000002,1.642,14.3519,0.5758466773531711
2003-01-17,3.9145,1.6461000000000001,14.3877,0.5758466773531711
2003-01-20,3.9153000000000002,1.6455,14.3826,0.5458138429271991
2003-01-21,3.907,1.6491,14.4138,0.5565217466891
2003-01-22,3.9371,1.6367,14.3052,0.5632974620706185
2003-01-23,4.002,1.6099999999999999,14.0721,0.5942923143085335
2003-01-24,4.0455,1.5928,13.9218,0.6200275064603494
2003-01-27,4.1266,1.5617999999999999,13.6511,0.6407797839411363
2003-01-28,4.1389,1.5569,13.6081,0.6754474982880325
2003-01-29,4.1631,1.5478,13.5286,0.7959305024075095
2003-01-30,4.1753,1.5428,13.4847,0.7928086579544747
2003-01-31,4.2495,1.5154999999999998,13.2459,0.8047784581288299
2003-02-03,3.9549,1.5436999999999999,14.4886,0.7962641095253818
2003-02-04,3.9956,1.5279,14.3403,0.7731247120028594
