date,price_to_book,dvd12M,price_to_earnings,liquidity
1995-01-03,0.0957,,,
1995-01-04,0.0927,,,
1995-01-05,0.0943,,,
1995-01-06,0.0894,,,
1995-01-09,0.0847,,,
1995-01-11,0.0817,,,
1995-01-12,0.0897,,,
1995-01-13,0.0959,,,
1995-01-16,0.0948,,,
1995-01-17,0.0983,,,
1995-01-18,0.0953,,,
1995-01-19,0.089,,,
1995-01-20,0.0902,,,
1995-01-23,0.0878,,,
1995-01-24,0.0897,,,
1995-01-26,0.0917,,,
1995-01-27,0.0884,,,
1995-01-30,0.0836,,,
1995-01-31,0.0914,,,
1995-02-01,0.0938,,,
1995-02-02,0.0917,,,
1995-02-03,0.0928,,,
1995-02-06,0.0901,,,
1995-02-07,0.0855,,,
1995-02-08,0.0836,,,
1995-02-09,0.08,,,
1995-02-10,0.0778,,,
1995-02-13,0.0775,,,
1995-02-14,0.0751,,,
1995-02-15,0.0722,,,
1995-02-16,0.0673,,,
1995-02-17,0.0711,,,
1995-02-20,0.0696,,,
1995-02-21,0.0657,,,
1995-02-22,0.0675,,,
1995-02-23,0.0757,,,
1995-02-24,0.0769,,,
1995-03-02,0.0703,,,
1995-03-03,0.0703,,,
1995-03-06,0.0674,,,
1995-03-07,0.0615,,,
1995-03-08,0.0556,,,
1995-03-09,0.0503,,,
1995-03-10,0.0632,,,
1995-03-13,0.0628,,,
1995-03-14,0.0709,,,
1995-03-15,0.0691,,,
1995-03-16,0.0739,,,
1995-03-17,0.0701,,,
1995-03-20,0.0675,,,
1995-03-21,0.0707,,,
1995-03-22,0.0707,,,
1995-03-23,0.074,,,
1995-03-24,0.0791,,,
1995-03-27,0.0794,,,
1995-03-28,0.0766,,,
1995-03-29,0.0795,,,
1995-03-30,0.0777,,,
1995-03-31,0.0741,,,
1995-04-03,0.072,,,
1995-04-04,0.0777,,,
1995-04-05,0.0791,,,
1995-04-06,0.081,,,
1995-04-07,0.0794,,,
1995-04-10,0.0775,,,
1995-04-11,0.0751,,,
1995-04-12,0.0751,,,
1995-04-17,0.0774,,,
1995-04-18,0.0794,,,
1995-04-19,0.0828,,,
1995-04-20,0.0842,,,
1995-04-24,0.0874,,,
1995-04-25,0.092,,,
1995-04-26,0.0952,,,
1995-04-27,0.0958,,,
1995-04-28,0.0949,,,
1995-05-02,0.096,,,
1995-05-03,0.0989,,,
1995-05-04,0.1006,,,
1995-05-05,0.0997,,,
1995-05-08,0.0974,,,
1995-05-09,0.1011,,,
1995-05-10,0.1007,,,
1995-05-11,0.0983,,,
1995-05-12,0.0994,,,
1995-05-15,0.0969,,,
1995-05-16,0.0954,,,
1995-05-17,0.0986,,,
1995-05-18,0.0997,,,
1995-05-19,0.0982,,,
1995-05-22,0.1003,,,
1995-05-23,0.1007,,,
1995-05-24,0.102,,,
1995-05-25,0.1,,,
1995-05-26,0.0971,,,
1995-05-29,0.0969,,,
1995-05-30,0.0922,,,
1995-05-31,0.0925,,,
1995-06-01,0.0939,,,
1995-06-02,0.0987,,,
1995-06-05,0.1011,,,
1995-06-06,0.0978,,,
1995-06-07,0.0947,,,
1995-06-08,0.095,,,
1995-06-09,0.0913,,,
1995-06-12,0.0921,,,
1995-06-13,0.0943,,,
1995-06-14,0.0912,,,
1995-06-16,0.0925,,,
1995-06-19,0.0919,,,
1995-06-20,0.089,,,
1995-06-21,0.0903,,,
1995-06-22,0.0895,,,
1995-06-23,0.0892,,,
1995-06-26,0.088,,,
1995-06-27,0.0911,,,
1995-06-28,0.0924,,,
1995-06-29,0.0915,,,
1995-06-30,0.0896,,,
1995-07-03,0.0894,,,
1995-07-04,0.0904,,,
1995-07-05,0.092,,,
1995-07-06,0.095,,,
1995-07-07,0.0985,,,
1995-07-10,0.0985,,,
1995-07-11,0.0967,,,
1995-07-12,0.1001,,,
1995-07-13,0.0997,,,
1995-07-14,0.1002,,,
1995-07-17,0.0999,,,
1995-07-18,0.0975,,,
1995-07-19,0.0952,,,
1995-07-20,0.098,,,
1995-07-21,0.0961,,,
1995-07-24,0.097,,,
1995-07-25,0.0974,,,
1995-07-26,0.0965,,,
1995-07-27,0.0973,,,
1995-07-28,0.0967,,,
1995-07-31,0.0964,,,
1995-08-01,0.0963,,,
1995-08-02,0.0975,,,
1995-08-03,0.1001,,,
1995-08-04,0.1045,,,
1995-08-07,0.1093,,,
1995-08-08,0.1072,,,
1995-08-09,0.1065,,,
1995-08-10,0.1079,,,
1995-08-11,0.1043,,,
1995-08-14,0.1015,,,
1995-08-15,0.1034,,,
1995-08-16,0.105,,,
1995-08-17,0.1052,,,
1995-08-18,0.1053,,,
1995-08-21,0.1069,,,
1995-08-22,0.1071,,,
1995-08-23,0.1112,,,
1995-08-24,0.1106,,,
1995-08-25,0.1109,,,
1995-08-28,0.1123,,,
1995-08-29,0.1086,,,
1995-08-30,0.1054,,,
1995-08-31,0.1072,,,
1995-09-01,0.1107,,,
1995-09-04,0.1124,,,
1995-09-05,0.1135,,,
1995-09-06,0.1132,,,
1995-09-08,0.1127,,,
1995-09-11,0.1154,,,
1995-09-12,0.117,,,
1995-09-13,0.1178,,,
1995-09-14,0.1197,,,
1995-09-15,0.1194,,,
1995-09-18,0.1207,,,
1995-09-19,0.1209,,,
1995-09-20,0.1188,,,
1995-09-21,0.1167,,,
1995-09-22,0.1162,,,
1995-09-25,0.1139,,,
1995-09-26,0.113,,,
1995-09-27,0.1131,,,
1995-09-28,0.1136,,,
1995-09-29,0.1162,,,
1995-10-02,0.1129,,,
1995-10-03,0.112,,,
1995-10-04,0.1101,,,
1995-10-05,0.1119,,,
1995-10-06,0.1123,,,
1995-10-09,0.1109,,,
1995-10-10,0.1097,,,
1995-10-11,0.1119,,,
1995-10-13,0.1123,,,
1995-10-16,0.1132,,,
1995-10-17,0.1149,,,
1995-10-18,0.1145,,,
1995-10-19,0.1141,,,
1995-10-20,0.1162,,,
