date,price_to_book,dvd12M,price_to_earnings,liquidity
1990-01-03,1.217,,,
1990-01-04,1.2413,,,
1990-01-05,1.2216,,,
1990-01-06,1.2172,,,
1990-01-08,1.2232,,,
1990-01-09,1.2236,,,
1990-01-10,1.2137,,,
1990-01-11,1.202,,,
1990-01-12,1.2021,,,
1990-01-13,1.189,,,
1990-01-15,1.1743000000000001,,,
1990-01-16,1.1752,,,
1990-01-17,1.1632,,,
1990-01-18,1.1637,,,
1990-01-19,1.1539,,,
1990-01-20,1.1611,,,
1990-01-22,1.1963,,,
1990-01-23,1.1867,,,
1990-01-24,1.2046000000000001,,,
1990-01-25,1.2063,,,
1990-01-29,1.1943,,,
1990-01-30,1.1812,,,
1990-01-31,1.1905999999999999,,,
1990-02-01,1.1763,,,
1990-02-02,1.1645,,,
1990-02-03,1.1609,,,
1990-02-05,1.1638,,,
1990-02-06,1.1777,,,
1990-02-07,1.1688,,,
1990-02-08,1.1713,,,
1990-02-09,1.1662,,,
1990-02-10,1.1582,,,
1990-02-12,1.1488,,,
1990-02-13,1.1482,,,
1990-02-14,1.1561,,,
1990-02-15,1.1608,,,
1990-02-16,1.1576,,,
1990-02-17,1.1497,,,
1990-02-19,1.1396,,,
1990-02-20,1.1368,,,
1990-02-21,1.1328,,,
1990-02-22,1.1328,,,
1990-02-23,1.1286,,,
1990-02-24,1.1213,,,
1990-02-26,1.1059,,,
1990-02-27,1.1425,,,
1990-02-28,1.1447,,,
1990-03-02,1.1748,,,
1990-03-03,1.1722,,,
1990-03-05,1.1513,,,
1990-03-06,1.1415,,,
1990-03-07,1.1280000000000001,,,
1990-03-08,1.129,,,
1990-03-09,1.1359,,,
1990-03-12,1.133,,,
1990-03-13,1.1208,,,
1990-03-14,1.1169,,,
1990-03-15,1.1134,,,
1990-03-16,1.1232,,,
1990-03-17,1.1131,,,
1990-03-19,1.12,,,
1990-03-20,1.1356,,,
1990-03-21,1.1363,,,
1990-03-22,1.1311,,,
1990-03-23,1.1242,,,
1990-03-24,1.1183,,,
1990-03-26,1.1155,,,
1990-03-27,1.1066,,,
1990-03-28,1.0948,,,
1990-03-29,1.1033,,,
1990-03-30,1.1274,,,
1990-03-31,1.1208,,,
1990-04-02,1.1168,,,
1990-04-03,1.1146,,,
1990-04-04,1.1038000000000001,,,
1990-04-06,1.1056,,,
1990-04-07,1.0893,,,
1990-04-09,1.0864,,,
1990-04-10,1.0776,,,
1990-04-11,1.0806,,,
1990-04-12,1.0706,,,
1990-04-13,1.064,,,
1990-04-14,1.0493,,,
1990-04-16,1.0263,,,
1990-04-17,1.0535,,,
1990-04-18,1.0338,,,
1990-04-19,1.0167,,,
1990-04-20,1.0159,,,
1990-04-21,1.0335,,,
1990-04-23,1.0258,,,
1990-04-24,1.0186,,,
1990-04-25,1.0004,,,
1990-04-26,0.9615,,,
1990-04-27,0.9922,,,
1990-04-28,0.9542,,,
1990-04-30,0.9119,,,
1990-05-01,0.9522,,,
1990-05-03,0.9951,,,
1990-05-04,1.0378,,,
1990-05-07,1.0513,,,
1990-05-08,1.0591,,,
1990-05-09,1.0531,,,
1990-05-10,1.024,,,
1990-05-11,1.0111,,,
1990-05-12,0.9938,,,
1990-05-14,0.9748,,,
1990-05-15,0.9632,,,
1990-05-16,1.0063,,,
1990-05-17,1.029,,,
1990-05-18,1.0202,,,
1990-05-19,1.0186,,,
1990-05-21,1.0252,,,
1990-05-22,1.045,,,
1990-05-23,1.0481,,,
1990-05-24,1.045,,,
1990-05-25,1.0518,,,
1990-05-26,1.0468,,,
1990-05-28,1.0384,,,
1990-05-29,1.0462,,,
1990-05-30,1.0554,,,
1990-05-31,1.0669,,,
1990-06-01,1.0757,,,
1990-06-02,1.078,,,
1990-06-04,1.0915,,,
1990-06-05,1.0819,,,
1990-06-07,1.0757,,,
1990-06-08,1.077,,,
1990-06-09,1.0701,,,
1990-06-11,1.0522,,,
1990-06-12,1.0495,,,
1990-06-13,1.0431,,,
1990-06-14,1.031,,,
1990-06-15,1.0299,,,
1990-06-16,1.0341,,,
1990-06-18,1.0107,,,
1990-06-19,1.0013,,,
1990-06-20,0.9905,,,
1990-06-21,0.9942,,,
1990-06-22,0.9995,,,
1990-06-23,0.9997,,,
1990-06-25,0.9901,,,
1990-06-26,0.9858,,,
1990-06-27,0.9905,,,
1990-06-28,0.9809,,,
1990-06-29,0.9662,,,
1990-06-30,0.9499,,,
1990-07-02,0.9593,,,
1990-07-03,1.0023,,,
1990-07-04,0.9884,,,
1990-07-05,0.972,,,
1990-07-06,0.9646,,,
1990-07-07,0.962,,,
1990-07-09,0.9648,,,
1990-07-10,0.9691,,,
1990-07-11,0.9596,,,
1990-07-12,0.948,,,
1990-07-13,0.9305,,,
1990-07-14,0.9309,,,
1990-07-16,0.923,,,
1990-07-18,0.9423,,,
1990-07-19,0.9356,,,
1990-07-20,0.9378,,,
1990-07-21,0.927,,,
1990-07-23,0.9197,,,
1990-07-24,0.9176,,,
1990-07-25,0.9254,,,
1990-07-26,0.9131,,,
1990-07-27,0.9087,,,
1990-07-28,0.9164,,,
1990-07-30,0.9088,,,
1990-07-31,0.9148,,,
1990-08-01,0.9306,,,
1990-08-02,0.9265,,,
1990-08-03,0.9126,,,
1990-08-04,0.9024,,,
1990-08-06,0.8878,,,
1990-08-07,0.8794,,,
1990-08-08,0.8659,,,
1990-08-09,0.8692,,,
1990-08-10,0.8809,,,
1990-08-11,0.8766,,,
1990-08-13,0.8627,,,
1990-08-14,0.8435,,,
1990-08-16,0.8333,,,
1990-08-17,0.8319,,,
1990-08-18,0.8373,,,
1990-08-20,0.8277,,,
1990-08-21,0.8134,,,
1990-08-22,0.8092,,,
1990-08-23,0.8037,,,
1990-08-24,0.792,,,
1990-08-25,0.784,,,
1990-08-27,0.8199,,,
1990-08-28,0.8576,,,
1990-08-29,0.8653,,,
1990-08-30,0.8381,,,
1990-08-31,0.8125,,,
1990-09-01,0.8159,,,
1990-09-03,0.8512,,,
1990-09-04,0.847,,,
1990-09-05,0.8378,,,
1990-09-06,0.8261,,,
1990-09-07,0.8227,,,
1990-09-08,0.821,,,
1990-09-10,0.8213,,,
1990-09-11,0.8221,,,
1990-09-12,0.8189,,,
1990-09-13,0.8155,,,
1990-09-14,0.8092,,,
1990-09-15,0.7913,,,
1990-09-17,0.7577,,,
1990-09-18,0.7893,,,
1990-09-19,0.7948,,,
1990-09-20,0.7859,,,
1990-09-21,0.7864,,,
1990-09-22,0.7879,,,
1990-09-24,0.7921,,,
1990-09-25,0.7996,,,
1990-09-26,0.8008,,,
1990-09-27,0.8008,,,
1990-09-28,0.807,,,
1990-09-29,0.8139,,,
1990-10-05,0.8434,,,
1990-10-06,0.8338,,,
1990-10-08,0.8312,,,
1990-10-10,0.8362,,,
1990-10-11,0.8423,,,
1990-10-12,0.8598,,,
1990-10-13,0.8469,,,
1990-10-15,0.8723,,,
1990-10-16,0.8599,,,
1990-10-17,0.8804,,,
1990-10-18,0.8965,,,
1990-10-19,0.9366,,,
1990-10-20,0.9556,,,
1990-10-22,0.9865,,,
1990-10-23,1.0301,,,
1990-10-24,1.0714,,,
1990-10-25,1.0302,,,
1990-10-26,0.9851,,,
1990-10-27,0.9844,,,
1990-10-29,0.9685,,,
1990-10-30,0.9568,,,
1990-10-31,0.9288,,,
1990-11-01,0.966,,,
1990-11-02,0.9572,,,
1990-11-03,0.9585,,,
1990-11-05,0.9541,,,
1990-11-06,0.9469,,,
1990-11-07,0.9716,,,
1990-11-08,0.9529,,,
1990-11-09,0.9473,,,
1990-11-10,0.9391,,,
1990-11-12,0.9443,,,
1990-11-13,0.9561,,,
1990-11-14,0.9484,,,
1990-11-15,0.943,,,
1990-11-16,0.9373,,,
1990-11-17,0.929,,,
1990-11-19,0.9113,,,
1990-11-20,0.9035,,,
1990-11-21,0.9012,,,
1990-11-22,0.9118,,,
1990-11-23,0.9115,,,
1990-11-24,0.9099,,,
1990-11-26,0.913,,,
1990-11-27,0.9226,,,
1990-11-28,0.94,,,
1990-11-29,0.9294,,,
1990-11-30,0.9349,,,
1990-12-01,0.9506,,,
1990-12-03,0.9634,,,
1990-12-04,0.9516,,,
1990-12-05,0.9638,,,
1990-12-06,0.961,,,
1990-12-07,0.9782,,,
1990-12-08,0.9817,,,
1990-12-10,0.9841,,,
1990-12-11,0.9708,,,
1990-12-12,0.9692,,,
1990-12-13,0.9536,,,
1990-12-14,0.9497,,,
1990-12-15,0.9432,,,
1990-12-17,0.9433,,,
1990-12-18,0.9434,,,
1990-12-19,0.9311,,,
1990-12-20,0.9317,,,
1990-12-21,0.946,,,
1990-12-22,0.943,,,
1990-12-24,0.9281,,,
1990-12-26,0.9323,,,
1991-01-03,0.9085,,,
1991-01-04,0.9329,,,
1991-01-05,0.9343,,,
1991-01-07,0.9048,,,
1991-01-08,0.8817,,,
1991-01-09,0.8826,,,
1991-01-10,0.848,,,
1991-01-11,0.8381,,,
1991-01-12,0.8681,,,
1991-01-14,0.8721,,,
1991-01-15,0.8344,,,
1991-01-16,0.8194,,,
1991-01-17,0.8578,,,
1991-01-18,0.8933,,,
1991-01-19,0.8883,,,
1991-01-21,0.8526,,,
1991-01-22,0.847,,,
1991-01-23,0.8358,,,
1991-01-24,0.854,,,
1991-01-25,0.847,,,
1991-01-26,0.8456,,,
1991-01-28,0.8484,,,
1991-01-29,0.8501,,,
1991-01-30,0.8533,,,
1991-01-31,0.8497,,,
1991-02-01,0.8456,,,
1991-02-02,0.8492,,,
1991-02-04,0.8464,,,
1991-02-05,0.8452,,,
1991-02-06,0.8498,,,
1991-02-07,0.8485,,,
1991-02-08,0.8409,,,
1991-02-09,0.8449,,,
1991-02-11,0.8429,,,
1991-02-12,0.8684,,,
1991-02-13,0.8649,,,
1991-02-18,0.9046,,,
1991-02-19,0.8993,,,
1991-02-20,0.9015,,,
1991-02-21,0.9043,,,
1991-02-22,0.9096,,,
1991-02-23,0.9223,,,
1991-02-25,0.9306,,,
1991-02-26,0.9087,,,
1991-02-27,0.9021,,,
1991-02-28,0.908,,,
1991-03-02,0.9112,,,
1991-03-04,0.9006,,,
1991-03-05,0.9,,,
1991-03-06,0.9092,,,
1991-03-07,0.9071,,,
1991-03-08,0.9097,,,
1991-03-09,0.9169,,,
1991-03-11,0.9168,,,
1991-03-12,0.9191,,,
1991-03-13,0.9127,,,
1991-03-14,0.9103,,,
1991-03-15,0.9178,,,
1991-03-16,0.913,,,
1991-03-18,0.9094,,,
1991-03-19,0.9017,,,
1991-03-20,0.8984,,,
1991-03-21,0.8903,,,
1991-03-22,0.8856,,,
1991-03-23,0.8847,,,
1991-03-25,0.8911,,,
1991-03-27,0.8788,,,
1991-03-28,0.8742,,,
1991-03-29,0.8712,,,
1991-03-30,0.8861,,,
1991-04-01,0.8727,,,
1991-04-02,0.8644,,,
1991-04-03,0.8727,,,
1991-04-04,0.8787,,,
1991-04-06,0.8739,,,
1991-04-08,0.8687,,,
1991-04-09,0.868,,,
1991-04-10,0.8672,,,
1991-04-11,0.8615,,,
1991-04-12,0.8592,,,
1991-04-13,0.8577,,,
1991-04-15,0.8536,,,
1991-04-16,0.8552,,,
1991-04-17,0.8516,,,
1991-04-18,0.8435,,,
1991-04-19,0.8462,,,
1991-04-20,0.8356,,,
1991-04-22,0.8289,,,
1991-04-23,0.8594,,,
1991-04-24,0.8504,,,
1991-04-25,0.8417,,,
1991-04-26,0.8514,,,
1991-04-27,0.8564,,,
1991-04-29,0.8652,,,
