date,price_to_book,dvd12M,price_to_earnings,liquidity
2001-01-02,0.0439,4.7793,76.4879,0.6718433369238831
2001-01-03,0.0369,5.6788,90.8831,0.6372271588808092
2001-01-04,0.038,5.5258,88.4345,0.6142872382780125
2001-01-05,0.0412,5.0929,81.5073,0.6101552219608715
2001-01-08,0.0409,5.1251,82.0211,0.6101552219608715
2001-01-09,0.0404,5.1898,83.0566,0.7782979569504008
2001-01-10,0.0387,5.4197,86.7492,0.8056820639488358
2001-01-11,0.037,5.6736,90.812,0.8136869581132384
2001-01-12,0.0373,5.6318,90.1429,0.836540384604477
2001-01-16,0.0378,5.5513,88.8547,0.8223372592461251
2001-01-17,0.0365,5.7471,91.9897,0.8223372592461251
2001-01-18,0.035,5.9956,95.967,0.8524127420365356
2001-01-19,0.0352,5.9628,95.4419,0.9283021173195269
2001-01-22,0.0353,5.9337,94.9756,0.9319075757303388
2001-01-23,0.0342,6.1259,98.053,0.9319075757303388
2001-01-24,0.0344,6.1219,98.361,0.9402674945374998
2001-01-25,0.0362,5.8302,93.6735,0.9517811802710047
2001-01-26,0.0357,5.9101,94.9054,0.973685481843192
2001-01-29,0.0348,6.0331,96.0484,0.9717006374177053
2001-01-30,0.0355,6.0144,95.7503,0.9531090451337655
2001-01-31,0.0372,5.8665,93.5686,0.9531090451337655
2001-02-01,0.037,5.8999,94.101,0.9717006374177053
2001-02-02,0.039,5.5988,88.9645,0.9657885584424266
2001-02-05,0.0398,5.5876,88.067,0.966789112559511
2001-02-06,0.0397,5.5999,88.2611,0.966789112559511
2001-02-07,0.0404,5.4564,86.0147,0.966789112559511
2001-02-08,0.0413,5.3364,84.1239,0.9562324008176646
2001-02-09,0.043,5.1247,80.7859,0.9595284256505223
2001-02-12,0.0425,5.1813,81.678,0.9525389275033318
2001-02-13,0.044,5.0577,79.139,0.95301259558916
2001-02-14,0.0422,5.2744,83.0217,0.9627702449676095
2001-02-15,0.041,5.4217,85.3405,0.9832595751938623
2001-02-16,0.0439,5.0602,79.6497,0.9996853279972716
2001-02-20,0.0464,4.7899,75.435,1.001114519073386
2001-02-21,0.0467,4.5997,75.6721,1.0138080513544532
2001-02-22,0.0473,4.5429,74.7385,1.0714337124578104
2001-02-23,0.0468,4.5947,75.5907,1.0752025132826497
2001-02-26,0.0458,4.6878,77.1223,1.1106591324015518
2001-02-27,0.049,4.3909,72.2381,1.1106591324015518
2001-02-28,0.0504,4.2567,69.9051,1.1130468985422408
2001-03-01,0.0488,4.39,72.0938,1.1130468985422408
2001-03-02,0.0511,4.2004,69.3052,1.0775140525125562
2001-03-05,0.0502,4.2776,70.5314,1.0737371492783114
2001-03-06,0.0486,4.4111,72.7332,1.026671231685695
2001-03-07,0.0482,4.4571,73.491,1.0159876008377837
2001-03-08,0.0496,4.3298,71.3919,1.0244687631213882
2001-03-09,0.053,4.0498,66.776,1.0502394138479578
2001-03-12,0.0572,3.7536,61.8911,1.0502394138479578
2001-03-13,0.0536,4.0023,65.8715,1.0461007525281847
2001-03-14,0.055,3.9028,64.2344,1.048773505746762
2001-03-15,0.0565,3.7973,62.497,1.0445503455946898
2001-03-16,0.0582,3.6854,60.6562,1.0112041796344948
2001-03-19,0.0553,3.8746,63.7366,1.0352511813911673
2001-03-20,0.0593,3.6149,59.4644,1.0352511813911673
2001-03-21,0.0597,3.5939,59.1196,1.018384528183045
2001-03-22,0.0563,3.8105,62.682,1.018384528183045
2001-03-23,0.0562,3.8179,62.8037,1.018384528183045
2001-03-26,0.0571,3.742,62.8826,0.9953689799250574
2001-03-27,0.0552,3.8724,65.0744,0.9953689799250574
