date,price_to_book,dvd12M,price_to_earnings,liquidity
1993-09-01,0.6073,,,
1993-09-02,0.597,,,
1993-09-03,0.5942,,,
1993-09-06,0.5898,,,
1993-09-07,0.5932,,,
1993-09-08,0.5997,,,
1993-09-09,0.5966,,,
1993-09-10,0.601,,,
1993-09-13,0.5932,,,
1993-09-14,0.5951,,,
1993-09-15,0.6063,,,
1993-09-16,0.6073,,,
1993-09-17,0.6046,,,
1993-09-20,0.6054,,,
1993-09-21,0.6135,,,
1993-09-22,0.602,,,
1993-09-23,0.5937,,,
1993-09-24,0.5956,,,
1993-09-27,0.5895,,,
1993-09-28,0.5889,,,
1993-09-29,0.5931,,,
1993-09-30,0.5896,,,
1993-10-01,0.5872,,,
1993-10-04,0.5881,,,
1993-10-05,0.5742,,,
1993-10-06,0.5743,,,
1993-10-07,0.5692,,,
1993-10-08,0.5652,,,
1993-10-11,0.5634,,,
1993-10-12,0.5588,,,
1993-10-13,0.554,,,
1993-10-14,0.5565,,,
1993-10-15,0.5513,,,
1993-10-18,0.5429,,,
1993-10-19,0.544,,,
1993-10-20,0.549,,,
1993-10-21,0.5381,,,
1993-10-22,0.5365,,,
1993-10-25,0.5414,,,
1993-10-26,0.5381,,,
1993-10-27,0.5426,,,
1993-10-28,0.5369,,,
1993-10-29,0.534,,,
1993-11-02,0.5404,,,
1993-11-03,0.5321,,,
1993-11-04,0.5326,,,
1993-11-05,0.547,,,
1993-11-08,0.5464,,,
1993-11-09,0.5459,,,
1993-11-10,0.5547,,,
1993-11-11,0.5465,,,
1993-11-12,0.5443,,,
1993-11-15,0.5431,,,
1993-11-16,0.5491,,,
1993-11-17,0.5444,,,
1993-11-18,0.5463,,,
1993-11-19,0.5639,,,
1993-11-22,0.5767,,,
1993-11-23,0.5825,,,
1993-11-24,0.5834,,,
1993-11-25,0.5815,,,
1993-11-26,0.5825,,,
1993-11-29,0.5925,,,
1993-11-30,0.5857,,,
1993-12-01,0.5676,,,
1993-12-02,0.5676,,,
1993-12-03,0.5706,,,
1993-12-06,0.5695,,,
1993-12-07,0.5599,,,
1993-12-08,0.5605,,,
1993-12-09,0.561,,,
1993-12-10,0.5658,,,
1993-12-13,0.5613,,,
1993-12-14,0.5641,,,
1993-12-15,0.559,,,
1993-12-16,0.5606,,,
1993-12-17,0.5589,,,
1993-12-20,0.5538,,,
1993-12-21,0.5528,,,
1993-12-22,0.5508,,,
1993-12-23,0.5482,,,
1993-12-27,0.5485,,,
1993-12-28,0.5491,,,
1993-12-29,0.5393,,,
1993-12-30,0.5407,,,
1994-01-03,0.5318,5.0582,,
1994-01-04,0.531,5.0674,,
1994-01-05,0.5298,5.0783,,
1994-01-07,0.517,5.205,,
1994-01-10,0.5134,5.241,,
1994-01-11,0.5119,5.2565,,
1994-01-12,0.5175,5.2,,
1994-01-13,0.5166,5.209,,
1994-01-14,0.5098,5.2789,,
1994-01-17,0.4959,5.4272,,
1994-01-18,0.4965,5.4212,,
1994-01-19,0.4913,5.4781,,
1994-01-20,0.4984,5.3997,,
1994-01-21,0.4968,5.4177,,
1994-01-24,0.4946,5.4417,,
1994-01-25,0.5061,5.3192,,
1994-01-26,0.5031,5.351,,
1994-01-27,0.4966,5.4216,,
1994-01-28,0.4925,5.4664,,
1994-01-31,0.4822,5.5835,,
1994-02-01,0.4881,5.5166,,
1994-02-02,0.4833,5.5708,,
1994-02-03,0.4864,5.5356,,
1994-02-04,0.486,5.5392,,
1994-02-07,0.4984,5.4004,,
1994-02-08,0.493,5.4591,,
1994-02-09,0.4943,5.4451,,
1994-02-10,0.5065,5.3139,,
1994-02-11,0.5149,5.227,,
1994-02-14,0.5141,5.2363,,
1994-02-15,0.5075,5.3045,,
1994-02-16,0.4986,5.3993,,
1994-02-17,0.4869,5.5298,,
1994-02-18,0.4896,5.5,,
1994-02-21,0.4912,5.4812,,
1994-02-22,0.4955,5.4336,,
1994-02-23,0.493,5.4612,,
1994-02-24,0.5052,5.3286999999999995,,
1994-02-25,0.5078,5.3021,,
1994-02-28,0.5051,5.3305,,
1994-03-01,0.5124,5.2547,,
1994-03-02,0.5218,5.1599,,
1994-03-03,0.517,5.2073,,
1994-03-04,0.5137,5.2411,,
1994-03-07,0.5056,5.3255,,
1994-03-08,0.509,5.2898,,
1994-03-09,0.5077,5.3035,,
1994-03-10,0.5101,5.2791,,
1994-03-11,0.5172,5.2069,,
1994-03-14,0.506,5.3213,,
1994-03-15,0.5056,5.3251,,
1994-03-16,0.5064,5.3173,,
1994-03-17,0.5099,5.2803,,
1994-03-18,0.5155,5.2233,,
1994-03-21,0.521,5.1683,,
1994-03-22,0.5212,5.1659,,
1994-03-23,0.5227,5.1513,,
1994-03-24,0.5278,5.1011,,
1994-03-25,0.5404,4.9825,,
1994-03-28,0.5424,4.9642,,
1994-03-29,0.5492,4.9030000000000005,,
1994-03-30,0.551,4.8868,,
1994-03-31,0.5555,4.8396,,
1994-04-05,0.5435,4.9302,,
1994-04-06,0.5264,5.0907,,
1994-04-07,0.5254,5.1008,,
1994-04-08,0.5247,5.1296,,
1994-04-11,0.52,5.1757,,
1994-04-12,0.5185,5.191,,
1994-04-13,0.5199,5.1768,,
1994-04-14,0.53,5.078,,
1994-04-15,0.561,5.0892,,
1994-04-18,0.5606,5.0928,,
1994-04-19,0.5685,5.0216,,
1994-04-20,0.5707,5.0027,,
1994-04-21,0.6407,4.993,,
1994-04-22,0.5606,5.0928,,
1994-04-25,0.5607,5.0922,,
1994-04-26,0.5573,5.1235,,
1994-04-27,0.6137,5.1704,,
1994-04-28,0.6363,5.1266,,
1994-04-29,0.6313,5.1679,,
1994-05-02,0.6092,5.2269,,
1994-05-03,0.6002,5.3051,,
1994-05-04,0.6036,5.2743,,
1994-05-05,0.5973,5.3288,,
1994-05-06,0.6609,5.2733,,
1994-05-09,0.6687,5.2121,,
1994-05-10,0.6836,5.2336,,
1994-05-11,0.7774,5.2507,,
1994-05-13,0.6857,5.3682,,
1994-05-16,0.6143,5.4055,,
1994-05-17,0.6914,5.4389,,
1994-05-18,0.6175,5.3864,,
1994-05-19,0.5562,5.394,,
1994-05-20,0.7173,5.341,,
1994-05-24,0.7554,5.3021,,
1994-05-25,0.762,5.2561,,
1994-05-26,0.7546,5.3076,,
1994-05-27,0.6841,5.329,,
1994-05-30,0.6858,5.2734,,
1994-05-31,0.6974,5.1853,,
1994-06-01,0.712,5.1659,,
1994-06-02,0.7146,5.1469,,
1994-06-03,0.7101,5.1794,,
1994-06-06,0.7037,5.385,,
1994-06-07,0.7153,5.2978,,
1994-06-08,0.7116,5.3247,,
1994-06-09,0.6859,5.2617,,
1994-06-10,0.6881,5.2445,,
1994-06-13,0.6926,5.2118,,
1994-06-14,0.6912,5.2219,,
1994-06-15,0.6888,5.2404,,
1994-06-16,0.6992,5.1627,,
1994-06-17,0.7084,5.0973,,
1994-06-20,0.7337,4.922,,
1994-06-21,0.7398,4.8817,,
1994-06-22,0.7366,5.1163,,
1994-06-23,0.7274,5.1808,,
1994-06-27,0.7443,5.0647,,
1994-06-28,0.732,5.15,,
1994-06-29,0.7289,5.1712,,
1994-06-30,0.7272,5.1712,,
1994-07-01,0.7438,5.0542,,
1994-07-04,0.7382,5.0938,,
1994-07-05,0.7492,5.0196,,
1994-07-06,0.7509,5.0078,,
1994-07-07,0.7415,5.0716,,
1994-07-08,0.7369,5.1038,,
1994-07-11,0.7229,5.2061,,
1994-07-12,0.7196,5.23,,
1994-07-13,0.7113,5.2901,,
1994-07-14,0.7065,5.3246,,
1994-07-15,0.7008,5.3678,,
1994-07-18,0.6931,5.4275,,
1994-07-19,0.691,5.4426,,
1994-07-20,0.6861,5.4822,,
1994-07-21,0.6873,5.4712,,
1994-07-22,0.6754,5.5668,,
1994-07-25,0.6763,5.5603,,
1994-07-26,0.6746,5.5748999999999995,,
1994-07-27,0.6795,5.5359,,
1994-07-28,0.6873,5.4714,,
1994-07-29,0.6775,5.5509,,
1994-08-01,0.6704,5.6099,,
1994-08-02,0.6589,5.7077,,
1994-08-03,0.6599,5.7001,,
1994-08-04,0.6629,5.6737,,
1994-08-05,0.6704,5.61,,
1994-08-08,0.6652,5.6542,,
1994-08-09,0.6696,5.617,,
