date,price_to_book,dvd12M,price_to_earnings,liquidity
2001-05-03,0.9303,0.226,,
2001-05-04,0.8786,0.2274,,
2001-05-07,1.3209,0.2314,,
2001-05-08,1.2907,0.2385,,
2001-05-10,1.2797,0.2421,,
2001-05-11,1.2977,0.2389,,
2001-05-14,1.3072,0.2359,,
2001-05-15,1.7795999999999998,0.2361,,
2001-05-16,1.7822,0.2356,,
2001-05-17,1.7082000000000002,0.246,,
2001-05-18,1.6854,0.2493,,
2001-05-21,1.6522000000000001,0.2544,,
2001-05-22,1.6642000000000001,0.2525,,
2001-05-23,1.6463999999999999,0.2553,,
2001-05-24,1.669,0.2518,,
2001-05-25,1.6949,0.2479,,
2001-05-28,1.6978,0.2474,,
2001-05-29,1.6921,0.2483,,
2001-05-30,1.6652,0.2526,,
2001-05-31,1.6393,0.2568,,
2001-06-01,1.6034000000000002,0.2626,,
2001-06-04,1.5688,0.2683,,
2001-06-05,1.6116000000000001,0.2614,,
2001-06-06,1.6038999999999999,0.2626,,
2001-06-07,1.6354,0.2576,,
2001-06-08,1.6187,0.2601,,
2001-06-09,,0.2603,,
2001-06-13,1.6341999999999999,0.2582,,
2001-06-14,1.6512,0.2555,,
2001-06-15,1.6327,0.258,,
2001-06-18,1.5977000000000001,0.264,,
2001-06-19,1.5603,0.2705,,
2001-06-20,1.565,0.2696,,
2001-06-21,1.5481,0.2726,,
2001-06-22,1.5070000000000001,0.2796,,
2001-06-25,1.5266,0.2762,,
2001-06-26,1.5441,0.2732,,
2001-06-27,1.5469,0.2727,,
2001-06-28,1.5687,0.269,,
2001-06-29,1.589,0.2657,,
2001-07-02,1.5988,0.2638,,
2001-07-03,1.6157,0.2611,,
2001-07-04,1.6015000000000001,0.2634,,
2001-07-05,1.5747,0.2679,,
2001-07-06,1.6141999999999999,0.2614,,
2001-07-09,1.6416,0.2565,,
2001-07-10,1.6519,0.2558,,
2001-07-11,1.7509000000000001,0.241,,
2001-07-12,1.7105000000000001,0.2466,,
2001-07-13,1.7116,0.2465,,
2001-07-16,1.6995,0.2486,,
2001-07-17,1.7259,0.2448,,
2001-07-18,1.7572,0.2405,,
2001-07-19,1.7492999999999999,0.2418,,
2001-07-20,1.7503,0.2416,,
2001-07-23,1.7345000000000002,0.2438,,
2001-07-24,1.7607,0.2402,,
2001-07-25,1.7313,0.2441,,
2001-07-26,1.6848,0.2509,,
2001-07-27,1.708,0.2476,,
2001-07-30,1.7186,0.2463,,
2001-07-31,1.751,0.242,,
2001-08-01,1.7603,0.2405,,
2001-08-02,1.7486000000000002,0.242,,
2001-08-03,1.7555,0.2415,,
2001-08-06,3.1619,0.2378,,
2001-08-07,3.2172,0.2334,,
2001-08-08,3.201,0.2347,,
2001-08-09,3.1806,0.2366,,
2001-08-10,3.1372,0.2396,,
2001-08-13,3.1481,0.2387,,
2001-08-14,3.103,0.2422,,
2001-08-15,3.1408,0.2392,,
2001-08-16,3.1621,0.2377,,
2001-08-17,3.1731,0.237,,
2001-08-20,3.1526,0.2387,,
2001-08-21,3.145,0.2391,,
2001-08-22,3.0473,0.2469,,
2001-08-23,3.0275,0.2483,,
2001-08-24,2.9643,0.2538,,
2001-08-27,2.8998,0.2594,,
2001-08-28,2.8795,0.2611,,
2001-08-29,2.9356999999999998,0.2562,,
2001-08-30,3.0034,0.251,,
2001-08-31,2.9661,0.254,,
2001-09-03,2.9073,0.2592,,
2001-09-04,2.8904,0.261,,
2001-09-05,2.9042,0.2598,,
2001-09-06,2.9183,0.2584,,
2001-09-07,2.9404,0.2564,,
2001-09-10,2.9635,0.2545,,
2001-09-11,2.9558,0.2552,,
2001-09-12,3.1227,0.2416,,
2001-09-13,3.0677,0.246,,
2001-09-14,3.1728,0.2378,,
2001-09-17,3.2079,0.2351,,
2001-09-18,3.1409,0.2401,,
2001-09-19,3.0585,0.2466,,
2001-09-20,3.1471,0.2393,,
2001-09-21,3.3172,0.2271,,
2001-09-24,3.2753,0.2302,,
2001-09-25,3.4,0.2216,,
2001-09-26,3.4463,0.2185,,
2001-09-27,3.4522,0.2184,,
2001-09-28,3.3802,0.2232,,
2001-10-01,3.3867,0.222,,
2001-10-02,3.2956,0.2199,,
2001-10-03,3.3698,0.2152,,
2001-10-04,3.3372,0.2175,,
2001-10-05,3.321,0.2185,,
2001-10-08,3.3386,0.2173,,
2001-10-09,3.7733,0.2209,,
2001-10-10,3.6647,0.2275,,
2001-10-11,3.5198,0.2368,,
2001-10-12,3.5302,0.2359,,
2001-10-15,3.5702,0.2333,,
2001-10-16,3.5059,0.2378,,
2001-10-17,3.1886,0.2445,,
2001-10-18,3.291,0.2368,,
2001-10-19,3.2983000000000002,0.2363,,
2001-10-22,3.1993,0.2437,,
2001-10-23,3.1788,0.2454,,
2001-10-24,3.1722,0.2459,,
2001-10-25,3.2169,0.2428,,
2001-10-26,3.1639,0.2475,,
2001-10-29,3.1332,0.2497,,
2001-10-30,3.0771,0.2542,,
2001-10-31,3.0872,0.2537,,
2001-11-01,3.0858,0.267,,
2001-11-02,3.095,0.2661,,
2001-11-05,3.737,0.2766,,
2001-11-06,3.8122,0.271,,
2001-11-08,3.6096,0.286,,
2001-11-09,3.5127,0.294,,
2001-11-12,3.5295,0.2926,,
2001-11-13,3.342,0.309,,
2001-11-14,3.447,0.2997,,
2001-11-15,3.6672000000000002,0.2823,,
2001-11-16,3.7159,0.2788,,
2001-11-19,3.6572,0.2834,,
2001-11-20,3.5759,0.2904,,
2001-11-21,3.62,0.287,,
2001-11-22,3.4428,0.3019,,
2001-11-23,3.5021,0.2968,,
2001-11-26,3.4959,0.2973,,
2001-11-27,3.4874,0.298,,
2001-11-28,3.5309,0.2944,,
2001-11-29,3.5356,0.294,,
2001-11-30,3.4902,0.2975,,
2001-12-03,3.4822,0.2985,,
2001-12-04,3.3639,0.3089,,
2001-12-05,3.3721,0.3082,,
2001-12-06,3.276,0.3173,,
2001-12-07,3.3156,0.3146,,
2001-12-10,3.2861000000000002,0.3174,,
2001-12-11,3.2676,0.3192,,
2001-12-13,3.4198,0.3072,,
2001-12-14,3.4461,0.3048,,
2001-12-17,3.3569,0.0,,
2001-12-18,3.3259,0.0,,
2001-12-19,3.2552,0.0,,
2001-12-20,3.1973,0.0,,
2001-12-21,3.1814,0.0,,
2001-12-24,3.1278,0.0,,
2001-12-25,3.1593999999999998,0.0,,
2001-12-26,3.1375,0.0,,
2001-12-27,3.1075,0.0,,
2001-12-28,3.0788,0.0,,
2001-12-29,,0.0,,
2002-01-03,1.7234,0.5927,2.9834,
2002-01-04,1.6663999999999999,0.613,3.0854,
2002-01-08,1.5958999999999999,0.6392,3.2177,
2002-01-09,1.5852,0.6437,3.2402,
2002-01-10,1.6092,0.6346,3.1957,
2002-01-11,1.5856,0.644,3.2431,
2002-01-14,1.6355,0.6244,3.1445,
2002-01-15,1.625,0.6283,3.164,
2002-01-16,1.6298,0.6267,3.1562,
2002-01-17,1.5929,0.6412,3.2289,
2002-01-18,1.5917,0.6416,3.2308,
2002-01-21,1.5695000000000001,0.649,3.2685,
2002-01-22,1.5262,0.6674,3.3609,
2002-01-23,1.5545,0.6549,3.2981,
2002-01-24,1.6269,0.6255,3.1499,
2002-01-25,1.6529,0.6157,3.1005,
2002-01-28,1.6235,0.627,3.1576,
2002-01-29,1.5636999999999999,0.651,3.2784,
2002-01-30,1.6218,0.6278,3.1612999999999998,
2002-01-31,1.6000999999999999,0.6362,3.2037,
2002-02-01,1.5974,0.6372,3.209,
2002-02-04,1.5939,0.6386,3.2159,
2002-02-05,1.6097000000000001,0.6323,3.184,
2002-02-06,1.5715,0.6474,3.2604,
2002-02-07,1.5627,0.651,3.2782999999999998,
2002-02-08,1.5657999999999999,0.6497,3.2718,
2002-02-11,1.563,0.6506,3.2763999999999998,
2002-02-12,1.5422,0.6595,3.321,
2002-02-13,1.5019,0.6541,3.2939,
2002-02-14,1.5070999999999999,0.6517,3.2822,
2002-02-15,1.5137,0.649,3.2684,
2002-02-18,1.5271,0.6435,3.2408,
2002-02-19,1.5383,0.6387,3.2165,
2002-02-20,1.5726,0.6249,3.1467,
2002-02-21,1.5377,0.6391,3.2185,
2002-02-22,1.5045,0.6532,3.2896,
2002-02-26,1.5097,0.6508,3.2775,
2002-02-27,1.5236,0.6448,3.2469,
2002-02-28,1.5283,0.6426,3.2359,
2002-03-01,1.4546000000000001,0.6754,3.4015,
2002-03-04,1.3927,0.7055,3.5529,
2002-03-05,1.1753,0.7102,3.7285,
2002-03-06,1.3519,0.6164,3.2357,
2002-03-07,1.3025,0.6398,3.3587,
2002-03-11,1.3511,0.6166,3.2371,
2002-03-12,1.3624,0.6118,3.2116,
2002-03-13,1.3373,0.6233,3.2720000000000002,
2002-03-14,1.2993000000000001,0.6417,3.3687,
2002-03-15,1.2686,0.6573,3.4503,
2002-03-18,1.241,0.6718,3.5268,
2002-03-19,1.2364,0.6746,3.5414,
2002-03-20,1.333,0.6253,3.2826,
2002-03-21,1.3146,0.634,3.328,
2002-03-22,1.3071,0.6376,3.3473,
2002-03-25,1.3411,0.6214,3.262,
2002-03-26,1.3592,0.6128,3.2169,
2002-03-27,1.3386,0.6223,3.2669,
2002-03-28,1.3011,0.6403,3.3615,
2002-03-29,1.2952,0.6434,3.3774,
2002-04-01,1.2474,0.6852,3.5893,
2002-04-02,1.2597,0.6786,3.5547,
2002-04-03,1.284,0.6657,3.4871,
2002-04-04,1.2871000000000001,0.6662,3.4901,
2002-04-05,1.2753999999999999,0.6725,3.5227,
2002-04-08,1.2753999999999999,0.6789,3.5562,
2002-04-09,1.2352,0.7012,3.6732,
2002-04-10,1.2022,0.7199,3.7709,
2002-04-11,1.2062,0.717,3.7558,
2002-04-12,1.2313,0.7026,3.6807,
2002-04-15,1.2017,0.7287,3.817,
2002-04-16,1.205,0.7264,3.8049,
2002-04-17,1.1894,0.7358,3.8543,
2002-04-18,1.1569,0.7564,3.9621,
2002-04-19,1.1567,0.7559,3.9599,
2002-04-22,1.1783,0.7423,3.8885,
2002-04-23,1.1755,0.7448,3.9016,
2002-04-24,1.1635,0.7525,3.9417,
2002-04-25,1.1702,0.7487,3.9222,
2002-04-26,1.1372,0.771,4.0386,
2002-04-27,1.1442,0.7661,4.0133,
2002-04-29,1.1414,0.7669,4.0172,
2002-04-30,1.1584,0.7559,3.9596999999999998,
2002-05-06,1.1196,0.7563,3.9616,
2002-05-07,1.1684,0.7305,3.8266,
2002-05-08,1.1428,0.7469,3.9124,
2002-05-13,1.2325,0.7505,3.9312,
2002-05-14,1.1724,0.789,4.1329,
2002-05-15,1.1759,0.788,4.1277,
2002-05-16,1.209,0.7953,4.1662,
2002-05-17,1.3652,0.8171,4.2803,
2002-05-18,1.3566,0.8224,4.3079,
2002-05-20,1.3384,0.8336,4.3666,
2002-05-21,1.3524,0.8252,4.3227,
2002-05-22,1.3751,0.8117,4.2522,
2002-05-23,1.3703,0.8145,4.2666,
2002-05-24,1.4132,0.7898,4.1372,
2002-05-27,1.4031,0.7954,4.1664,
2002-05-28,1.4618,0.7638,4.0009,
2002-05-29,1.4934,0.748,3.9182,
2002-05-30,1.5023,0.744,3.8974,
2002-05-31,1.4552,0.7678,4.022,
2002-06-03,1.4548,0.768,4.023,
2002-06-04,1.482,0.754,3.9499,
2002-06-05,1.4705,0.7598,3.9801,
2002-06-06,1.4391,0.7757,4.0633,
2002-06-07,1.4593,0.765,4.0071,
2002-06-10,1.4337,0.7788,4.0795,
2002-06-11,1.4357,0.7771,4.071,
2002-06-13,1.4544000000000001,0.7672,4.0187,
2002-06-14,1.502,0.7429,3.8913,
2002-06-17,1.5123,0.7378,3.8651,
2002-06-18,1.5476,0.7209,3.7762000000000002,
2002-06-19,1.5877,0.7027,3.6808,
2002-06-20,1.6242999999999999,0.687,3.5985,
2002-06-21,1.6286,0.6855,3.5907,
2002-06-24,1.6535,0.6752,3.5366999999999997,
2002-06-25,1.6463999999999999,0.6782,3.5525,
2002-06-26,1.6932,0.6597,3.4556,
2002-06-27,1.6114000000000002,0.6934,3.6324,
2002-06-28,1.6076000000000001,0.695,3.6405,
2002-07-01,1.5721,0.7056,3.7645,
2002-07-02,1.5963,0.6949,3.7074,
2002-07-03,1.5828,0.7006,3.7377000000000002,
2002-07-04,1.5076,0.7102,3.789,
2002-07-05,1.4562,0.7353,3.9226,
2002-07-08,1.4254,0.7423,3.9706,
2002-07-09,1.4111,0.7497,4.01,
2002-07-10,1.3848,0.7641,4.0868,
2002-07-11,1.4281,0.7407,3.9617,
2002-07-12,1.4293,0.7397,3.9568,
2002-07-15,1.4485000000000001,0.7297,3.9031000000000002,
2002-07-16,1.4667,0.7208,3.8552,
