date,price_to_book,dvd12M,price_to_earnings,liquidity
1970-01-30,14.93,,,
1970-02-02,15.0582,,,
1970-02-03,15.2373,,,
1970-02-04,15.1443,,,
1970-02-05,15.0845,,,
1970-02-06,15.1601,,,
1970-02-09,15.2795,,,
1970-02-10,15.1197,,,
1970-02-11,15.2672,,,
1970-02-12,15.2303,,,
1970-02-13,15.1969,,,
1970-02-16,15.1846,,,
1970-02-17,15.1671,,,
1970-02-18,15.355,,,
1970-02-19,15.411200000000001,,,
1970-02-20,15.4586,,,
1970-02-24,15.4516,,,
1970-02-25,15.6904,,,
1970-02-26,15.6114,,,
1970-02-27,14.49,,,
1970-03-02,14.524000000000001,,,
1970-03-03,14.6082,,,
1970-03-04,14.5774,,,
1970-03-05,14.571,,,
1970-03-06,14.4803,,,
1970-03-09,14.3297,,,
1970-03-10,14.3686,,,
1970-03-11,14.3589,,,
1970-03-12,14.3006,,,
1970-03-13,14.2245,,,
1970-03-16,14.0707,,,
1970-03-17,14.1322,,,
1970-03-18,14.1727,,,
1970-03-19,14.1533,,,
1970-03-20,14.095,,,
1970-03-23,14.0836,,,
1970-03-24,14.2439,,,
1970-03-25,14.5337,,,
1970-03-26,14.558,,,
1970-03-30,14.5111,,,
1970-03-31,15.43,,,
1970-04-01,15.5058,,,
1970-04-02,15.4576,,,
1970-04-03,15.3887,,,
1970-04-06,15.2802,,,
1970-04-07,15.2389,,,
1970-04-08,15.2338,,,
1970-04-09,15.2406,,,
1970-04-10,15.1907,,,
1970-04-13,15.0874,,,
1970-04-14,14.9583,,,
1970-04-15,14.9308,,,
1970-04-16,14.7844,,,
1970-04-17,14.7483,,,
1970-04-20,14.7758,,,
1970-04-21,14.6984,,,
1970-04-22,14.5073,,,
1970-04-23,14.2955,,,
1970-04-24,14.249,,,
1970-04-27,14.0235,,,
1970-04-28,13.8187,,,
1970-04-29,14.0838,,,
1970-04-30,15.53,,,
1970-05-01,15.5147,,,
1970-05-04,15.0499,,,
1970-05-05,14.973700000000001,,,
1970-05-06,15.1394,,,
1970-05-07,15.208,,,
1970-05-08,15.1337,,,
1970-05-11,14.973700000000001,,,
1970-05-12,14.8308,,,
1970-05-13,14.5794,,,
1970-05-14,14.3717,,,
1970-05-15,14.6499,,,
1970-05-18,14.6613,,,
1970-05-19,14.3755,,,
1970-05-20,14.0059,,,
1970-05-21,13.7469,,,
1970-05-22,13.764,,,
1970-05-25,13.383,,,
1970-05-26,13.2001,,,
1970-05-27,13.8631,,,
1970-05-28,14.2136,,,
1970-05-29,13.58,,,
1970-06-01,13.8088,,,
1970-06-02,13.8088,,,
1970-06-03,13.9295,,,
1970-06-04,13.723700000000001,,,
1970-06-05,13.512599999999999,,,
1970-06-08,13.4824,,,
1970-06-09,13.5268,,,
1970-06-10,13.3902,,,
1970-06-11,13.2075,,,
1970-06-12,13.1649,,,
1970-06-15,13.195,,,
1970-06-16,13.509,,,
1970-06-17,13.4824,,,
1970-06-18,13.5729,,,
1970-06-19,13.6687,,,
1970-06-22,13.596,,,
1970-06-23,13.2624,,,
1970-06-24,13.1223,,,
1970-06-25,13.1312,,,
1970-06-26,13.0336,,,
1970-06-29,12.9307,,,
1970-06-30,14.18,,,
1970-07-01,14.2424,,,
1970-07-02,14.219,,,
1970-07-06,13.9967,,,
1970-07-07,13.8895,,,
1970-07-08,14.2346,,,
1970-07-09,14.4413,,,
1970-07-10,14.5407,,,
1970-07-13,14.5232,,,
1970-07-14,14.5115,,,
1970-07-15,14.6694,,,
1970-07-16,14.8859,,,
1970-07-17,15.1491,,,
1970-07-20,15.155,,,
1970-07-21,15.0107,,,
1970-07-22,15.0204,,,
1970-07-23,15.2096,,,
1970-07-24,15.1745,,,
1970-07-27,15.1413,,,
1970-07-28,15.1647,,,
1970-07-29,15.2174,,,
1970-07-30,15.2232,,,
1970-07-31,14.53,,,
1970-08-03,14.3383,,,
1970-08-04,14.3699,,,
1970-08-05,14.3681,,,
1970-08-06,14.3494,,,
1970-08-07,14.3867,,,
1970-08-10,14.1856,,,
1970-08-11,14.1149,,,
1970-08-12,14.0404,,,
1970-08-13,13.9175,,,
1970-08-14,13.9957,,,
1970-08-17,14.0237,,,
1970-08-18,14.1856,,,
1970-08-19,14.3271,,,
1970-08-20,14.4537,,,
1970-08-21,14.7515,,,
1970-08-24,15.0773,,,
1970-08-25,15.1015,,,
1970-08-26,15.1183,,,
1970-08-27,15.0941,,,
1970-08-28,15.2393,,,
1970-08-31,15.0,,,
1970-09-01,14.8951,,,
1970-09-02,14.8969,,,
1970-09-03,15.1049,,,
1970-09-04,15.241,,,
1970-09-08,15.2797,,,
1970-09-09,15.2337,,,
1970-09-10,15.1435,,,
1970-09-11,15.184,,,
1970-09-14,15.1012,,,
1970-09-15,14.9706,,,
1970-09-16,15.0497,,,
1970-09-17,15.1417,,,
1970-09-18,15.2024,,,
1970-09-21,15.0718,,,
1970-09-22,15.0258,,,
1970-09-23,15.241,,,
1970-09-24,15.4398,,,
1970-09-25,15.4508,,,
1970-09-28,15.4306,,,
1970-09-29,15.5115,,,
1970-09-30,15.44,,,
1970-10-01,15.4602,,,
1970-10-02,15.6142,,,
1970-10-05,15.8544,,,
1970-10-06,15.924,,,
1970-10-07,15.9314,,,
1970-10-08,15.759,,,
1970-10-09,15.5995,,,
1970-10-12,15.4327,,,
1970-10-13,15.4125,,,
1970-10-14,15.4363,,,
1970-10-15,15.5207,,,
1970-10-16,15.4528,,,
1970-10-19,15.2456,,,
1970-10-20,15.3355,,,
1970-10-21,15.3391,,,
1970-10-22,15.2878,,,
1970-10-23,15.3593,,,
1970-10-26,15.275,,,
1970-10-27,15.2401,,,
1970-10-28,15.297,,,
1970-10-29,15.2841,,,
1970-10-30,15.48,,,
1970-11-02,15.5283,,,
1970-11-03,15.6604,,,
1970-11-04,15.692,,,
1970-11-05,15.638,,,
1970-11-06,15.6604,,,
1970-11-09,15.744,,,
1970-11-10,15.7663,,,
1970-11-11,15.811,,,
1970-11-12,15.6473,,,
1970-11-13,15.5023,,,
1970-11-16,15.4781,,,
1970-11-17,15.4967,,,
1970-11-18,15.3945,,,
1970-11-19,15.4168,,,
1970-11-20,15.5674,,,
1970-11-23,15.6641,,,
1970-11-24,15.7645,,,
1970-11-25,15.8221,,,
1970-11-27,15.9783,,,
1970-11-30,15.44,,,
1970-12-01,15.4878,,,
1970-12-02,15.6666,,,
1970-12-03,15.741,,,
1970-12-04,15.8402,,,
1970-12-07,15.9252,,,
1970-12-08,15.8419,,,
1970-12-09,15.8543,,,
1970-12-10,15.9216,,,
1970-12-11,15.9818,,,
1970-12-14,15.9004,,,
1970-12-15,15.8756,,,
1970-12-16,15.8862,,,
1970-12-17,15.9429,,,
1970-12-18,15.9747,,,
1970-12-21,15.9252,,,
1970-12-22,15.9429,,,
1970-12-23,15.9535,,,
1970-12-24,16.0438,,,
1970-12-28,16.1288,,,
1970-12-29,16.3041,,,
1970-12-30,16.3377,,,
1970-12-31,16.71,3.3966,,
1971-01-04,16.5287,,,
1971-01-05,16.6465,,,
1971-01-06,16.7463,,,
1971-01-07,16.7517,,,
1971-01-08,16.7173,,,
1971-01-11,16.6792,,,
1971-01-12,16.8134,,,
1971-01-13,16.7844,,,
1971-01-14,16.8279,,,
1971-01-15,16.8696,,,
1971-01-18,16.9385,,,
1971-01-19,17.002,,,
1971-01-20,17.0056,,,
1971-01-21,17.0799,,,
1971-01-22,17.205,,,
1971-01-25,17.2776,,,
1971-01-26,17.3338,,,
1971-01-27,17.2069,,,
1971-01-28,17.2649,,,
1971-01-29,17.43,3.2541,,
1971-02-01,17.5282,,,
1971-02-02,17.53,,,
1971-02-03,17.5663,,,
1971-02-04,17.5645,,,
1971-02-05,17.6209,,,
1971-02-08,17.7154,,,
1971-02-09,17.7263,,,
1971-02-10,17.7045,,,
1971-02-11,17.799,,,
1971-02-12,17.8936,,,
1971-02-16,17.9354,,,
1971-02-17,17.8518,,,
1971-02-18,17.7354,,,
1971-02-19,17.5863,,,
1971-02-22,17.4009,,,
1971-02-23,17.4682,,,
1971-02-24,17.5845,,,
1971-02-25,17.6191,,,
1971-02-26,18.14,3.2145,,
1971-03-01,18.1869,,,
1971-03-02,18.1831,,,
1971-03-03,18.1775,,,
1971-03-04,18.3594,,,
1971-03-05,18.5544,,,
1971-03-08,18.6331,,,
1971-03-09,18.6481,,,
1971-03-10,18.6181,,,
1971-03-11,18.635,,,
1971-03-12,18.6687,,,
1971-03-15,18.8825,,,
1971-03-16,18.9762,,,
1971-03-17,18.9593,,,
1971-03-18,18.9725,,,
1971-03-19,18.9387,,,
1971-03-22,18.8656,,,
1971-03-23,18.8018,,,
1971-03-24,18.6781,,,
1971-03-25,18.6762,,,
1971-03-26,18.74,,,
1971-03-29,18.755,,,
1971-03-30,18.7981,,,
1971-03-31,18.73,3.0904,,
1971-04-01,18.7449,,,
1971-04-02,18.776699999999998,,,
1971-04-05,18.8196,,,
1971-04-06,18.9541,,,
1971-04-07,19.0418,,,
1971-04-08,19.0642,,,
1971-04-12,19.2099,,,
1971-04-13,19.2285,,,
1971-04-14,19.3014,,,
1971-04-15,19.3294,,,
1971-04-16,19.3238,,,
1971-04-19,19.4209,,,
1971-04-20,19.3462,,,
1971-04-21,19.2995,,,
1971-04-22,19.3368,,,
1971-04-23,19.4283,,,
1971-04-26,19.4078,,,
1971-04-27,19.4918,,,
1971-04-28,19.5628,,,
1971-04-29,19.5366,,,
1971-04-30,20.15,2.9726,,
1971-05-03,20.0221,,,
1971-05-04,20.119,,,
1971-05-05,20.117,,,
1971-05-06,20.0104,,,
1971-05-07,19.9406,,,
1971-05-10,19.8418,,,
1971-05-11,19.8922,,,
1971-05-12,19.9465,,,
1971-05-13,19.9058,,,
1971-05-14,19.8127,,,
1971-05-17,19.5181,,,
1971-05-18,19.5452,,,
1971-05-19,19.5917,,,
1971-05-20,19.6382,,,
1971-05-21,19.5762,,,
1971-05-24,19.4095,,,
1971-05-25,19.2816,,,
1971-05-26,19.3048,,,
1971-05-27,19.268,,,
1971-05-28,19.3275,,,
1971-06-01,19.438,,,
1971-06-02,19.5855,,,
1971-06-03,19.5952,,,
1971-06-04,19.6514,,,
1971-06-07,19.6204,,,
1971-06-08,19.4613,,,
1971-06-09,19.4555,,,
1971-06-10,19.5234,,,
1971-06-11,19.6068,,,
1971-06-14,19.4419,,,
1971-06-15,19.4613,,,
1971-06-16,19.5001,,,
1971-06-17,19.4962,,,
1971-06-18,19.1994,,,
1971-06-21,18.986,,,
1971-06-22,18.9317,,,
1971-06-23,19.0908,,,
1971-06-24,19.0442,,,
1971-06-25,19.0093,,,
1971-06-28,18.9608,,,
1971-06-29,19.1703,,,
1971-06-30,19.29,3.0993,,
1971-07-01,19.3055,,,
1971-07-02,19.3055,,,
1971-07-06,19.3016,,,
1971-07-07,19.3558,,,
1971-07-08,19.4138,,,
1971-07-09,19.4815,,,
1971-07-12,19.5067,,,
1971-07-13,19.2513,,,
1971-07-14,19.1971,,,
1971-07-15,19.2087,,,
1971-07-16,19.1759,,,
1971-07-19,19.141,,,
1971-07-20,19.2165,,,
1971-07-21,19.2087,,,
1971-07-22,19.1759,,,
1971-07-23,19.143,,,
1971-07-26,19.0907,,,
1971-07-27,18.9185,,,
1971-07-28,18.7812,,,
1971-07-29,18.578,,,
1971-07-30,18.95,3.2329,,
1971-08-02,19.0253,,,
1971-08-03,18.7379,,,
1971-08-04,18.6149,,,
1971-08-05,18.6546,,,
1971-08-06,18.6863,,,
1971-08-09,18.5436,,,
1971-08-10,18.5455,,,
1971-08-11,18.7676,,,
1971-08-12,19.0333,,,
1971-08-13,18.9718,,,
1971-08-16,19.5805,,,
1971-08-17,19.8243,,,
1971-08-18,19.5488,,,
1971-08-19,19.4615,,,
1971-08-20,19.4952,,,
1971-08-23,19.6955,,,
1971-08-24,19.9056,,,
1971-08-25,19.9076,,,
1971-08-26,19.8739,,,
1971-08-27,19.9215,,,
1971-08-30,19.7312,,,
1971-08-31,18.56,3.1203,,
1971-09-01,18.5675,,,
1971-09-02,18.6087,,,
1971-09-03,18.8711,,,
1971-09-07,18.9573,,,
1971-09-08,18.9929,,,
1971-09-09,18.8917,,,
1971-09-10,18.8205,,,
1971-09-13,18.7549,,,
1971-09-14,18.6181,,,
1971-09-15,18.6987,,,
1971-09-16,18.6781,,,
1971-09-17,18.7343,,,
1971-09-20,18.6818,,,
1971-09-21,18.6181,,,
1971-09-22,18.455,,,
1971-09-23,18.4382,,,
1971-09-24,18.3951,,,
1971-09-27,18.2957,,,
1971-09-28,18.3445,,,
1971-09-29,18.3482,,,
1971-09-30,18.71,3.132,,
1971-10-01,18.8223,,,
1971-10-04,18.8755,,,
1971-10-05,18.8565,,,
1971-10-06,18.9916,,,
1971-10-07,19.0296,,,
1971-10-08,18.9041,,,
1971-10-11,18.866,,,
1971-10-12,18.944,,,
1971-10-13,18.8413,,,
1971-10-14,18.6701,,,
1971-10-15,18.6054,,,
1971-10-18,18.5217,,,
1971-10-19,18.4551,,,
1971-10-20,18.1982,,,
1971-10-21,18.1887,,,
1971-10-22,18.1716,,,
1971-10-25,18.0936,,,
1971-10-26,18.0251,,,
1971-10-27,17.8443,,,
1971-10-28,17.8767,,,
1971-10-29,18.24,3.2686,,
1971-11-01,17.9632,,,
1971-11-02,18.0367,,,
1971-11-03,18.3716,,,
1971-11-04,18.3484,,,
1971-11-05,18.2845,,,
1971-11-08,18.271,,,
1971-11-09,18.2845,,,
1971-11-10,18.0813,,,
1971-11-11,17.8316,,,
1971-11-12,17.8316,,,
1971-11-15,17.7716,,,
1971-11-16,17.9458,,,
1971-11-17,17.9729,,,
1971-11-18,17.8335,,,
1971-11-19,17.7328,,,
1971-11-22,17.5741,,,
1971-11-23,17.4522,,,
1971-11-24,17.4851,,,
1971-11-26,17.7967,,,
1971-11-29,18.0813,,,
1971-11-30,17.46,3.2769,,
1971-12-01,17.7479,,,
1971-12-02,17.8037,,,
1971-12-03,18.0303,,,
1971-12-06,17.9281,,,
1971-12-07,17.995,,,
1971-12-08,18.0043,,,
1971-12-09,18.0117,,,
1971-12-10,18.1473,,,
1971-12-13,18.1882,,,
1971-12-14,18.1436,,,
1971-12-15,18.3052,,,
1971-12-16,18.5282,,,
1971-12-17,18.6247,,,
1971-12-20,18.8644,,,
1971-12-21,18.910800000000002,,,
1971-12-22,18.7957,,,
1971-12-23,18.7139,,,
1971-12-27,18.7529,,,
1971-12-28,18.9387,,,
1971-12-29,18.987,,,
1971-12-30,18.9071,,,
1971-12-31,18.31,3.0072,,
1972-01-03,18.2347,,,
1972-01-04,18.31,,,
1972-01-05,18.4858,,,
1972-01-06,18.5647,,,
1972-01-07,18.5575,,,
1972-01-10,18.5306,,,
1972-01-11,18.5898,,,
1972-01-12,18.579,,,
1972-01-13,18.4714,,,
1972-01-14,18.5432,,,
1972-01-17,18.5988,,,
1972-01-18,18.6615,,,
1972-01-19,18.631,,,
1972-01-20,18.631,,,
1972-01-21,18.5898,,,
1972-01-24,18.3961,,,
1972-01-25,18.4338,,,
1972-01-26,18.3835,,,
1972-01-27,18.5629,,,
1972-01-28,18.6813,,,
1972-01-31,19.03,2.9536,,
1972-02-01,19.0428,,,
1972-02-02,19.1655,,,
1972-02-03,19.1582,,,
1972-02-04,19.1984,,,
1972-02-07,19.1399,,,
1972-02-08,19.1765,,,
1972-02-09,19.3248,,,
1972-02-10,19.3321,,,
1972-02-11,19.2387,,,
1972-02-14,19.149,,,
1972-02-15,19.2296,,,
1972-02-16,19.3376,,,
1972-02-17,19.3321,,,
1972-02-18,19.2753,,,
1972-02-22,19.2772,,,
1972-02-23,19.2937,,,
1972-02-24,19.3065,,,
1972-02-25,19.4401,,,
1972-02-28,19.442,,,
1972-02-29,19.4,2.8807,,
1972-03-01,19.542,,,
1972-03-02,19.5365,,,
1972-03-03,19.6494,,,
1972-03-06,19.8005,,,
1972-03-07,19.8187,,,
1972-03-08,19.8351,,,
1972-03-09,19.8314,,,
1972-03-10,19.7277,,,
1972-03-13,19.5383,,,
1972-03-14,19.5893,,,
1972-03-15,19.6148,,,
1972-03-16,19.5693,,,
1972-03-17,19.6458,,,
1972-03-20,19.5857,,,
1972-03-21,19.4218,,,
1972-03-22,19.4491,,,
1972-03-23,19.6148,,,
1972-03-24,19.5729,,,
1972-03-27,19.5329,,,
1972-03-28,19.5092,,,
1972-03-29,19.3854,,,
1972-03-30,19.1517,,,
1972-04-03,19.2017,,,
1972-04-04,19.3161,,,
1972-04-05,19.4733,,,
1972-04-06,19.5483,,,
1972-04-07,19.5841,,,
1972-04-10,19.5537,,,
1972-04-11,19.6091,,,
1972-04-12,19.6841,,,
1972-04-13,19.6359,,,
1972-04-14,19.6234,,,
1972-04-17,19.5644,,,
1972-04-18,19.6109,,,
1972-04-19,19.509,,,
1972-04-20,19.4804,,,
1972-04-21,19.4536,,,
1972-04-24,19.3286,,,
1972-04-25,19.1374,,,
1972-04-26,19.0963,,,
1972-04-27,19.1249,,,
1972-04-28,19.08,2.8513,,
1972-05-01,18.9063,,,
1972-05-02,18.7982,,,
1972-05-03,18.7823,,,
1972-05-04,18.8284,,,
1972-05-05,18.8957,,,
1972-05-08,18.8089,,,
1972-05-09,18.5608,,,
1972-05-10,18.6813,,,
1972-05-11,18.7433,,,
1972-05-12,18.8514,,,
1972-05-15,18.9365,,,
1972-05-16,18.901,,,
1972-05-17,18.9418,,,
1972-05-18,19.1279,,,
1972-05-19,19.3121,,,
1972-05-22,19.438,,,
1972-05-23,19.4539,,,
1972-05-24,19.5478,,,
1972-05-25,19.5744,,,
1972-05-26,19.6099,,,
1972-05-30,19.5549,,,
1972-05-31,18.66,2.8029,,
1972-06-01,18.6873,,,
1972-06-02,18.6941,,,
1972-06-05,18.5391,,,
1972-06-06,18.4351,,,
1972-06-07,18.3397,,,
1972-06-08,18.2767,,,
1972-06-09,18.2051,,,
1972-06-12,18.2307,,,
1972-06-13,18.3227,,,
1972-06-14,18.4658,,,
1972-06-15,18.4743,,,
1972-06-16,18.4607,,,
1972-06-19,18.4181,,,
1972-06-20,18.4948,,,
1972-06-21,18.5339,,,
1972-06-22,18.5152,,,
1972-06-23,18.4454,,,
1972-06-26,18.3108,,,
1972-06-27,18.292,,,
1972-06-28,18.2324,,,
1972-06-29,18.1983,,,
1972-06-30,18.58,2.8654,,
1972-07-03,18.6407,,,
1972-07-05,18.7465,,,
1972-07-06,18.9095,,,
1972-07-07,18.8488,,,
1972-07-10,18.7482,,,
1972-07-11,18.6112,,,
1972-07-12,18.5366,,,
1972-07-13,18.4308,,,
1972-07-14,18.521,,,
1972-07-17,18.3615,,,
1972-07-18,18.3528,,,
1972-07-19,18.4066,,,
1972-07-20,18.3493,,,
1972-07-21,18.4967,,,
1972-07-24,18.7153,,,
1972-07-25,18.6598,,,
1972-07-26,18.6476,,,
1972-07-27,18.6043,,,
1972-07-28,18.6216,,,
1972-07-31,18.45,2.8587,,
1972-08-01,18.6235,,,
1972-08-02,18.7764,,,
1972-08-03,18.9224,,,
1972-08-04,18.9723,,,
1972-08-07,19.0032,,,
1972-08-08,19.0169,,,
1972-08-09,19.0461,,,
1972-08-10,19.0788,,,
1972-08-11,19.2334,,,
1972-08-14,19.3365,,,
1972-08-15,19.2523,,,
1972-08-16,19.1836,,,
1972-08-17,19.1286,,,
1972-08-18,19.2008,,,
1972-08-21,19.1939,,,
1972-08-22,19.3124,,,
1972-08-23,19.2867,,,
1972-08-24,19.0736,,,
1972-08-25,19.0135,,,
1972-08-28,18.9379,,,
1972-08-29,18.9688,,,
1972-08-30,18.9963,,,
1972-08-31,19.09,2.7635,,
1972-09-01,19.1622,,,
1972-09-05,19.114,,,
1972-09-06,18.9972,,,
1972-09-07,18.9525,,,
1972-09-08,18.9285,,,
1972-09-11,18.8185,,,
1972-09-12,18.6398,,,
1972-09-13,18.7137,,,
1972-09-14,18.7188,,,
1972-09-15,18.6982,,,
1972-09-18,18.6638,,,
1972-09-19,18.6535,,,
1972-09-20,18.6621,,,
1972-09-21,18.6329,,,
1972-09-22,18.6484,,,
1972-09-25,18.5676,,,
1972-09-26,18.5882,,,
1972-09-27,18.8443,,,
1972-09-28,18.9628,,,
1972-09-29,18.46,2.7861000000000002,,
1972-10-02,18.3949,,,
1972-10-03,18.4183,,,
1972-10-04,18.3832,,,
1972-10-05,18.1828,,,
1972-10-06,18.3047,,,
1972-10-09,18.3515,,,
1972-10-10,18.3665,,,
1972-10-11,18.2847,,,
1972-10-12,18.1344,,,
1972-10-13,18.0208,,,
1972-10-16,17.8288,,,
1972-10-17,17.9507,,,
1972-10-18,18.0659,,,
1972-10-19,18.0426,,,
1972-10-20,18.2413,,,
1972-10-23,18.4266,,,
1972-10-24,18.5034,,,
1972-10-25,18.4884,,,
1972-10-26,18.5335,,,
1972-10-27,18.4717,,,
1972-10-30,18.4667,,,
1972-10-31,18.36,2.7782999999999998,,
1972-11-01,18.5394,,,
1972-11-02,18.6315,,,
1972-11-03,18.7944,,,
1972-11-06,18.7549,,,
1972-11-08,18.6513,,,
1972-11-09,18.6759,,,
1972-11-10,18.7138,,,
1972-11-13,18.7418,,,
1972-11-14,18.9145,,,
1972-11-15,18.8405,,,
1972-11-16,18.9441,,,
1972-11-17,19.0034,,,
1972-11-20,19.01,,,
1972-11-21,19.1219,,,
1972-11-22,19.2354,,,
1972-11-24,19.2963,,,
1972-11-27,19.2058,,,
1972-11-28,19.1646,,,
1972-11-29,19.1729,,,
1972-11-30,19.23,2.6742,,
1972-12-01,19.347,,,
1972-12-04,19.4113,,,
1972-12-05,19.38,,,
1972-12-06,19.4509,,,
1972-12-07,19.5481,,,
1972-12-08,19.591,,,
1972-12-11,19.6338,,,
1972-12-12,19.558,,,
1972-12-13,19.5415,,,
1972-12-14,19.4888,,,
1972-12-15,19.4921,,,
1972-12-18,19.2679,,,
1972-12-19,19.1756,,,
1972-12-20,19.1113,,,
1972-12-21,18.9729,,,
1972-12-22,19.0916,,,
1972-12-26,19.169,,,
1972-12-27,19.2729,,,
1972-12-29,19.11,2.6684,,
1973-01-02,19.28,,,
1973-01-03,19.3561,,,
1973-01-04,19.3286,,,
1973-01-05,19.4046,,,
1973-01-08,19.4014,,,
1973-01-09,19.382,,,
1973-01-10,19.3334,,,
