date,price_to_book,dvd12M,price_to_earnings,liquidity
1998-12-01,1.4771,1.4901,18.3066,
1998-12-02,1.5383,1.4668,18.0332,
1998-12-03,1.5387,1.4429,17.7376,
1998-12-04,1.5234,1.4563,17.9036,
1998-12-07,1.5133,1.463,17.9967,
1998-12-08,1.499,1.4718,18.1292,
1998-12-09,1.498,1.4737,18.1498,
1998-12-10,1.5236,1.4518,17.8583,
1998-12-11,1.5390000000000001,1.4361,17.677,
1998-12-14,1.5583,1.4218,17.5046,
1998-12-15,1.5753,1.4253,17.5459,
1998-12-16,1.5415999999999999,1.439,17.6983,
1998-12-17,1.5394,1.4389,17.7134,
1998-12-18,1.5255999999999998,1.4508,17.8683,
1998-12-21,1.5181,1.4554,17.944,
1998-12-22,1.5234999999999999,1.4485000000000001,17.8728,
1998-12-23,1.5002,1.4727999999999999,18.1652,
1998-12-24,1.4943,1.4788000000000001,18.2375,
1998-12-29,1.4909,1.4787,18.2505,
1998-12-30,1.5038,1.4667,18.0974,
1998-12-31,1.5041,1.4916,22.3518,
1999-01-04,1.4733,1.5147,22.6404,
1999-01-05,1.4451,1.5483,23.0813,
1999-01-06,1.4126,1.5885,23.6112,
1999-01-07,1.4178,1.581,23.5237,
1999-01-08,1.403,1.5976,23.772100000000002,
1999-01-11,1.4127,1.5901999999999998,23.6089,
1999-01-12,1.4466,1.5505,23.0564,
1999-01-13,1.4665,1.5264,22.8236,
1999-01-14,1.4735,1.5148000000000001,22.6464,
1999-01-15,1.4302000000000001,1.5604,23.3317,
1999-01-18,1.4143,1.5777999999999999,23.5944,
1999-01-19,1.4301,1.5588,23.334,
1999-01-20,1.4382,1.5547,23.2013,
1999-01-21,1.4752,1.5352000000000001,22.8774,
1999-01-22,1.4704,1.5251000000000001,22.7149,
1999-01-25,1.4602,1.5354,22.8743,
1999-01-26,1.4445000000000001,1.55,23.1226,
1999-01-27,1.4436,1.5550000000000002,23.1921,
1999-01-28,1.4423,1.5558,23.2433,
1999-01-29,1.4215,1.5857999999999999,23.5811,
1999-02-01,1.415,1.5831,23.8212,
1999-02-02,1.4386999999999999,1.5537999999999998,23.429,
1999-02-03,1.4525000000000001,1.5661,23.6007,
1999-02-04,1.4451,1.5590000000000002,23.3482,
1999-02-05,1.4506000000000001,1.5552000000000001,23.2591,
1999-02-08,1.4623,1.5431,23.0734,
1999-02-09,1.4963,1.5059,22.5493,
1999-02-10,1.5141,1.4950999999999999,22.3906,
1999-02-11,1.4834,1.5221,22.7791,
1999-02-12,1.5009000000000001,1.5038,22.514499999999998,
1999-02-15,1.4967,1.5074,22.5769,
1999-02-16,1.5204,1.4929000000000001,22.3619,
1999-02-17,1.5264,1.4769,22.1504,
1999-02-18,1.5303,1.4941,22.324,
1999-02-19,1.5005,1.5061,22.5195,
1999-02-22,1.474,1.5282,22.926,
1999-02-23,1.4895,1.5144,22.6866,
1999-02-24,1.5312999999999999,1.4788000000000001,22.1609,
1999-02-25,1.5446,1.4623,22.0382,
1999-02-26,1.5293999999999999,1.4656,22.0545,
1999-03-01,1.5339,1.4538,21.9144,
1999-03-02,1.5565,1.4349,21.5951,
1999-03-03,1.5877,1.4197,21.4071,
1999-03-04,1.5479,1.4445000000000001,21.7705,
1999-03-05,1.5078,1.4863,22.3486,
1999-03-08,1.4851,1.5096,22.6892,
1999-03-09,1.4915,1.5030000000000001,22.6005,
1999-03-10,1.4678,1.5237,22.9533,
1999-03-11,1.4729999999999999,1.5207000000000002,22.8879,
1999-03-12,1.4747,1.5173,22.8626,
1999-03-15,1.4647999999999999,1.5272000000000001,23.0173,
1999-03-16,1.4864,1.5267,23.0453,
1999-03-17,1.4735,1.5209000000000001,22.903,
1999-03-18,1.4837,1.5215,22.8913,
1999-03-19,1.4805,1.5267,22.941,
1999-03-22,1.4682,1.5349,22.9827,
1999-03-23,1.501,1.5068000000000001,22.588,
1999-03-24,1.479,1.5234,22.8151,
1999-03-25,1.4628,1.538,23.0687,
1999-03-26,1.4539,1.546,23.2813,
1999-03-29,1.4453,1.5499,23.3202,
1999-03-30,1.465,1.5291000000000001,23.0055,
1999-03-31,1.4635,1.5465,28.7812,
1999-04-01,1.4658,1.5584,29.0339,
1999-04-05,1.4234,1.5951,29.6524,
1999-04-06,1.4106,1.6088,29.9291,
1999-04-07,1.4043999999999999,1.6177000000000001,30.0443,
1999-04-08,1.3654,1.6643,30.9006,
1999-04-09,1.3754,1.6499000000000001,30.695,
1999-04-12,1.3614,1.6709,30.9762,
1999-04-13,1.3689,1.6637,30.7894,
1999-04-14,1.3634,1.6692,30.9234,
1999-04-15,1.3552,1.6808,31.1,
1999-04-16,1.3554,1.6818,31.0852,
1999-04-19,1.3848,1.6511,30.4445,
1999-04-20,1.3738000000000001,1.6583999999999999,30.6744,
1999-04-21,1.3664,1.6869,31.1908,
1999-04-22,1.353,1.6898,31.1438,
1999-04-23,1.3542,1.6907,31.0971,
1999-04-26,1.3491,1.6956,31.2254,
1999-04-27,1.35,1.6953,31.1985,
1999-04-28,1.3503,1.7019,31.2983,
1999-04-29,1.3538000000000001,1.6984,31.1022,
1999-04-30,1.3736,1.6649,30.6853,
1999-05-03,1.3569,1.6896,31.0293,
1999-05-04,1.362,1.6824,30.921,
1999-05-05,1.3933,1.6707999999999998,30.7493,
1999-05-06,1.3793,1.674,31.1073,
1999-05-07,1.3873,1.6631,30.9384,
1999-05-10,1.3766,1.6736,31.1597,
1999-05-11,1.3725,1.6821000000000002,31.2245,
1999-05-12,1.3828,1.6716,31.1367,
1999-05-13,1.3683,1.6864,31.3876,
1999-05-14,1.4076,1.6376,30.527,
1999-05-17,1.3957,1.6364,30.4562,
1999-05-18,1.4043999999999999,1.6529,30.7687,
1999-05-19,1.3755,1.6747,31.2654,
1999-05-20,1.3852,1.6655,31.0879,
1999-05-21,1.3855,1.6657,31.0128,
1999-05-25,1.4233,1.6219999999999999,30.1851,
1999-05-26,1.4327,1.6122,30.1651,
1999-05-27,1.4472,1.5941,29.897,
1999-05-28,1.4287,1.6147,30.249,
1999-05-31,1.4188,1.6245,30.5426,
1999-06-01,1.4163000000000001,1.625,30.6599,
1999-06-02,1.426,1.6263,30.6377,
1999-06-03,1.3887,1.6407,30.8413,
1999-06-04,1.3937,1.6593,31.1127,
1999-06-07,1.3785,1.6772,31.4607,
1999-06-08,1.3947,1.6587,31.087,
1999-06-09,1.3881999999999999,1.6651,31.244,
1999-06-10,1.3979,1.6615,31.0215,
1999-06-11,1.3987,1.6609,31.0013,
1999-06-14,1.4026,1.6554,30.919,
1999-06-15,1.4035,1.642,30.717,
1999-06-16,1.3641,1.6636,31.0294,
1999-06-17,1.3612,1.6653,31.1102,
1999-06-18,1.3443,1.6852,31.5084,
1999-06-21,1.3644,1.6751,31.4153,
1999-06-22,1.376,1.6618,31.1438,
1999-06-23,1.3764,1.6524,30.9944,
1999-06-24,1.4072,1.6438000000000001,30.8054,
1999-06-25,1.3454,1.6578,31.0506,
1999-06-28,1.3737,1.6476,30.9188,
1999-06-29,1.3642,1.6545999999999998,31.1732,
1999-06-30,1.3531,1.6183999999999998,24.3723,
1999-07-02,1.3353,1.6585999999999999,24.8609,
1999-07-05,1.2986,1.6905999999999999,25.3768,
1999-07-06,1.3299,1.7287,26.838,
1999-07-07,1.3424,1.7107999999999999,26.5992,
1999-07-08,1.3519,1.6996,26.4084,
1999-07-09,1.3393,1.7133,26.6687,
1999-07-12,1.3416000000000001,1.7069,26.6443,
1999-07-13,1.3517000000000001,1.6924000000000001,26.4573,
1999-07-14,1.3349,1.7222,26.9028,
1999-07-15,1.322,1.7322,27.0754,
1999-07-16,1.3266,1.7265000000000001,26.9822,
1999-07-19,1.3286,1.7195,26.966,
1999-07-20,1.3524,1.6888999999999998,26.4925,
1999-07-21,1.3580999999999999,1.6785999999999999,26.4509,
1999-07-22,1.3843,1.6612,26.2391,
1999-07-23,1.3709,1.6583,26.2003,
1999-07-26,1.3896,1.6341999999999999,25.8582,
1999-07-27,1.3816,1.642,26.0179,
1999-07-28,1.3679999999999999,1.6688,26.3848,
1999-07-29,1.3768,1.6539000000000001,26.1169,
1999-07-30,1.3684,1.6646999999999998,26.2746,
1999-08-03,1.3772,1.639,24.1095,
1999-08-04,1.416,1.6238000000000001,23.8269,
1999-08-05,1.4046,1.6094,23.67,
1999-08-06,1.4109,1.5958999999999999,23.5603,
1999-08-09,1.4138,1.5932,23.5103,
1999-08-10,1.4313,1.5751,23.2148,
1999-08-11,1.4081000000000001,1.6118000000000001,23.6581,
1999-08-12,1.4028,1.6155,23.6504,
1999-08-13,1.383,1.8765,20.1629,
1999-08-16,1.3734,1.8877000000000002,20.3029,
1999-08-17,1.3819,1.8891,20.3016,
1999-08-18,1.3814,1.8824999999999998,20.252,
1999-08-19,1.3702,1.8855,20.3393,
1999-08-20,1.3615,1.8967,20.4683,
1999-08-23,1.3497,1.9119000000000002,20.6463,
1999-08-24,1.3473,1.9167,20.6837,
1999-08-25,1.3408,1.9342000000000001,20.8717,
1999-08-26,1.3503,1.9072,20.6142,
1999-08-27,1.3675,1.8973,20.4504,
1999-08-30,1.3736,1.8759000000000001,20.2304,
1999-08-31,1.3905,1.8569,19.9624,
1999-09-01,1.4157,1.8626,19.9832,
1999-09-02,1.407,1.8372000000000002,19.7474,
1999-09-03,1.3792,1.8735,20.1215,
1999-09-07,1.3654,1.892,20.3237,
1999-09-08,1.3667,1.8925,20.3056,
1999-09-09,1.3505,1.9184,20.5514,
1999-09-10,1.343,1.9325,20.6689,
1999-09-13,1.3555,1.9234,20.5456,
1999-09-14,1.3758,1.9261,20.5998,
1999-09-15,1.3672,1.9019,20.3501,
1999-09-16,1.3780999999999999,1.8898000000000001,20.217,
1999-09-17,1.3636,1.909,20.4046,
1999-09-20,1.3777,1.8986,20.324,
1999-09-21,1.415,1.8942999999999999,19.9959,
1999-09-22,1.4179,1.8855,19.877299999999998,
1999-09-23,1.4358,1.8575,19.6126,
1999-09-24,1.4466,1.8435000000000001,19.4756,
1999-09-27,1.4168,1.8836,19.8862,
1999-09-28,1.4131,1.8852,19.8623,
1999-09-29,1.4136,1.8841999999999999,19.8551,
1999-09-30,1.393,1.8401,21.771,
1999-10-01,1.4104,1.8312,21.6868,
1999-10-04,1.3703,1.8725,22.1572,
1999-10-05,1.3794,1.861,22.0131,
1999-10-06,1.3702,1.873,22.1601,
1999-10-07,1.3628,1.8829,22.2789,
1999-10-08,1.3509,1.8974,22.4707,
1999-10-12,1.3504,1.8973,22.4634,
1999-10-13,1.3771,1.8645,22.1151,
1999-10-14,1.3858,1.8479999999999999,21.906,
1999-10-15,1.4031,1.8226,21.6293,
1999-10-18,1.4026,1.819,21.6281,
1999-10-19,1.4098,1.8122,21.5223,
1999-10-20,1.3904,1.8376000000000001,21.8234,
1999-10-21,1.4003999999999999,1.8483,21.9291,
1999-10-22,1.3674,1.8761999999999999,22.2169,
1999-10-25,1.3637000000000001,1.8824999999999998,22.2799,
1999-10-26,1.3639000000000001,1.8824,22.277,
1999-10-27,1.3776,1.8706,22.1248,
1999-10-28,1.3454,1.9085999999999999,22.5848,
1999-10-29,1.3155999999999999,1.9519,23.0962,
1999-11-01,1.3125,1.9529,22.1953,
1999-11-02,1.3282,1.9289,21.9306,
1999-11-03,1.3462,1.9354,21.9997,
1999-11-04,1.3186,1.9487999999999999,22.1217,
1999-11-05,1.3118,1.9565000000000001,22.2321,
1999-11-08,1.3124,1.9538,22.2196,
1999-11-09,1.3115999999999999,1.9533,22.23,
1999-11-10,1.3002,1.9715,22.4268,
1999-11-11,1.2728,2.0169,22.9164,
1999-11-12,1.2671000000000001,2.0279,23.0232,
1999-11-15,1.2505,2.0535,23.3257,
1999-11-16,1.2631999999999999,2.0435,23.2313,
1999-11-17,1.2699,2.0419,23.206,
1999-11-18,1.2475,2.0544,23.3641,
1999-11-19,1.2384,2.0742,23.5469,
1999-11-22,1.2504,2.0542,23.3202,
1999-11-23,1.2367,2.0754,23.5757,
1999-11-24,1.232,2.0893,23.7586,
1999-11-25,1.2134,2.1119,24.0004,
1999-11-26,1.2135,2.1186,24.0852,
1999-11-29,1.2346,2.0787,23.667,
1999-11-30,1.2805,1.9975,22.6932,
1999-12-01,1.2841,2.0188,22.9298,
1999-12-02,1.2403,2.0335,23.1306,
1999-12-03,1.2168,2.0698,23.5351,
1999-12-06,1.2071,2.0932,23.7784,
1999-12-07,1.2048,2.0969,23.8233,
1999-12-08,1.2427,2.071,23.5458,
1999-12-09,1.2288999999999999,2.0711,23.5284,
1999-12-10,1.204,2.1119,24.0107,
1999-12-13,1.2052,2.1164,24.0594,
1999-12-14,1.2388,2.105,23.9481,
1999-12-15,1.2088,2.1390000000000002,24.227899999999998,
1999-12-16,1.201,2.1526,24.3576,
1999-12-17,1.195,2.1629,24.4793,
1999-12-20,1.1905000000000001,2.1705,24.5698,
1999-12-21,1.1702,2.2118,25.0308,
1999-12-22,1.1703000000000001,2.2121,25.0301,
1999-12-23,1.1532,2.2391,25.2936,
1999-12-24,1.1694,2.2622999999999998,25.5654,
1999-12-29,1.1448,2.2675,25.5405,
1999-12-30,1.1654,2.2465,25.307,
1999-12-31,1.1584,2.1747,22.1229,
2000-01-04,1.1865999999999999,2.1195,21.5755,
2000-01-05,1.2005,2.095,21.3269,
2000-01-06,1.2061,2.0809,21.2131,2.200956840980486
2000-01-07,1.1558,2.1707,22.1327,2.200956840980486
2000-01-10,1.1407,2.2146,22.6663,2.006653318800135
2000-01-11,1.1595,2.1786,22.2975,2.008951766232493
2000-01-12,1.1804999999999999,2.1515,22.0043,2.008951766232493
2000-01-13,1.1661,2.1723,22.2051,2.2659647360081796
2000-01-14,1.1784,2.1487,21.971,2.1201988485253573
2000-01-17,1.1632,2.1772,22.2598,2.0101932159088656
2000-01-18,1.1447,2.2123,22.6186,2.145032758729195
2000-01-19,1.1426,2.2151,22.6567,2.145032758729195
2000-01-20,1.1374,2.2287,22.7718,2.4133560596127794
2000-01-21,1.1491,2.2153,22.5993,2.697412889095374
2000-01-24,1.1665,2.1807,22.2575,2.697412889095374
2000-01-25,1.1579,2.1992,22.4296,2.697412889095374
2000-01-26,1.1421999999999999,2.2287,22.736,2.7127600495535904
2000-01-27,1.1282,2.2587,23.025,2.7273742942409083
2000-01-28,1.1683,2.1743,22.2125,2.7273742942409083
2000-01-31,1.1555,2.1857,21.6218,2.7185205664982637
2000-02-01,1.1505,2.1974,21.7223,2.9842868895606323
2000-02-02,1.1375,2.2641999999999998,22.3652,2.9842868895606323
2000-02-03,1.1077,2.3051,22.6668,2.9842868895606323
2000-02-04,1.0627,2.3985,23.6143,3.133019631494026
2000-02-07,1.0748,2.3723,23.3513,3.133019631494026
2000-02-08,1.0565,2.4122,23.7508,3.176006099621786
2000-02-09,1.0629,2.408,23.697400000000002,3.192764334189155
2000-02-10,1.0491,2.4242,23.886,3.2133337115827327
2000-02-11,1.0705,2.3781,23.4356,3.527621854842155
2000-02-14,1.049,2.4245,23.9084,3.470568519353236
2000-02-15,1.0428,2.4364,24.0436,3.470568519353236
2000-02-16,1.0285,2.4589,24.2421,3.4483525156473265
2000-02-17,1.0293,2.4579,24.2243,3.1681198526778864
2000-02-18,1.0407,2.4074999999999998,23.7173,3.1042306433332767
2000-02-21,1.0544,2.3738,23.4019,2.9177772119661456
2000-02-22,1.075,2.3666,23.3306,2.7517721094802097
2000-02-23,1.0695999999999999,2.3942,23.6473,2.7400697430633145
2000-02-24,1.0865,2.3503,23.193,2.788350842038824
2000-02-25,1.0937999999999999,2.3211,22.8672,2.8002594087222095
2000-02-28,1.0928,2.3357,23.0344,2.937225932932154
2000-02-29,1.1135,2.2935,22.535,2.937225932932154
2000-03-01,1.0803,2.3706,23.2693,2.8002594087222095
2000-03-02,1.0701,2.3903,23.5095,2.8002594087222095
2000-03-03,1.0588,2.3931,23.5146,2.8002594087222095
2000-03-06,1.0198,2.4466,24.0576,2.788350842038824
2000-03-07,1.0546,2.3984,23.5695,2.652250109117835
2000-03-08,1.0922,2.3622,23.2476,2.314170815779395
2000-03-09,1.0643,2.3948,23.5597,1.7786829911410231
2000-03-10,1.0569,2.412,23.726,1.680629296095928
2000-03-13,1.0575,2.4087,23.7091,1.7730411022402217
2000-03-14,1.0796999999999999,2.4112999999999998,23.744,1.5917959041017402
2000-03-15,1.0905,2.3997,23.6468,1.7248839149677135
2000-03-16,1.0569,2.4367,24.0371,1.785933532249873
2000-03-17,1.049,2.4557,24.219,1.608773848584275
2000-03-20,1.0305,2.4859,24.5053,1.608773848584275
2000-03-21,1.0226,2.519,24.8249,1.608773848584275
2000-03-22,1.0034,2.5686999999999998,25.328,1.4459606429782106
2000-03-23,0.9886,2.5914,25.5774,1.4249036282102072
2000-03-24,0.997,2.6219,25.8259,1.3761953086701144
2000-03-27,0.977,2.6393,25.948,1.3761953086701144
2000-03-28,0.983,2.6265,25.8,1.2835939728211354
2000-03-29,0.9926,2.5797,25.3458,1.302562734431887
2000-03-30,1.0258,2.4962,24.5258,1.7413524998929188
2000-03-31,1.03,2.2912,23.0924,1.7413524998929188
2000-04-03,1.0331,2.2667,22.8545,1.4005700133884194
2000-04-04,1.0607,2.2079,22.261,1.4005700133884194
2000-04-05,1.0528,2.2236,22.4246,1.2231954077147176
2000-04-06,1.0361,2.2614,22.7914,1.2974172248361446
2000-04-07,1.0386,2.2523,22.7272,1.2974172248361446
