,SP500,ESTOXX50,DAX,CAC40,FTSEMIB,ASXPI200,SPTSX60,FTSE100,IBOV,FTSE,KOSPI,OMX,SGX,FTSE_JSE,RTS,NASDAQ,NIKKEI,GOLD,SILVER,PLATINUM,PALLADIUM,COPPER,NICKEL,ALUMINUM,CRUDE,NATUGAS,CORN,WHEAT,SOYBEAN,COFFE,COCOA,SUGAR,COTTON,BRENT,HOG,CATTLE,GASOLINE,GASOIL,FEEDER,WHEATKANSAS,SUGARICE,SOYBEANOIL,SOYBEANMEAL,LEAD,ZINC,HEATINGOIL,US10Y,US2Y,US5Y,DE10Y,DE2Y,DE5Y,FR10Y,IT3Y,AU10Y,AU3Y,JP10Y,GB10Y,KRW3Y,CAD10Y
2016-01-01,-0.00024575209611687565,-0.00022096906682338188,-0.0002814606229691019,-0.00011088650625505838,-0.0002643109714896774,-3.0990131922589196e-06,-1.694354577331779e-05,-3.8466686471194587e-05,-1.4668714344104937e-05,-0.00018475079367731884,-5.8237021382458214e-05,-0.00031380684404954523,-0.00030818061416387153,-0.0008970054809953835,-2.8582502764861835e-05,-0.0008359688174562536,-0.0002718516511599882,1.6567515737742222e-05,1.3855456112734537e-06,-4.1480173722205935e-06,-2.312099250458739e-05,-1.7377516086378856e-05,-1.081115167947076e-05,-3.0404897468558324e-05,-3.1149276493641346e-06,-3.5933945912947924e-07,-1.9325001909765496e-05,-1.7982243300243272e-05,-7.808302910690048e-06,-1.4832521291895942e-05,-0.0007552685554745214,-4.4519156496359476e-05,-1.4470358084166387e-05,-1.2677891976447116e-06,-6.69111481162857e-06,-4.515343298078178e-06,3.919247677271063e-06,4.467311944957889e-06,9.214731585394024e-06,-1.64318229120806e-05,-0.00018921201309626877,-2.9412455077475993e-05,-2.1711556131512745e-05,-4.041535119850333e-05,-0.00010029291450438672,6.945395849905081e-07,0.00016311983405260656,0.0001992805735293196,0.0001036339530152354,0.0005601261438532304,0.0004813999531089376,0.00037749433912062847,0.0005784823890886656,0.0006274072433270028,0.0009692681158577341,0.00012427325816311255,0.00048212290145654665,0.0006682516042233448,0.0009508758564188128,-0.00016165215155055165
2016-01-04,2.5268578855463148e-05,1.5286314230219955e-05,1.0967983428553393e-05,1.3922562029076524e-05,6.762990286943693e-05,-6.317065957701103e-05,-3.9045832770711195e-06,1.0473839210417395e-05,2.7231268303010943e-06,-9.613021393676511e-06,1.374344143091865e-05,-2.236989821364452e-05,-4.352163672656309e-05,0.0001271788551758418,2.2975176146236292e-05,-0.00020697953298777803,-7.961153819648334e-06,3.4218374223324244e-06,4.634336397750709e-06,2.7066978367833357e-06,-1.1017626367484489e-05,5.200189180850046e-06,6.704263143669261e-07,-8.642791557353937e-06,-9.005661232440438e-06,-1.089964214317436e-06,3.977916101720178e-06,4.511264071422128e-06,1.2730129355371787e-06,-4.8451722689726195e-06,-0.0005150081762028044,-6.743237631613089e-05,1.5742632253535575e-06,-1.5351621015868486e-05,3.084844428409786e-05,4.357889708530966e-06,-6.721425337369955e-06,8.231811098578311e-07,1.9441749384287095e-06,6.256903059357907e-06,-0.0004414195460899085,-1.4579127384283649e-05,3.7031556135314956e-05,-2.584308792004085e-05,1.1226974338904948e-05,-3.1224405549504765e-07,-0.00018244656097971936,0.0,4.863895389041723e-05,0.00016655210514316705,0.000776923586417243,0.0004438340849857946,0.0002888505177160665,0.00020605106916411628,0.00014547642871531053,0.0,0.0,3.111984188772392e-05,-0.00027098231915313774,0.0001851212256120926
2016-01-05,-0.0002472135290680419,-4.289663146315109e-05,-3.2058237499738867e-05,-5.420436668635578e-05,-0.00016292473722411086,-3.905894672946412e-05,-2.8872316442835603e-05,-1.2109852745626125e-05,-7.641970961552857e-06,-7.973211604476873e-05,-8.406842354888138e-06,0.0,-9.972369100039545e-05,-0.00035763697921834523,-7.426318711878739e-05,-0.00037721540026329644,-7.260018684837294e-05,1.4247240277738789e-05,1.5214655971055472e-07,-7.4652456768253246e-06,-4.1012133859244584e-05,-2.475472491048579e-06,2.996861934926275e-06,1.1757094166253316e-05,-2.353177569814334e-05,-7.154023345503621e-06,3.435104588673915e-07,2.1137460537983e-06,6.829694107369338e-06,-1.7586332783077913e-05,-0.0005918554402518991,-2.5468029366040596e-05,-1.5060919390829227e-05,-5.0233064532302494e-05,-5.0755077013875555e-06,-3.519031828111771e-06,-1.953012412585937e-05,-3.0563067523168445e-05,8.109092658350056e-06,1.0762263845633626e-06,0.0004564992477174371,-1.169083480059238e-06,4.619322606302806e-05,-2.5727155734522472e-05,-6.507484388204304e-05,-1.2861824017535612e-05,0.000625251147797774,0.0004457874322994802,0.00027307837717844885,0.00040088894627551483,0.0005884205948030005,0.0002956164586563855,0.0005529308331403466,0.0002819786967134757,0.0005950702151865703,0.0,0.0004155439055793912,0.0007965258959173273,0.0,0.000678554891203987
2016-01-06,-0.000494727304243672,-8.1132055648892e-05,-0.00011900375552122166,-6.993828384167783e-05,-8.406260180906095e-05,-6.931260477457989e-05,-4.515327455883819e-05,-2.3866063648104065e-05,-1.2779141983235017e-05,-0.00023032024206186307,-2.4967826959302058e-05,-0.00015891230296124985,-0.00035530200093607017,-0.0006034217543770619,0.0,-0.0016375279136770441,-0.00021194590123879426,1.6344603623792607e-05,1.2771512856095435e-05,1.2526213937868596e-06,-1.5375502827092197e-05,-2.188749599695634e-05,-3.5900411100189305e-06,-1.3164724305718209e-06,-8.245831124481639e-06,1.4772279814068253e-05,-3.345191028760831e-07,8.353579369435453e-06,-1.7368780326914185e-07,-8.59293081292079e-06,-0.00012975184401128474,5.608219581158045e-05,-1.2640606281729779e-05,-1.180422602562979e-05,-2.2476542527864335e-05,-4.333918135507034e-05,-3.2286565256652993e-06,4.6359610573301716e-06,-6.866401015832872e-05,1.888992545612987e-06,0.0006503917100163458,-7.915943187412608e-06,-2.3871740299442827e-05,-1.4050589154498776e-05,-9.600189359749092e-05,-4.374606287054399e-06,0.00012553102880611712,0.00022807904389962188,0.00013952573580552894,-0.00031544678314587187,-0.00010041513357792195,-0.0001709885003671099,-0.0005644458776052713,-0.00042733093727047094,0.0008351367928629369,0.00016338309256631157,0.0004147772752019666,-8.784767252464878e-05,7.673557516753874e-05,4.1444331290207044e-05
2016-01-07,-0.0001783982167448476,-6.462189926026719e-05,-5.481376645424107e-05,-6.21977585000729e-05,-9.368030787598086e-05,-1.599862772865258e-05,-4.384711185440591e-06,-4.416718509483095e-06,-1.5066818739766306e-06,-5.9696346973170694e-05,1.1051322167456947e-05,-2.1686414850810448e-05,6.629728388430737e-05,4.5994671964995815e-06,0.0,-0.0002658578244974744,1.177911839851348e-05,-9.260732354455413e-06,-1.3777343924189668e-05,6.078057874181372e-07,7.303031867799555e-07,0.0,1.922759362605044e-06,1.4198695736206255e-05,-1.3040298718565017e-06,1.0782062436831045e-05,9.449445350741552e-06,1.4217676472531254e-05,6.964714221766393e-07,3.146804579905934e-06,0.00035921706433897523,-4.648778771243014e-05,-7.479416115503196e-07,-3.4257922053352293e-06,5.362043337850913e-06,-9.61146145875033e-06,-3.790499272582344e-06,-3.902925789146037e-05,-6.89405791053401e-05,1.0361090658940483e-05,-0.0005988309694641912,1.2073351432860978e-06,2.4128056954622303e-05,-2.65918962465909e-05,7.754491108996954e-06,-3.972787382148768e-06,0.00011665427437989028,0.0001296449571870145,0.0001427196581957016,0.000300453877817647,0.0004156475424836934,0.00024190161997845766,0.0005515050811152026,0.00020994119084876252,-0.0009950539808143595,-0.00016018533990505262,0.0006934346248389875,0.0003569645783422692,-0.0006555409762267476,0.00012824993742800134
2016-01-08,2.0379221597482727e-05,3.4145320650607588e-06,-1.182585496673136e-06,-1.8037367263786586e-05,-2.7521237742992373e-05,-3.6337056333376604e-05,-9.068941139600521e-06,-8.100658066760229e-06,-7.5871626030019456e-06,8.18952974545934e-05,-1.741037937489274e-05,0.0,-4.088311853158163e-05,0.00019561150865966777,-0.00017214744475426886,0.00011290615751410056,0.0,-1.583449420494947e-06,-1.663123061157219e-06,-1.6613320321423213e-05,-2.2967030533005678e-05,-1.5694666020325153e-05,-1.0192228133383952e-05,-2.7797330611332394e-05,-2.1440063247402542e-05,-9.06424550609203e-06,-1.223506125295178e-05,-1.2534732540118016e-05,-3.6722082895994423e-06,-2.5474205450764386e-05,-0.0005983233290883396,-4.973422214307507e-05,2.67421166618523e-06,-4.3241600722880234e-05,-2.735090632853999e-06,-9.587302701793415e-06,-3.111877338767114e-06,-1.5161085679433272e-05,3.966621197813192e-07,-1.0351643986688682e-05,-0.000328756109246725,-1.9547968445582203e-05,2.473974737836819e-05,-1.3244662866416374e-05,-6.685828371162273e-05,-1.1210224223132582e-05,-0.00019257503576810924,0.0001802659985140621,2.3094023343067706e-05,-0.00019895827607611613,-0.00010652779107264694,-0.00011329674204102004,-0.0004186878889132676,-0.0002117425720543744,0.00046598110234578205,9.552578423165591e-05,0.0,-3.834578922888249e-05,0.0009088363389813358,-3.311731450276289e-05
2016-01-11,7.077254692055361e-05,4.264566465816605e-05,6.146894979726769e-05,5.723770439976689e-05,4.596111677044194e-05,7.683791108987261e-06,9.801085405317136e-06,8.852660298652252e-06,-5.848989666033505e-06,4.0982673956620406e-05,-1.0868976826674508e-05,-3.58691375446679e-06,-0.00010930635008853855,-6.915752755881425e-05,-5.8560194784513975e-06,0.00039727605034769765,-0.0002255260871646282,-1.0310869455264324e-05,-3.6487021175157442e-06,-3.797955801067483e-06,-5.23850031089382e-06,-4.1940417635868735e-06,-1.128248551238571e-06,-6.7890218072452115e-06,-1.2148555968040177e-05,-1.7058658124965615e-05,1.1405220890865827e-05,1.5857856300036565e-05,1.1571177650361764e-05,-5.68846941666481e-07,-0.00017059310338951822,-1.5905395866649022e-05,2.250929129307171e-06,-1.956614747746575e-05,4.056519531660819e-05,-1.0263348595030747e-05,-6.093366161470124e-06,-1.334919719530394e-05,1.2790544075341103e-05,1.8452904472229225e-05,-0.00015836398014299854,-3.679803177907925e-06,0.00010724935821353432,4.68059450449215e-06,-3.0533344880232676e-05,-7.655516479440625e-06,0.0006054310998018857,9.744323382963543e-05,0.00013570696709409337,2.9308158307553045e-05,-0.00021775763883119978,-4.7058064429579275e-05,-4.371211300333596e-05,0.00014283625493482648,-0.0005667218834513576,-6.57656118747783e-05,0.00034560631115511777,0.00010279237602472751,-8.27415465360959e-05,0.0006932373532097188
2016-01-12,-0.00025982631915241836,1.706766619967984e-06,-1.86069154160523e-05,1.0018551273715641e-05,5.5236534603704056e-05,3.3014443767826217e-05,-3.0671319215316837e-05,3.3919706088475297e-06,-8.475683714485695e-06,-1.8220536576843073e-06,3.374971381480359e-05,4.733722033769352e-05,8.621933402645245e-05,-8.11384843959992e-05,-2.3997746643805055e-05,-0.0013609541683258322,0.00022041493284490402,1.7884017457155042e-06,1.3193767877262198e-05,6.237548864290888e-06,1.9095970254310475e-05,-9.71882040144093e-07,5.396098514727786e-06,1.1757086797409224e-05,-1.652252730239061e-06,1.5489014120704873e-06,2.8566210882624453e-06,-3.834977442697168e-06,4.643031317825766e-06,1.9714446147533347e-06,0.00011535755933176005,6.640396134331849e-05,1.4080416742214179e-05,-1.4108689660582692e-05,-4.531344643523954e-06,8.486823539301137e-06,-7.15203447223984e-06,-9.783912881668427e-06,9.185782421491636e-06,-4.13978321886838e-06,0.0007518549964231568,1.8996235598625738e-05,-2.470089363931818e-06,1.5325993066219236e-05,6.566914486125056e-05,-6.662330232212942e-06,0.00032662893615021126,0.00012720759713304668,0.00010537352285072941,0.00026175052394594223,0.00011167191427372107,0.00019441895681666504,0.00037936868340209467,-7.349989225674909e-05,0.000418660035621197,3.428157520860384e-05,0.0008334147031903602,7.39401069157165e-05,-8.400434805721604e-05,0.0005496052829536875
2016-01-13,0.00017860553430030927,-4.838791302206762e-05,-5.343733710459511e-05,-6.661583698071752e-05,-8.659288192658788e-05,-3.31375302536296e-05,2.542731877883244e-05,-3.2129324532247027e-06,8.909974476984182e-06,3.8569936314260984e-05,-1.057374691367281e-05,-0.00010461715829798738,-8.271391571379187e-05,-0.0004260252605186409,2.5908090522398483e-05,0.0007704254861017613,-0.00011650635772929867,-1.311826104622874e-05,-1.219030754938672e-05,-7.811159277828398e-06,4.6310712732746495e-06,6.153703889425902e-06,6.350256672098972e-06,1.7877279140202603e-05,9.209467960005923e-06,-1.658951245310419e-05,0.0,-1.1601046333053454e-05,1.761864745735146e-06,4.359430756431766e-06,-0.00011413575468131297,5.952004751966607e-05,-6.0917361100390994e-06,1.3037409211792136e-05,1.1883717894506317e-05,-2.686916091744535e-05,3.5920234696507805e-06,-9.032723307132815e-06,-3.4635790006972705e-05,-7.028615882668081e-06,0.00035185924711630777,1.1067061514372187e-05,-2.0982171258355936e-05,2.1314915139607813e-06,3.728981510282321e-05,3.8234865301464155e-06,-0.00036587712029140706,0.00012692638887424804,7.003872338570492e-06,-4.5613928277905754e-05,-0.00022879652001388723,7.462674860592763e-05,-0.00022613432785009347,-0.00029747546916501116,0.0014034376437453045,0.00021347207305187087,-0.0008330428771483241,0.00012750387346062325,-0.0006011878061570095,-2.2510824260804298e-05
2016-01-14,-0.00018277355751673407,-0.00013404162790543972,-0.0001249841227240776,-8.447891200664257e-05,-0.00023926688208684283,-2.6315207613357043e-05,-3.748995912833769e-05,-2.9426576183470943e-05,-1.3970321415989339e-05,-7.344073576385684e-05,-3.239969095487492e-05,-0.000170694026445733,-0.0002222493041910674,-0.0004584194702981232,-0.0001734805352407355,-0.0010107573779076407,-4.973667099033819e-05,1.6625817397915986e-05,4.380409028497158e-06,-3.432752776371717e-06,-4.111022404088671e-06,-9.594022587690612e-06,-6.06819214287546e-06,-8.85907412466468e-06,-2.1409603798688834e-05,-5.05173041785931e-06,1.2040973137359784e-05,6.343781047081971e-06,-2.7884996488318415e-06,-4.088124393975461e-06,0.00014787386193278475,5.469247601692741e-06,-1.2350636153855932e-05,-4.32010783350448e-05,-5.28655856938856e-06,-5.340044704791523e-05,-1.0830031378747356e-05,-9.903606445093766e-06,-8.302292145722005e-05,5.287356945677291e-06,-7.86035350952181e-05,-5.081989659490021e-06,-5.895989032601581e-05,-2.56488562146706e-05,-7.682471941939749e-05,-1.5508347123466118e-05,0.0005857693746713391,0.0004466552470646177,0.00033044844956615183,0.00048124427302454473,0.001051667982742444,0.0005374852713368384,0.0006459482674577053,0.0004497386358439391,-0.00017220200270888999,0.0,0.0010046369174016956,0.000617939993458994,0.0,0.0010335406235349631
