,SP500,ESTOXX50,DAX,CAC40,FTSEMIB,ASXPI200,SPTSX60,FTSE100,IBOV,FTSE,KOSPI,OMX,SGX,FTSE_JSE,RTS,NASDAQ,NIKKEI,GOLD,SILVER,PLATINUM,PALLADIUM,COPPER,NICKEL,ALUMINUM,CRUDE,NATUGAS,CORN,WHEAT,SOYBEAN,COFFE,COCOA,SUGAR,COTTON,BRENT,HOG,CATTLE,GASOLINE,GASOIL,FEEDER,WHEATKANSAS,SUGARICE,SOYBEANOIL,SOYBEANMEAL,LEAD,ZINC,HEATINGOIL,US10Y,US2Y,US5Y,DE10Y,DE2Y,DE5Y,FR10Y,IT3Y,AU10Y,AU3Y,JP10Y,GB10Y,KRW3Y,CAD10Y
2016-01-01,-0.00022598501539110045,-0.0002494968462909836,-0.00031345337224372114,-0.00010977422642613553,-0.0002221117313772787,-2.733533871274906e-06,-1.256401605299686e-05,-2.574539230309946e-05,-1.9225225203506002e-06,-0.00015848550151669784,-7.026733577826809e-05,-0.00034152196721914447,-0.0003947559182380879,-0.00024875940754350657,-3.332560362364275e-06,-0.001092719937756019,-0.00026756368810184163,9.521835626070285e-07,8.877651584230097e-08,-1.0321619559851472e-06,-1.0337000559584876e-05,-4.676882195115117e-06,-1.1584644979173514e-06,-4.375718829387755e-06,-7.78602945247558e-07,-1.0111893597238813e-07,-8.001754480833529e-06,-7.092735435890171e-06,-8.185655717939307e-07,-3.944388485987619e-06,-0.0007963717164455473,-2.4686589762226547e-05,-2.7499054348550393e-06,-1.8699622653068469e-07,-3.6648793002534574e-06,-2.6266175280903463e-06,4.2191686212889984e-07,1.3836684100590182e-07,9.421748142823553e-06,-1.1321763802363072e-06,-0.00030707598686167834,-9.587499943967958e-06,-7.471689945773738e-06,-1.6493436947021597e-05,-4.801570171479522e-06,8.854523521028054e-08,0.00014639680690400647,7.692597439823179e-05,9.943157023141469e-05,0.0004198012765559145,0.0005532586498179055,0.0003022300935583763,0.0005496756370552164,0.000716206591698059,0.001317774406304601,0.00010104390055298708,0.0005867025369059771,0.000726148686627485,0.001146065493150301,-0.00013143042205343377
2016-01-04,2.3087703906532046e-05,1.7308532834954298e-05,1.2301265462951405e-05,1.3792324389789012e-05,5.613360223382501e-05,-5.624757882602699e-05,-2.862402632317211e-06,7.0837275177746356e-06,3.5766052045584414e-07,-8.104644140172173e-06,1.629571647172618e-05,-2.4320274756831752e-05,-5.515960007745584e-05,3.5522731991712235e-05,2.6049538355329036e-06,-0.0002694416655769086,-7.85469139981176e-06,1.9524719364486645e-07,2.9146545086761464e-07,6.758293082909691e-07,-4.8814635142000025e-06,1.3758838617274715e-06,7.127140652455428e-08,-1.221812279558492e-06,-2.2076993446354884e-06,-3.067956056621134e-07,1.7389311252731632e-06,1.7975062746466205e-06,1.3241262275831349e-07,-1.2607218197075068e-06,-0.000546160355418764,-3.703595473456228e-05,2.9139879881480965e-07,-2.267061626038827e-06,1.6619399811903427e-05,2.5180609392411778e-06,-7.388938657622965e-07,2.5054652255197193e-08,1.9968717214490957e-06,4.404649058658836e-07,-0.0007183691350493722,-4.65341591096296e-06,1.2217987244994952e-05,-1.009488403558771e-05,5.22461340877386e-07,-3.9522405605965334e-08,-0.00016508262686130805,0.0,4.684544707120834e-05,0.0001240623384068435,0.0008916700213948307,0.00035814382014022613,0.0002746569650111425,0.00023545127289172998,0.0001973227532457789,0.0,0.0,3.364968680327865e-05,-0.0003278017202939378,0.0001495093670217824
2016-01-05,-0.0002284577451007909,-4.723277764235791e-05,-3.4620769414550976e-05,-5.516761486103369e-05,-0.00013369919389430408,-3.5114749327023095e-05,-2.0849091632495137e-05,-8.020468222953842e-06,-9.952837464014802e-07,-6.758083870530173e-05,-9.447680101564305e-06,0.0,-0.00012505114654275131,-9.712572565329539e-05,-8.034894445261644e-06,-0.0004925633967997879,-7.095029686279143e-05,8.347186094307287e-07,9.524216376487301e-09,-1.8766651680216326e-06,-1.7856173579461107e-05,-6.462922796670034e-07,3.179528661360774e-07,1.4317888297635926e-06,-5.637196544872055e-06,-1.9703629303399056e-06,1.6078878007215923e-07,8.306673125106273e-07,7.162077124915991e-07,-4.529847973875438e-06,-0.0006340656521454785,-1.3913749026254775e-05,-2.685982099336806e-06,-7.403039673496388e-06,-2.6908961549753607e-06,-2.1239251048346478e-06,-2.1636543870866675e-06,-9.302057653082469e-07,8.611652559380261e-06,7.783773041794735e-08,0.0007441400936931804,-3.571450557262818e-07,1.5099152792374817e-05,-9.917237623635338e-06,-3.107939495278861e-06,-1.641063558115571e-06,0.0005674438426753579,0.00017623676126070402,0.00026632326434066823,0.0002964534079868321,0.000672622713590272,0.0002388048706751642,0.0005249066398744158,0.0003208338603605953,0.00080778544416814,0.0,0.0005061584861695862,0.0008551306788215377,0.0,0.0005458713737410889
2016-01-06,-0.00045691278408217155,-8.781596182616449e-05,-0.00012625568240651818,-7.229775878784158e-05,-6.84257786382739e-05,-6.236572630272355e-05,-3.1937478730612263e-05,-1.549636462993759e-05,-1.6463385334933193e-06,-0.00018973184768278354,-2.764630358646957e-05,-0.00016645035270202628,-0.00044038614678746133,-0.0001585165867004137,0.0,-0.0021524087540896004,-0.0002081216684585872,9.737067568742789e-07,8.02897597866423e-07,3.1661518382749283e-07,-6.610676248391939e-06,-5.695628245984901e-06,-3.83677478714468e-07,-1.391830938738039e-07,-1.9331546442523207e-06,4.036649593567917e-06,-1.6361778975533375e-07,3.2425673553545764e-06,-1.831376299075147e-08,-2.2670022792557565e-06,-0.00014498098684953713,3.030475767824714e-05,-2.19843904822213e-06,-1.7345390219046586e-06,-1.1924538966390238e-05,-2.670023806060206e-05,-3.6100960430460927e-07,1.4197317931367121e-07,-7.420185810343628e-05,1.4048374200871318e-07,0.0010582128090809194,-2.284295134814796e-06,-7.714958382856215e-06,-5.363152228038463e-06,-4.632806522369169e-06,-5.594720817895098e-07,0.00011488669317581738,9.106834890533024e-05,0.00013622120618255422,-0.00023103719659667787,-0.00011394522354478675,-0.0001372283134423719,-0.0005344478435429423,-0.00048360252105756046,0.0011377943732492322,0.00013633910992379378,0.0005050996871047262,-9.362657847461214e-05,9.350386361878684e-05,3.295493143688424e-05
2016-01-07,-0.00016543376767657968,-6.938565561858273e-05,-5.8285797169197185e-05,-6.502847486311239e-05,-7.404012199828169e-05,-1.4406718793913857e-05,-2.9903794085608273e-06,-2.7829338267516835e-06,-1.8858600112022356e-07,-4.698572183960697e-05,1.2211932161202028e-05,-2.2426839544457495e-05,8.181193146442982e-05,1.1912915968268832e-06,0.0,-0.0003535121590930459,1.170007293743464e-05,-6.022654343726665e-07,-8.75093555863534e-07,1.5293981280032083e-07,3.125659794165905e-07,0.0,2.0975404957620851e-07,1.444284037493311e-06,-2.984191259120859e-07,2.9577859250181332e-06,4.6646698216219095e-06,5.5562272520851865e-06,7.47041573487416e-08,8.7328720097198e-07,0.0004020336033623608,-2.4760491123965552e-05,-1.226293908273574e-07,-5.033856117847289e-07,2.833727935842189e-06,-5.8956511019779755e-06,-4.384830286949901e-07,-1.2519368591948695e-06,-7.496380078121939e-05,8.099482320692549e-07,-0.0009735148090010985,3.331372620962823e-07,7.640085492662086e-06,-9.447926523797132e-06,2.0032907232209168e-07,-5.107223267244304e-07,0.0001070188363032535,5.342424490800543e-05,0.0001404014506956148,0.00021813969257212447,0.0004676871394262569,0.0001931077777273114,0.0005193719312837909,0.0002366628629673109,-0.0013618735083316342,-0.0001318228489186713,0.0008417003487352665,0.00037795088236209224,-0.0008018867068364526,0.00010118014499848848
2016-01-08,1.8676311283987565e-05,3.6334702036049713e-06,-1.2600990292723382e-06,-1.9017394587388786e-05,-2.091167876603751e-05,-3.2500091404161655e-05,-5.856373025619725e-06,-4.885690618427536e-06,-9.483032422572779e-07,6.184017898394265e-05,-1.9444752055808913e-05,0.0,-4.993358842030878e-05,4.868386393470187e-05,-1.7411165015415957e-05,0.00015261855300032783,0.0,-1.1104113437286366e-07,-1.0780458442220949e-07,-4.217248684139585e-06,-9.474018398129392e-06,-3.973005802245595e-06,-1.143694148146854e-06,-3.083425035896401e-06,-4.970560076770789e-06,-2.492604582987689e-06,-6.114355939739269e-06,-4.980638575888611e-06,-4.0244187977878055e-07,-7.888771096326017e-06,-0.00062027961396255,-2.5936127170542092e-05,4.0092135858050564e-07,-6.361130907377816e-06,-1.4310457722566535e-06,-5.94055860688802e-06,-3.426826747733905e-07,-5.079601567172286e-07,4.384375777140942e-07,-8.53804102923499e-07,-0.0005353701146535625,-5.226756173051168e-06,7.611263251131934e-06,-4.460978967328915e-06,-1.5532896383528785e-06,-1.4558412719288519e-06,-0.00017410857170491284,7.69226194626579e-05,2.296371777664419e-05,-0.00014341011624393213,-0.0001202731776778497,-8.983823525348781e-05,-0.00039328266053217914,-0.00023846618603132728,0.0006426787602113219,7.888427824374373e-05,0.0,-4.044184044494035e-05,0.0011125658300557523,-2.5889197968782107e-05
2016-01-11,6.667083518197692e-05,4.4548768034777365e-05,6.51177778532835e-05,5.978328857323205e-05,3.265342829316158e-05,6.770917742072961e-06,6.002062939198201e-06,5.072036222696018e-06,-7.243257583390531e-07,2.9469761996386062e-05,-1.1965640841078433e-05,-3.598328118933944e-06,-0.00013235803944854335,-1.6651015965833175e-05,-5.845164833224759e-07,0.0005433565228268012,-0.00022243063810073013,-7.558801834722534e-07,-2.3688576282087996e-07,-9.681317803833432e-07,-2.0242241840221187e-06,-1.0382847272931838e-06,-1.303688657936874e-07,-8.478671027054183e-07,-2.7754734585077484e-06,-4.713418651452319e-06,5.6453085666423795e-06,6.2804972744788806e-06,1.374430706457191e-06,-1.792448916852107e-07,-0.00016180269054616586,-8.030379632873814e-06,2.905948213608122e-07,-2.8763435197505062e-06,2.0725926578239637e-05,-6.35865558644536e-06,-6.359089959571875e-07,-4.907122022996478e-07,1.4158263361191632e-05,1.7179369906027286e-06,-0.0002582402693221123,-9.580254757195991e-07,3.041565990249012e-05,1.4606894464197477e-06,-6.844203321231537e-07,-9.923782722795825e-07,0.0005380935061196305,4.2938235927580635e-05,0.00013634346876814158,2.099133887639146e-05,-0.0002472495814156227,-3.725268501770597e-05,-4.080628850343446e-05,0.00016126456111511807,-0.0007872250638600482,-5.510734491382707e-05,0.00041765366307078907,0.00010737104824213006,-0.00010128292454888748,0.0005383596282352341
2016-01-12,-0.0002516996495690833,1.7530155453634002e-06,-1.9397827228935008e-05,1.0459776211948139e-05,3.6352612225035744e-05,2.844704215866176e-05,-1.7857146201254244e-05,1.8342194866935744e-06,-1.03476464021895e-06,-1.243062021843902e-06,3.702481797993423e-05,4.7024812935918434e-05,0.00010437434560237381,-1.9011503770319624e-05,-2.449765310169971e-06,-0.0018723602096751665,0.00021809357391740504,1.3252063517566026e-07,8.51205606293712e-07,1.5897302738139407e-06,6.58478944642744e-06,-2.2797472044890117e-07,6.25786793175765e-07,1.533972671363812e-06,-3.719221805715894e-07,4.203138438639045e-07,1.3922073053770731e-06,-1.51654241511041e-06,5.498476327623645e-07,5.836686479951831e-07,9.785711453523372e-05,3.230382840606992e-05,1.6248277981391024e-06,-2.0773899074359976e-06,-2.2422036250801334e-06,5.346723224814844e-06,-7.092186780786171e-07,-3.660479293919281e-07,1.0301824112759583e-05,-3.983367287735171e-07,0.0012260835264675792,4.574767463461473e-06,-6.724105485855583e-07,4.411661561587189e-06,1.4278870309150496e-06,-8.602876886010123e-07,0.0002866950066287203,5.766507669112019e-05,0.0001069362445263768,0.0001865714470064822,0.00012705121929951156,0.00015337581878338482,0.0003535667272203355,-8.336082443048458e-05,0.0005843195069455975,2.8314661457563585e-05,0.0010046380913374493,7.680915443643585e-05,-0.00010268558932597921,0.0004255290782847115
2016-01-13,0.00017718613734876633,-4.8938974569866795e-05,-5.464099166770651e-05,-6.955347368528483e-05,-5.337845735840657e-05,-2.78410699141935e-05,1.4271122075811397e-05,-1.6698136833897875e-06,1.063293451078315e-06,2.5399830030383962e-05,-1.1584450395996699e-05,-0.00010355621916709462,-0.00010146585156837768,-9.718963132710109e-05,2.5974133820309514e-06,0.0010655959579708013,-0.00011313619765192884,-9.41920633766843e-07,-7.806284406983386e-07,-1.9446910147854905e-06,1.4098534383665267e-06,1.337219647369335e-06,7.440249714515913e-07,2.2260121615603774e-06,2.05866461149436e-06,-4.482270245928837e-06,0.0,-4.453746981012011e-06,2.1040762510972658e-07,1.049998367038948e-06,-9.491777708374386e-05,2.75081890037735e-05,-6.4372017051822e-07,1.9181730742297095e-06,5.880660481232597e-06,-1.7080190597839184e-05,3.4417182924963147e-07,-3.3442256257927956e-07,-3.91006293551402e-05,-6.458388666202645e-07,0.0005716558764163019,2.5629260696681113e-06,-5.8047038675283015e-06,5.774964452292548e-07,7.799994881566514e-07,4.895002773883301e-07,-0.00031668200961760265,5.992644154362838e-05,7.111562555880302e-06,-3.244329050627781e-05,-0.0002608581919684126,5.8787055789480164e-05,-0.00021051777015179536,-0.00033783889705502686,0.0019700248200847617,0.00017877953372810837,-0.0010010840324124158,0.00013167029792500839,-0.0007337577636289265,-1.7350955879237212e-05
2016-01-14,-0.00018928650809687012,-0.00013411489216489606,-0.00012590440744446858,-8.878351851435842e-05,-0.00014110865315316844,-2.157358224646329e-05,-2.0190937260389147e-05,-1.4873316100439474e-05,-1.6251879501585678e-06,-4.656532965245518e-05,-3.571171306569968e-05,-0.00016981878101350346,-0.00027358068064584616,-0.0001020242648607139,-1.7030543333137706e-05,-0.0014113820558852117,-5.020457183730749e-05,1.1470152278251082e-06,2.8000257062045637e-07,-8.435883810350109e-07,-1.1530666970725168e-06,-1.8901702902422312e-06,-7.320947842407311e-07,-1.1350310710923847e-06,-4.776085001536571e-06,-1.359371756060324e-06,5.771270027305132e-06,2.3828887370945392e-06,-3.4699201640083475e-07,-4.1825905552814135e-07,0.00012164678795924964,2.4330560990956467e-06,-1.2844428139758833e-06,-6.36915943533089e-06,-2.6222352179406883e-06,-3.3754512578182524e-05,-1.0297159311072324e-06,-3.609794578587987e-07,-9.411678387804523e-05,4.908950339718812e-07,-0.00012756170336957793,-1.1617054506820022e-06,-1.667386032008792e-05,-6.698768114885559e-06,-1.579722574392833e-06,-1.968720335613951e-06,0.0005000486814259389,0.00022072529925657434,0.00033257431369210797,0.00034087456469870654,0.0012035768383022959,0.0004239669326954387,0.0006003170240232384,0.0005127302425786676,-0.0002417730338589548,0.0,0.001206093612330308,0.0006327090656047384,0.0,0.0007970066690748439
