,SP500,ESTOXX50,DAX,CAC40,FTSEMIB,ASXPI200,SPTSX60,FTSE100,IBOV,FTSE,KOSPI,OMX,SGX,FTSE_JSE,RTS,NASDAQ,NIKKEI,GOLD,SILVER,PLATINUM,PALLADIUM,COPPER,NICKEL,ALUMINUM,CRUDE,NATUGAS,CORN,WHEAT,SOYBEAN,COFFE,COCOA,SUGAR,COTTON,BRENT,HOG,CATTLE,GASOLINE,GASOIL,FEEDER,WHEATKANSAS,SUGARICE,SOYBEANOIL,SOYBEANMEAL,LEAD,ZINC,HEATINGOIL,US10Y,US2Y,US5Y,DE10Y,DE2Y,DE5Y,FR10Y,IT3Y,AU10Y,AU3Y,JP10Y,GB10Y,KRW3Y,CAD10Y
1995-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-01-13,1.2647631,0.0,1.2907214,2.0626655,0.0,0.0,0.0,0.9805836,0.0,0.0,0.0,0.0,0.0,0.22046138,0.0,0.0,28.161844,0.81701475,0.382281,0.52399987,0.6273162,4.0822787,0.0,0.0,1.1796083,0.26449722,1.557277,3.4058301,6.8599157,2.3391047,0.3869743,0.20738688,0.6188167,0.979479,1.1570404,1.5070927,0.0,7.350257,5.7275395,1.8413798,0.38686222,0.8441772,1.8841918,0.0,0.0,0.6131097,0.9032218,4.4759026,2.0969973,6.031494,0.0,8.571682,0.0,0.0,1.2289895,3.943442,5.611743,4.6499476,0.0,1.087851
1995-01-16,1.7982248,0.0,1.1945113,1.7505039,0.0,0.0,0.0,1.0776434,0.0,0.0,0.0,0.0,0.0,0.2971507,0.0,0.0,2.7608128,1.090637,0.5258898,0.7296599,0.8867109,0.8941434,0.0,0.0,0.6266975,0.16216804,2.1991758,1.2019609,4.83187,0.6825667,0.42729652,0.28665212,0.49403352,0.5905077,0.4025979,1.3735824,0.0,9.084519,2.2097912,1.2956045,0.551664,1.0687035,1.7472134,0.0,0.0,0.48175797,1.2571623,5.19908,2.5939388,2.6760597,0.0,4.2249317,0.0,0.0,1.2591861,2.9712422,7.662737,3.9416041,0.0,1.5247349
1995-01-17,1.9462664,0.0,1.0948712,1.1109405,0.0,0.0,0.0,0.8910896,0.0,0.0,0.0,0.0,0.0,0.36134946,0.0,0.0,3.4066741,1.255866,0.6439916,0.8853335,0.9701776,0.5619907,0.0,0.0,0.56771976,0.18376303,2.661999,1.1660292,2.8053453,0.8317674,0.3637021,0.24564527,0.54392934,0.5584296,0.49561337,1.0570598,0.0,0.5886943,1.5579102,1.1296167,0.42112425,0.6702973,1.2773131,0.0,0.0,0.41599503,1.5523328,5.1858416,2.8881297,2.4945405,0.0,3.5083637,0.0,0.0,1.549936,3.6200395,3.214771,4.0339737,0.0,1.5146123
1995-01-18,1.9007785,0.0,1.2531729,1.2904706,0.0,0.0,0.0,1.0369501,0.0,0.0,0.0,0.0,0.0,0.34429914,0.0,0.0,3.0569997,1.4282951,0.74549234,1.0145113,0.97548085,0.6516481,0.0,0.0,0.6424376,0.17226355,2.2399304,1.1009144,2.3391335,0.79290515,0.42308626,0.26539403,0.5333639,0.64975166,0.41804114,1.0331416,0.0,0.6854622,1.5949817,0.8602871,0.41997975,0.7529422,1.1010984,0.0,0.0,0.48214346,1.7987046,5.661905,3.1049592,2.6424992,0.0,3.7294712,0.0,0.0,1.7924132,3.65786,2.9238603,4.3100877,0.0,1.7491735
1995-01-19,1.6882049,0.0,1.3413811,1.0912881,0.0,0.0,0.0,1.0207496,0.0,0.0,0.0,0.0,0.0,0.35477933,0.0,0.0,2.354408,1.6105142,0.8189864,1.1058449,1.0802865,0.6260686,0.0,0.0,0.6252763,0.19065584,2.3043513,0.7885251,2.4318993,0.6672897,0.4317806,0.2948756,0.58219665,0.6528997,0.4599532,1.1043487,0.0,0.7071476,1.7628034,0.76637745,0.46415058,0.8490369,1.2407902,0.0,0.0,0.48208627,1.831028,6.3665347,3.3758588,2.871883,0.0,4.0768905,0.0,0.0,1.8914676,3.3519902,3.289048,4.8085012,0.0,1.96554
1995-01-20,1.773479,0.0,1.3163251,0.999158,0.0,0.0,0.0,1.0376548,0.0,0.0,0.0,0.0,0.0,0.38392708,0.0,0.0,2.034198,1.7622416,0.90293545,1.200033,1.1530806,0.6320182,0.0,0.0,0.68744075,0.19739927,2.316394,0.82146084,2.6697867,0.61151206,0.43604365,0.3061766,0.5994548,0.72137064,0.5081965,1.1952393,0.0,0.75128865,1.8265908,0.7063474,0.48458657,0.8166283,1.0476822,0.0,0.0,0.53028196,1.6724776,6.9256577,3.4417975,3.111,0.0,4.4726954,0.0,0.0,1.8992672,3.6084528,3.5426333,5.015431,0.0,1.5299468
1995-01-23,1.9263121,0.0,0.8004108,0.8598835,0.0,0.0,0.0,0.9871774,0.0,0.0,0.0,0.0,0.0,0.4137677,0.0,0.0,0.52103317,1.348491,0.70744765,1.021847,1.1435724,0.65592283,0.0,0.0,0.6161132,0.20029104,2.4441233,0.7925095,2.5472806,0.6588816,0.45061868,0.32785538,0.62191945,0.68071896,0.55342686,1.2425797,0.0,0.8123153,1.7382303,0.7209918,0.5175912,0.75454444,0.99930155,0.0,0.0,0.5700515,1.8198736,7.511871,3.749383,2.6984205,0.0,4.425641,0.0,0.0,1.6867365,3.7959683,3.8386014,3.4076722,0.0,1.527034
1995-01-24,2.0767057,0.0,0.76043856,0.86162084,0.0,0.0,0.0,0.94022346,0.0,0.0,0.0,0.0,0.0,0.4124015,0.0,0.0,0.50342506,1.4538392,0.76208526,1.0987256,1.2258743,0.6951467,0.0,0.0,0.63214016,0.21551687,2.6217623,0.8546111,2.6386464,0.6236836,0.48549926,0.35168833,0.6609623,0.7017998,0.54714584,1.2053885,0.0,0.7121938,1.8394865,0.7754055,0.546166,0.79797804,1.0369315,0.0,0.0,0.611712,1.9602073,7.8733387,3.9825892,2.8590703,0.0,4.537124,0.0,0.0,1.7050974,4.0306435,4.040893,3.6454842,0.0,1.5221322
1995-01-25,2.1758752,0.0,0.8019794,0.8707721,0.0,0.0,0.0,0.9409955,0.0,0.0,0.0,0.0,0.0,0.34287736,0.0,0.0,0.5255211,1.5192028,0.77312636,1.1752056,1.3055279,0.6049631,0.0,0.0,0.6723588,0.22989975,2.8045769,0.914214,2.8228076,0.6561516,0.49739856,0.3675319,0.7052279,0.7332023,0.5850108,1.2846218,0.0,0.72833055,1.9336227,0.81188476,0.58044726,0.85379297,1.0924772,0.0,0.0,0.6411482,1.8760747,7.460333,3.7947793,3.048086,0.0,4.8361025,0.0,0.0,1.5947573,3.6296177,4.275549,3.886896,0.0,1.4769373
1995-01-26,2.29483,0.0,0.7895605,0.8077158,0.0,0.0,0.0,0.921937,0.0,0.0,0.0,0.0,0.0,0.36425826,0.0,0.0,0.5552391,1.6151195,0.8220888,1.2477852,1.3598281,0.6248315,0.0,0.0,0.68514055,0.23950711,2.9562159,0.8883713,2.90803,0.67844945,0.5288294,0.3907889,0.74010015,0.7565948,0.59831643,1.3627934,0.0,0.772104,2.0320702,0.84231156,0.6137903,0.8528668,1.1615466,0.0,0.0,0.67636555,1.9347725,7.4821663,3.9106295,2.638871,0.0,4.462001,0.0,0.0,1.6958224,3.8532178,4.458408,3.1738856,0.0,1.5335747
1995-01-27,2.4268734,0.0,0.83543074,0.8432761,0.0,0.0,0.0,0.97060347,0.0,0.0,0.0,0.0,0.0,0.3849224,0.0,0.0,0.58500326,1.3386793,0.698857,1.1503824,0.994859,0.6332288,0.0,0.0,0.662569,0.25195628,2.9649303,0.9319705,3.0641525,0.566359,0.55755734,0.41328335,0.7677578,0.71465707,0.6007958,1.405054,0.0,0.78981113,2.1261828,0.8752205,0.64450127,0.85716796,1.1761515,0.0,0.0,0.7152613,1.6042211,6.914654,3.361319,2.7531924,0.0,4.711816,0.0,0.0,1.5524682,3.5420446,4.7121787,3.1196952,0.0,1.4992169
