,alpha_probs_bottom_train,alpha_probs_bottom_test,alpha_probs_bottom_validation,alpha_probs_top_train,alpha_probs_top_test,alpha_probs_top_validation,expected_value_bottom_train,expected_value_bottom_test,expected_value_bottom_validation,expected_value_top_train,expected_value_top_test,expected_value_top_validation,variance_top_train,variance_top_test,variance_top_validation,variance_bottom_train,variance_bottom_test,variance_bottom_validation,sharpe_of_average_train,sharpe_of_average_test,sharpe_of_average_validation,rets_of_average_train,rets_of_average_test,rets_of_average_validation,average_sharp_train,average_sharp_test,average_sharp_validation,average_rets_train,average_rets_test,average_rets_validation,sortino_of_average_train,sortino_of_average_test,sortino_of_average_validation,calmar_of_average_train,calmar_of_average_test,calmar_of_average_validation,percentage_of_positive_returns_train,percentage_of_positive_returns_test,percentage_of_positive_returns_validation,sharpe_of_average_transaction_cost_train,sharpe_of_average_transaction_cost_test,sharpe_of_average_transaction_cost_validation,rets_of_average_transaction_cost_train,rets_of_average_transaction_cost_test,rets_of_average_transaction_cost_validation,average_sharp_transaction_cost_train,average_sharp_transaction_cost_test,average_sharp_transaction_cost_validation,average_rets_transaction_cost_train,average_rets_transaction_cost_test,average_rets_transaction_cost_validation,sortino_of_average_transaction_cost_train,sortino_of_average_transaction_cost_test,sortino_of_average_transaction_cost_validation,calmar_of_average_transaction_cost_train,calmar_of_average_transaction_cost_test,calmar_of_average_transaction_cost_validation,percentage_of_positive_returns_transaction_cost_train,percentage_of_positive_returns_transaction_cost_test,percentage_of_positive_returns_transaction_cost_validation,alpha_probs_bottom_unnormalized_train,alpha_probs_bottom_unnormalized_test,alpha_probs_bottom_unnormalized_validation,alpha_probs_top_unnormalized_train,alpha_probs_top_unnormalized_test,alpha_probs_top_unnormalized_validation,expected_value_bottom_unnormalized_train,expected_value_bottom_unnormalized_test,expected_value_bottom_unnormalized_validation,expected_value_top_unnormalized_train,expected_value_top_unnormalized_test,expected_value_top_unnormalized_validation,variance_top_unnormalized_train,variance_top_unnormalized_test,variance_top_unnormalized_validation,variance_bottom_unnormalized_train,variance_bottom_unnormalized_test,variance_bottom_unnormalized_validation,seq_length,bias,last_layer_type,label_type,cross_sectional,train_transaction_cost_factor,batch_size,hidden_size,dropout,lr,grad_clip,loss_function_from_returns,epochs,early_stopping_dist,num_layers,type_net,type_dropout,optimizer_type,bootstrap_ratio,bootstrap_seed,input_normalization,type_train,using_swa,swa_decay,swa_epochs_or_steps,swa_start,swa_freq,swa_lr,shrinkage,momentum,adaptation,type_eval,number_of_days_per_epoch,removing_artificial_data,chosen_targets
./../Experiments/Bonds_NSGAII/0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.2107403427362442,0.19627220928668976,0.202259823679924,0,0,0,1.4598163797537496,0.4880563796358809,0.66304405496326,0.09706763184692868,0.007281688791250185,0.008920719402905232,0.3917258223934876,0.3955687006516232,0.32488421363275816,2.133354546086345e-05,6.96812324521549e-06,6.820121867664547e-06,2.2517375257569734,0.7053029034749609,0.9094127355370583,2.2517375257569734,0.7053029034749609,0.9094127355370583,0.5235164835164835,0.5464114832535886,0.5321100917431193,1.4323762085763987,0.4752452151903081,0.6167635749052616,0.09524119595403949,0.007087155310356058,0.00829811054894437,0.3021547994611305,0.36637736837090695,0.2936130858548724,2.0932130978909775e-05,6.781966804168481e-06,6.344121214789275e-06,2.2068184592022426,0.686652856569985,0.8447067675954489,2.2068184592022426,0.686652856569985,0.8447067675954489,0.5210989010989011,0.5444976076555024,0.5282874617737003,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.2107403427362442,0.19627220928668976,0.202259823679924,0,0,0,128,True,Softmax,1,False,8.669466419530263,24,47,0.42011541112871936,0.05,0.0,kelly,22,0.0,1,LSTM,Davi,Adam,0.0,,False,1,False,0.2,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_NSGAII/1,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285671710968,0.15171925723552704,0.13441316783428192,0.1272304654121399,0,0,0,1.1743022513308476,1.0146078492025647,0.9323756307961669,0.07258355147865841,0.012183218896377992,0.00971091051165338,0.424777188174678,0.698746638591147,0.48549960851735596,1.5952428896408442e-05,1.1658582675959798e-05,7.424243510438364e-06,1.7750347511368747,1.4601366227951564,1.3224773311949574,1.7750347511368747,1.4601366227951564,1.3224773311949574,0.529010989010989,0.5559808612440191,0.5267584097859327,1.156960700630541,1.0186171827469797,0.8875296907984185,0.07151191741601362,0.012215432135822407,0.009239135517879278,0.35884109032318195,0.6727338260706119,0.4526446135607884,1.5716904926596398e-05,1.1689408742413782e-05,7.063559264433698e-06,1.7475591962733796,1.4664405604651596,1.2565696802114206,1.7475591962733796,1.4664405604651596,1.2565696802114206,0.5274725274725275,0.5521531100478468,0.5252293577981652,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285671710968,0.15171925723552704,0.13441316783428192,0.1272304654121399,0,0,0,128,True,Softmax,21,False,6.170435850890177,33,128,0.6727141897326008,0.01,0.0,kelly,26,0.0,1,LSTM,Davi,Adam,0.0,,False,1,False,0.2,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_NSGAII/10,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.20126454532146454,0.18371149897575378,0.2004593014717102,0,0,0,0.6560937901628039,0.7057323488007203,0.7034076873797102,0.044002402212546185,0.008575137233463231,0.009531071436137805,0.20766928086385666,0.42856421608492823,0.24583232274434325,9.67085762913103e-06,8.205872950682516e-06,7.286751862490675e-06,0.91107048262002,1.0185564856534728,0.9803231623089033,0.91107048262002,1.0185564856534728,0.9803231623089033,0.5197802197802198,0.5339712918660288,0.5443425076452599,0.6417273281082311,0.6982685214034529,0.6745175671536381,0.04303859620102825,0.008481577932551856,0.00913940484358405,0.16759736185709867,0.41077543937731403,0.2222653925589179,9.459032132094119e-06,8.116342519188378e-06,6.98731257154744e-06,0.8906889122950935,1.0073605755326804,0.9391088723030321,0.8906889122950935,1.0073605755326804,0.9391088723030321,0.5169230769230769,0.5311004784688995,0.536697247706422,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.20126454532146454,0.18371149897575378,0.2004593014717102,0,0,0,256,True,Softmax,21,False,4.946603682040874,32,56,0.372593242730211,0.05,1.0,kelly,10,0.0,1,LSTM,Davi,Adam,0.0,,False,1,False,0.3,True,14,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_NSGAII/100,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.02655891329050064,0.02270447090268135,0.021932382136583328,0,0,0,1.0785816483979058,1.2559875623201715,0.9614416601457071,0.03184913713153328,0.009883165449750694,0.008158229784873954,0.659928964173576,0.7795163477068913,0.6096198228837634,6.999810358578743e-06,9.457574593062865e-06,6.237178734613115e-06,1.5872683792434428,1.793231406405355,1.3951432303524425,1.5872683792434428,1.793231406405355,1.3951432303524425,0.5230769230769231,0.5444976076555024,0.5305810397553516,1.0688921790035948,1.2748445309525263,0.935769789952284,0.03156280878634714,0.010017932311209144,0.007934597840487213,-0.8137963377765204,0.7805877752265307,0.5880505795932086,6.936881051944428e-06,9.586538096850856e-06,6.066206300066677e-06,1.5723709038082274,1.8216856253301394,1.3563559784667172,1.5723709038082274,1.8216856253301394,1.3563559784667172,0.5224175824175824,0.5425837320574163,0.5298165137614679,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.02655891329050064,0.02270447090268135,0.021932382136583328,0,0,0,128,True,Softmax,1,False,4.687363243261933,43,139,0.3614670459374868,0.005,1.0,sharpe,5,0.0,1,LSTM,Davi,Adam,0.0,,False,1,False,0.3,True,14,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_NSGAII/101,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285671710968,0.06169654428958893,0.05528838932514191,0.06888312846422195,0,0,0,1.0126244318978723,0.9668616523373901,0.9792310230700229,0.038512963162723166,0.007666077858005618,0.009078061356346291,0.5440679892154962,0.6051695426440888,0.5883824444494314,8.464387508290807e-06,7.33595967273265e-06,6.940413880998694e-06,1.4598709155351786,1.3545592783651046,1.4033694561106986,1.4598709155351786,1.3545592783651046,1.4033694561106986,0.5303296703296704,0.539712918660287,0.5481651376146789,0.9966123986173776,0.9839491032299362,0.9453315746448951,0.03790399073194255,0.0077847438245966525,0.008757503129832502,-0.09508167715491286,0.5967142821361481,0.560996321250589,8.330547413613747e-06,7.44951562162359e-06,6.695338784275615e-06,1.4358581779900061,1.3800786967225276,1.3527940725178034,1.4358581779900061,1.3800786967225276,1.3527940725178034,0.5298901098901099,0.539712918660287,0.5451070336391437,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285671710968,0.06169654428958893,0.05528838932514191,0.06888312846422195,0,0,0,128,True,Softmax,21,False,3.518729632720667,39,110,0.7208728262782924,0.01,1.0,sharpe,17,0.0,1,LSTM,Davi,Adam,0.0,,True,1,False,0.3,True,14,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_NSGAII/102,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.03156958147883415,0.03169574588537216,0.031120963394641876,0,0,0,1.0710619382342284,0.8426788521958484,0.8816657106703568,0.04430844853353749,0.007631873042182741,0.009005888557958051,0.6948643935527424,0.7821227711568957,0.6358081325266405,9.738120556821427e-06,7.303227791562431e-06,6.885235900579553e-06,1.569106353941432,1.179885442832711,1.2781527349889574,1.569106353941432,1.179885442832711,1.2781527349889574,0.5197802197802198,0.5339712918660288,0.5382262996941896,1.0703158986287418,0.8721597111233541,0.8662674975142262,0.044277425777836735,0.007885255814545408,0.008843303746035066,0.6255206920619926,0.7937508293256437,0.624100337521163,9.731302368755328e-06,7.545699344062592e-06,6.760935585653719e-06,1.5680063823844475,1.2229637306443693,1.2550747413032752,1.5680063823844475,1.2229637306443693,1.2550747413032752,0.5195604395604395,0.5339712918660288,0.5374617737003058,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.03156958147883415,0.03169574588537216,0.031120963394641876,0,0,0,64,True,Softmax,1,False,9.266471105858459,28,138,0.7208728262782924,0.05,1.0,sortino,6,0.0,1,LSTM,Davi,Adam,0.0,,True,1,False,0.3,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_NSGAII/103,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.07567039877176285,0.09001094102859497,0.08692488074302673,0,0,0,1.0975073598721048,1.1407634455306501,1.0996484791689836,0.04356983761086222,0.009106055902049133,0.008282905638604744,0.5603697505762485,0.6751380902617915,0.5246945358293329,9.575788485903785e-06,8.713929092869982e-06,6.332496665599957e-06,1.60401554406624,1.6241012794779883,1.6198555732761102,1.60401554406624,1.6241012794779883,1.6198555732761102,0.5228571428571429,0.554066985645933,0.5321100917431193,1.0837980915481134,1.1437568642667455,1.0594869622810144,0.04302552268896061,0.00912396990251332,0.00797057060570263,-0.32108920666481283,0.6674885643629274,0.49826505574929186,9.456158832738593e-06,8.73107167704624e-06,6.093708414145741e-06,1.5830671304169237,1.6282021459608091,1.5573292459250971,1.5830671304169237,1.6282021459608091,1.5573292459250971,0.521978021978022,0.55311004784689,0.5305810397553516,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.07567039877176285,0.09001094102859497,0.08692488074302673,0,0,0,256,True,Softmax,1,False,2.457035052861957,47,24,0.5887105006795376,0.005,1.0,sortino,15,0.0,1,LSTM,Davi,Adam,0.0,,True,1,False,0.3,True,14,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_NSGAII/104,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285671710968,0.10835105925798416,0.11712804436683655,0.09299876540899277,0,0,0,1.036623622749315,0.5272104659630481,0.8881455869925187,0.05801452058474381,0.005671471004273414,0.01014230787939194,0.5558338659694191,0.6615601022261144,0.4920283230451577,1.275044408455908e-05,5.427244980165949e-06,7.754058011767537e-06,1.5327583434202652,0.7146763881482954,1.3063578662857211,1.5327583434202652,0.7146763881482954,1.3063578662857211,0.5202197802197802,0.5406698564593302,0.5244648318042814,1.0249601142687244,0.595296124880319,0.8535813483030148,0.05736195853330772,0.006328253536851248,0.009739738880573839,0.4587473117551796,0.6569407309663048,0.46424880946370684,1.2607023853474222e-05,6.055745011340908e-06,7.446283547839326e-06,1.5147747847191737,0.8145375787034854,1.2534709521111702,1.5147747847191737,0.8145375787034854,1.2534709521111702,0.5197802197802198,0.538755980861244,0.5237003058103975,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285671710968,0.10835105925798416,0.11712804436683655,0.09299876540899277,0,0,0,64,True,Softmax,1,False,8.045903767121501,48,74,0.409752214831359,0.01,1.0,sortino,10,0.0,1,LSTM,Davi,Adam,0.0,,True,1,False,0.3,True,14,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_NSGAII/105,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.10511358082294464,0.12636427581310272,0.11585451662540436,0,0,0,1.146957027073497,1.6260321591785707,0.9739376611072601,0.03230150095285038,0.01605552172770826,0.007384352093890805,0.4989965776218221,0.6964861364165326,0.5005602988856906,7.0992309786484334e-06,1.536413562460121e-05,5.645529123769729e-06,1.7494634326507126,2.427920181933161,1.4524408323337765,1.7494634326507126,2.427920181933161,1.4524408323337765,0.5195604395604395,0.5617224880382775,0.536697247706422,1.1243027778880585,1.6092826535591085,0.9286349981644233,0.03166255655528247,0.015890225228692198,0.007038248770004684,-0.5152956601364587,0.6763132018964554,0.4706123318404636,6.95880363852362e-06,1.5205957156643252e-05,5.380924136089208e-06,1.7130466636441215,2.4010631774047706,1.3821133507064935,1.7130466636441215,2.4010631774047706,1.3821133507064935,0.5178021978021978,0.5607655502392345,0.5359327217125383,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.10511358082294464,0.12636427581310272,0.11585451662540436,0,0,0,64,True,Softmax,1,False,1.8329370874049769,41,118,0.268175670638011,0.005,0.0,sharpe,26,0.0,1,LSTM,Davi,Adam,0.0,,False,1,False,0.2,True,14,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_NSGAII/106,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285671710968,0.0072874040342867374,0.002755603054538369,0.005052468273788691,0,0,0,1.1055804808391279,1.0806562312580472,0.9692118014527449,0.03614607103074778,0.008230249548612512,0.008367076707021123,0.6971405604886034,0.787292329507687,0.6421422827227486,7.944191435329185e-06,7.875836888624412e-06,6.396847635337251e-06,1.6218789627249823,1.5208588530752034,1.4007369656498478,1.6218789627249823,1.5208588530752034,1.4007369656498478,0.5213186813186813,0.5454545454545454,0.536697247706422,1.1039535974734196,1.1063551557558207,0.9518112115709481,0.036092785618573875,0.00841436683188273,0.00821116350649361,-0.08139935552977409,0.7981211463429146,0.6291982991934802,7.932480355730522e-06,8.052025676442806e-06,6.2776479407443485e-06,1.6194342813298792,1.5587648976033517,1.3745740176768702,1.6194342813298792,1.5587648976033517,1.3745740176768702,0.5208791208791209,0.5454545454545454,0.5359327217125383,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285671710968,0.0072874040342867374,0.002755603054538369,0.005052468273788691,0,0,0,64,True,Softmax,21,False,9.772505987282486,26,31,0.7129351273586129,0.01,0.0,sharpe,19,0.0,1,LSTM,Davi,Adam,0.0,,False,1,False,0.2,True,14,1,,0.0,0.9,0.99,new,70000,False,0.0
