,alpha_probs_bottom_train,alpha_probs_bottom_test,alpha_probs_bottom_validation,alpha_probs_top_train,alpha_probs_top_test,alpha_probs_top_validation,expected_value_bottom_train,expected_value_bottom_test,expected_value_bottom_validation,expected_value_top_train,expected_value_top_test,expected_value_top_validation,variance_top_train,variance_top_test,variance_top_validation,variance_bottom_train,variance_bottom_test,variance_bottom_validation,sharpe_of_average_train,sharpe_of_average_test,sharpe_of_average_validation,rets_of_average_train,rets_of_average_test,rets_of_average_validation,average_sharp_train,average_sharp_test,average_sharp_validation,average_rets_train,average_rets_test,average_rets_validation,sortino_of_average_train,sortino_of_average_test,sortino_of_average_validation,calmar_of_average_train,calmar_of_average_test,calmar_of_average_validation,percentage_of_positive_returns_train,percentage_of_positive_returns_test,percentage_of_positive_returns_validation,sharpe_of_average_transaction_cost_train,sharpe_of_average_transaction_cost_test,sharpe_of_average_transaction_cost_validation,rets_of_average_transaction_cost_train,rets_of_average_transaction_cost_test,rets_of_average_transaction_cost_validation,average_sharp_transaction_cost_train,average_sharp_transaction_cost_test,average_sharp_transaction_cost_validation,average_rets_transaction_cost_train,average_rets_transaction_cost_test,average_rets_transaction_cost_validation,sortino_of_average_transaction_cost_train,sortino_of_average_transaction_cost_test,sortino_of_average_transaction_cost_validation,calmar_of_average_transaction_cost_train,calmar_of_average_transaction_cost_test,calmar_of_average_transaction_cost_validation,percentage_of_positive_returns_transaction_cost_train,percentage_of_positive_returns_transaction_cost_test,percentage_of_positive_returns_transaction_cost_validation,alpha_probs_bottom_unnormalized_train,alpha_probs_bottom_unnormalized_test,alpha_probs_bottom_unnormalized_validation,alpha_probs_top_unnormalized_train,alpha_probs_top_unnormalized_test,alpha_probs_top_unnormalized_validation,expected_value_bottom_unnormalized_train,expected_value_bottom_unnormalized_test,expected_value_bottom_unnormalized_validation,expected_value_top_unnormalized_train,expected_value_top_unnormalized_test,expected_value_top_unnormalized_validation,variance_top_unnormalized_train,variance_top_unnormalized_test,variance_top_unnormalized_validation,variance_bottom_unnormalized_train,variance_bottom_unnormalized_test,variance_bottom_unnormalized_validation,seq_length,bias,last_layer_type,label_type,cross_sectional,train_transaction_cost_factor,batch_size,hidden_size,dropout,lr,grad_clip,loss_function_from_returns,epochs,early_stopping_dist,num_layers,type_net,type_dropout,optimizer_type,bootstrap_ratio,bootstrap_seed,input_normalization,type_train,using_swa,swa_decay,swa_epochs_or_steps,swa_start,swa_freq,swa_lr,shrinkage,momentum,adaptation,type_eval,number_of_days_per_epoch,removing_artificial_data,chosen_targets
./../Experiments/Bonds_TPE_early_stopping3/0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.0095497602596879,0.010577579028904438,0.011601000092923641,0,0,0,1.1082092349001231,1.0495742914353559,0.9828273150923841,0.03670580684444774,0.007719526570891111,0.008357754915002888,0.6957888795449918,0.7523568003684588,0.6278737853417724,8.06721029548302e-06,7.387106766402975e-06,6.389720883029732e-06,1.6239649045737172,1.4723626693314524,1.4214328098740063,1.6239649045737172,1.4723626693314524,1.4214328098740063,0.5235164835164835,0.5416267942583732,0.5397553516819572,1.094913220915374,1.062506815415553,0.9516559280127749,0.0362652842384366,0.007803805655821415,0.008086711446738342,-0.7363207057827283,0.7489701274462879,0.6007283936603945,7.970392140315736e-06,7.467756608441544e-06,6.18250110606907e-06,1.6035659361844428,1.4913369250396755,1.37443932057436,1.6035659361844428,1.4913369250396755,1.37443932057436,0.5228571428571429,0.5416267942583732,0.5382262996941896,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.0095497602596879,0.010577579028904438,0.011601000092923641,0,0,0,256,True,Softmax,1,False,2.0439720929970226,26,102,0.6636008820724153,0.001,0.0,sharpe,50,15,1,LSTM,Davi,Adam,0.0,,True,1,False,0.0,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE_early_stopping3/1,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.08776602149009705,0.119804248213768,0.10249608010053635,0,0,0,1.7758759923319962,1.3905161950891194,1.1947551559686236,0.05077980163642776,0.011765587531018754,0.008432408946296465,0.715758467156159,0.770005482003567,0.4869354202304202,1.1160395964050058e-05,1.1258935436381583e-05,6.446795830501886e-06,2.7654982217098274,2.0531365766008194,1.7642106311427992,2.7654982217098274,2.0531365766008194,1.7642106311427992,0.5268131868131868,0.5492822966507177,0.5412844036697247,1.750280962559347,1.3669012193424455,1.1418482936153609,0.050045635533616586,0.011566351535187277,0.008053679724854126,0.1956769111743495,0.7469439061724085,0.453552372568415,1.099904077661903e-05,1.1068278981040458e-05,6.157247496065845e-06,2.7224175323914217,2.016165379211667,1.6821744896386583,2.7224175323914217,2.016165379211667,1.6821744896386583,0.5248351648351648,0.5464114832535886,0.5382262996941896,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.08776602149009705,0.119804248213768,0.10249608010053635,0,0,0,256,True,Softmax,1,False,7.7146458035403676,19,48,0.43041150876986717,0.05,1.0,sharpe,50,15,1,LSTM,Davi,Adam,0.0,,True,1,False,0.0,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE_early_stopping3/10,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.13858667016029358,0.1358940750360489,0.12677842378616333,0,0,0,1.0272627570006057,1.4850681514239723,0.5122876041893755,0.04736876185193504,0.013940345285198923,0.00487527243157721,0.40615794731785093,0.6740123071596907,0.24208883183454497,1.0410716890535174e-05,1.3340043335118588e-05,3.7272725012058163e-06,1.520536767283237,2.252781640938103,0.7056416112940066,1.520536767283237,2.252781640938103,0.7056416112940066,0.5208791208791209,0.5578947368421052,0.536697247706422,0.9890738182787606,1.469469546239801,0.4475147600719251,0.045605852466351765,0.013779330828543226,0.00425691909720984,-0.025941879532041297,0.6515900090657846,0.20100087699619715,1.0023264278319068e-05,1.3185962515352372e-05,3.254525303677246e-06,1.4615325791413811,2.2279387774731907,0.6148654566252886,1.4615325791413811,2.2279387774731907,0.6148654566252886,0.5184615384615384,0.5559808612440191,0.5328746177370031,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.13858667016029358,0.1358940750360489,0.12677842378616333,0,0,0,64,True,Softmax,21,False,4.798441681997366,50,158,0.20444599469937685,0.005,0.0,sharpe,50,10,1,LSTM,Davi,Adam,0.0,,True,1,False,0.0,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE_early_stopping3/11,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285671710968,0.08772347867488861,0.09856156259775162,0.08749695122241974,0,0,0,0.9631808312459456,1.48231445250044,0.8036887173981245,0.03584447581972059,0.010776581123927821,0.008033258568457661,0.4652770728103806,0.5628994585238106,0.4330248325323734,7.877906773564965e-06,1.03125178219405e-05,6.14163499117558e-06,1.4021410974494872,2.139423600745294,1.1546589173429576,1.4021410974494872,2.139423600745294,1.1546589173429576,0.5169230769230769,0.5550239234449761,0.5443425076452599,0.9331920952724096,1.4750281330076533,0.7511292666006502,0.03472835813164972,0.01070652712870663,0.0075005723086179164,-0.44490290756963835,0.5498726992579027,0.3961401566280391,7.632606182780157e-06,1.0245480505939358e-05,5.7343824989433604e-06,1.3567232194795082,2.128595216517811,1.0764205334507375,1.3567232194795082,2.128595216517811,1.0764205334507375,0.5153846153846153,0.55311004784689,0.5428134556574924,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285671710968,0.08772347867488861,0.09856156259775162,0.08749695122241974,0,0,0,64,True,Softmax,21,False,4.650350081959129,50,155,0.20894753112357461,0.005,0.0,sharpe,50,10,1,LSTM,Davi,Adam,0.0,,True,1,False,0.0,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE_early_stopping3/12,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285671710968,0.0714285746216774,0.0714285671710968,0.15067730844020844,0.15934760868549347,0.14613297581672668,0,0,0,0.7111485455820312,1.3448832132880801,0.8621159556908055,0.03547561592565287,0.014303100852642376,0.007958137000670508,0.274468439376116,0.5788016412590716,0.3040982597490861,7.796838664978652e-06,1.3687177849418548e-05,6.084202599900999e-06,1.0270053179563,2.028582695354798,1.3327115564111198,1.0270053179563,2.028582695354798,1.3327115564111198,0.5063736263736264,0.5588516746411484,0.514525993883792,0.683714206846271,1.3124470632441294,0.8132146038521235,0.03410675687916745,0.013958469982305804,0.007506796485371078,-0.1924665890803286,0.548417439146043,0.27440395811940543,7.495990522893947e-06,1.3357387542876365e-05,5.739141043861681e-06,0.9863618792899164,1.9771866351343992,1.2545574365043615,0.9863618792899164,1.9771866351343992,1.2545574365043615,0.5046153846153846,0.55311004784689,0.5114678899082569,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285671710968,0.0714285746216774,0.0714285671710968,0.15067730844020844,0.15934760868549347,0.14613297581672668,0,0,0,64,True,Softmax,21,False,5.787560906352481,50,136,0.2139615817556223,0.005,0.0,sharpe,50,10,1,LSTM,Davi,Adam,0.0,,True,1,False,0.0,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE_early_stopping3/13,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.071428582072258,0.0714285746216774,0.0714285746216774,0.19118475914001465,0.18661126494407654,0.18911141157150269,0,0,0,0.7367836112813169,1.6834313760289652,0.8688118321067037,0.03447093503664266,0.018396590640475288,0.006937051195483055,0.26318882100299845,0.47444117902295707,0.36436458909527786,7.576029678383002e-06,1.7604392957392618e-05,5.30355595984943e-06,1.052919303560381,2.6441917057030833,1.2262627340747372,1.052919303560381,2.6441917057030833,1.2262627340747372,0.5118681318681318,0.5684210526315789,0.5466360856269113,0.7145308289683954,1.6615741869694647,0.8215919700538319,0.033428764418268336,0.018158792540228914,0.006558478755258597,0.012325234429073573,0.45664087660595637,0.33165887519899195,7.346981190828206e-06,1.737683496672623e-05,5.0141274887298135e-06,1.0202192999645627,2.6079114518110553,1.1575590126681838,1.0202192999645627,2.6079114518110553,1.1575590126681838,0.5098901098901099,0.5645933014354066,0.5420489296636085,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.071428582072258,0.0714285746216774,0.0714285746216774,0.19118475914001465,0.18661126494407654,0.18911141157150269,0,0,0,128,True,Softmax,21,False,3.531902134212977,42,63,0.2676115519022363,0.005,0.0,sharpe,50,10,1,LSTM,Davi,Adam,0.0,,True,1,False,0.0,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE_early_stopping3/14,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285671710968,0.05557836964726448,0.054653603583574295,0.053402967751026154,0,0,0,1.0266987386342463,1.0308659404776874,0.8815829527744606,0.038519303646068315,0.0074945745213436145,0.008104463072287736,0.5416348627984509,0.5754002598220207,0.4773921246470131,8.465781021113915e-06,7.17184164721877e-06,6.196072685235272e-06,1.5017943326949086,1.454973618823206,1.280143569770406,1.5017943326949086,1.454973618823206,1.280143569770406,0.5184615384615384,0.5377990430622009,0.5382262996941896,1.0112906388803617,1.031577178693045,0.8497063133048199,0.03794109855900828,0.007494106100385499,0.007807989767903747,-0.5344571606916213,0.5669170833964599,0.44686837012380554,8.338702980001818e-06,7.171393397498084e-06,5.96941113754109e-06,1.4782517754229432,1.4557215939207298,1.2322451118386524,1.4782517754229432,1.4557215939207298,1.2322451118386524,0.5182417582417582,0.5377990430622009,0.5351681957186545,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285671710968,0.05557836964726448,0.054653603583574295,0.053402967751026154,0,0,0,128,True,Softmax,21,False,3.66606024406782,40,62,0.29471237015993335,0.005,0.0,sharpe,50,10,1,LSTM,Davi,Adam,0.0,,True,1,False,0.0,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE_early_stopping3/15,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.12481210380792618,0.10983630269765854,0.12038390338420868,0,0,0,0.8394953845761972,1.973952042955724,0.6233837136633177,0.033627236852968354,0.013225283990476788,0.005958903128109172,0.36254498127681944,0.7031361644222754,0.4054430591067627,7.390601506146891e-06,1.2655774153566305e-05,4.555736336474903e-06,1.186457532106026,3.1500586487774505,0.8862394666157054,1.186457532106026,3.1500586487774505,0.8862394666157054,0.5268131868131868,0.5645933014354066,0.5382262996941896,0.8082408205027822,1.9347037214223004,0.5725002882609993,0.032375578425068954,0.012961459459111042,0.005471206622124142,-0.11791063769198253,0.6741369657354616,0.36548293936645004,7.115511741773396e-06,1.2403310487187599e-05,4.182879680523045e-06,1.140790724684642,3.0810493154069807,0.8122730909127533,1.140790724684642,3.0810493154069807,0.8122730909127533,0.5259340659340659,0.5636363636363636,0.5351681957186545,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.12481210380792618,0.10983630269765854,0.12038390338420868,0,0,0,128,True,Softmax,21,False,3.197155391059539,41,70,0.29596440749767305,0.01,0.0,sharpe,50,10,1,LSTM,Davi,Adam,0.0,,True,1,False,0.0,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE_early_stopping3/16,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285671710968,0.12881779670715332,0.11212655156850815,0.13339270651340485,0,0,0,1.0832871541686016,1.5499940531674867,0.4544970792267897,0.042398500271424694,0.010464492524083754,0.004575785028352098,0.45689003163544734,0.5610208765729714,0.30769278815154805,9.318351708005426e-06,1.0013868444099284e-05,3.498306596599463e-06,1.5818338273862784,2.2398434417369737,0.6248442089722307,1.5818338273862784,2.2398434417369737,0.6248442089722307,0.5320879120879121,0.5454545454545454,0.540519877675841,1.0586091070644448,1.570649979486285,0.4174780115503047,0.041432301632453636,0.010560836439022392,0.004201711886987873,0.07730748297440784,0.5596527696661828,0.28188947456143676,9.106000358781019e-06,1.0106063578011855e-05,3.2123179564127478e-06,1.5441632055629584,2.2757101262186348,0.5731350974676365,1.5441632055629584,2.2757101262186348,0.5731350974676365,0.530989010989011,0.5435406698564593,0.5389908256880734,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285671710968,0.12881779670715332,0.11212655156850815,0.13339270651340485,0,0,0,128,True,Softmax,21,False,3.003953732364378,37,72,0.3039620666652007,0.01,0.0,sharpe,50,10,1,LSTM,Davi,Adam,0.0,,True,1,False,0.0,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE_early_stopping3/17,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.071428582072258,0.0714285746216774,0.0714285746216774,0.1397428810596466,0.14500711858272552,0.16228920221328735,0,0,0,0.41126281059786285,1.1302374654902005,0.8338527813420806,0.014633177766018206,0.009671116478062207,0.008415017064868316,0.19744121908681606,0.4375784577304779,0.31875786615311236,3.2160830254985074e-06,9.254656916805939e-06,6.433499285067519e-06,0.5622905589737547,1.677924874328245,1.2087851253576034,0.5622905589737547,1.677924874328245,1.2087851253576034,0.5173626373626373,0.5444976076555024,0.540519877675841,0.380959195241044,1.1001167217818186,0.7692265373020074,0.013554919423880294,0.009410572030918994,0.007749860097479716,-0.5071747137642433,0.4103522346064369,0.2803971735999418,2.9791031700835817e-06,9.005332087003824e-06,5.924969493486021e-06,0.520233306583797,1.6307922019314027,1.1113922603304702,0.520233306583797,1.6307922019314027,1.1113922603304702,0.5147252747252747,0.5406698564593302,0.5374617737003058,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.071428582072258,0.0714285746216774,0.0714285746216774,0.1397428810596466,0.14500711858272552,0.16228920221328735,0,0,0,128,True,Softmax,21,False,1.3767261777716184,35,73,0.3267921582263344,0.01,0.0,sharpe,50,10,1,LSTM,Davi,Adam,0.0,,False,1,False,0.0,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
