,US10Y,US2Y,US5Y,DE10Y,DE2Y,DE5Y,FR10Y,IT3Y,AU10Y,AU3Y,JP10Y,GB10Y,KRW3Y,CAD10Y
2016-01-01,8.733567605172644e-06,3.101146980625943e-06,9.316489639277744e-06,6.193813763748504e-05,1.0742241997464216e-05,0.00016291996210127956,5.6947265430105814e-05,0.0002888972845913946,2.2325144057734834e-05,8.300728882054285e-06,0.00017843713636056204,2.183257060980866e-05,9.184073318956345e-05,-2.888874504471173e-06
2016-01-04,-9.79490726483849e-06,0.0,4.328906729886785e-06,1.9077982509368315e-05,1.6282023768968677e-05,0.00018782697219354145,2.9066563409263145e-05,0.0001008168298461829,3.0618168113337815e-06,0.0,0.0,1.0322791380183122e-06,-2.4090671396061195e-05,3.2696562932639786e-06
2016-01-05,3.227355312579722e-05,6.108026891776212e-06,2.3667511292134247e-05,4.457774586962532e-05,1.1628117763917099e-05,0.00012727596101627813,5.474670976730517e-05,0.00013737959172914317,1.197278740467881e-05,0.0,0.0001483307728802095,2.484376731185798e-05,0.0,1.1992810492281492e-05
2016-01-06,6.5910686959246025e-06,3.1148319585940317e-06,1.3038250765228938e-05,-3.185351677962045e-05,-1.908645553778053e-06,-7.307589429360113e-05,-5.838756236338446e-05,-0.00020893205732961924,1.6016854346399477e-05,8.727072494312267e-06,0.00014731800592277544,-2.770671080640573e-06,5.779025536774641e-06,7.85152087358452e-07
2016-01-07,5.853395831670241e-06,1.661921147333245e-06,1.3137312303402855e-05,2.5984449275220878e-05,7.633321191063161e-06,0.00010161912635655505,5.9051698004004274e-05,0.00010462813732446456,-1.867515598593149e-05,-8.220828775915159e-06,0.0002442133228221428,1.1054111523676165e-05,-4.745582686456058e-05,2.377427896700303e-06
2016-01-08,-9.249435548993008e-06,2.2422390972767635e-06,2.1335854402172478e-06,-1.6334474273142718e-05,-1.974681764573655e-06,-4.552059081924455e-05,-4.854931798507098e-05,-0.00010340305654951324,7.704897747857408e-06,4.62194732493782e-06,0.0,-1.0938656343629956e-06,6.726011868627117e-05,-5.984493424888858e-07
2016-01-11,2.7730642506691108e-05,1.1930236340591716e-06,1.2407489065407599e-05,2.140041668871877e-06,-4.065733858551198e-06,-1.822765550810482e-05,-5.343116403512825e-06,6.878272141085826e-05,-8.54417014319576e-06,-2.9509180999515836e-06,0.00012273647335108218,2.873068324504568e-06,-5.9767880661345645e-06,1.2235048472238868e-05
2016-01-12,1.5026485609749959e-05,1.5610466467951841e-06,9.9888037183337e-06,1.9065244115363382e-05,2.1362597709853676e-06,7.09876929637246e-05,5.039756174262857e-05,-3.370329379382341e-05,5.824417079500823e-06,1.4256806484883849e-06,0.00029612072905839653,1.8792897610919564e-06,-6.2585055386578006e-06,1.0325293289796958e-05
2016-01-13,-1.6488126048741427e-05,1.6901595586652992e-06,6.736223886957356e-07,-3.2999238397756278e-06,-4.424368066471006e-06,2.635411060653531e-05,-3.100898584781781e-05,-0.0001348454953927103,1.844097746354879e-05,8.36414719828672e-06,-0.0002939820775331345,3.4108613829472383e-06,-4.330256354974134e-05,-4.327462114999179e-07
2016-01-14,2.5869341782586278e-05,6.199997396407475e-06,3.122124574418203e-05,3.346887874690377e-05,2.0161951669194023e-05,0.00018340431226676512,9.224109712943102e-05,0.0002039427185551546,-2.2670856600648598e-06,0.0,0.0003644949311290003,1.875067881716296e-05,0.0,1.885207089875953e-05
2016-01-15,0.0,0.0,0.0,-5.34525320515395e-07,-2.27530755712797e-06,-8.657416647448984e-06,-1.1744088232913968e-05,-0.00013592005017759807,0.0,4.4330507994783355e-06,0.0003386489379671023,-9.326111066315279e-06,5.930059744077079e-06,-3.7814606412842918e-06
2016-01-18,3.968413468538761e-06,-1.4456120417986707e-06,-6.093641837640085e-06,-9.884765525174119e-06,-2.3084226423200992e-06,-1.730074569095177e-05,-1.005343695753553e-05,6.877110989099184e-05,-4.505434517591894e-06,-1.5038457449499676e-06,-0.0002644557046000847,-3.828375213261587e-06,0.0,-2.408386548163689e-06
2016-01-19,1.6545406666907256e-05,5.347158040378289e-06,2.8479588006558706e-05,4.62933348701051e-05,1.6798475197840656e-05,0.0001531703260969879,8.817565264338298e-05,-0.0003443230008922014,1.238853160085817e-05,4.417098211587124e-06,7.170116602870673e-05,2.6809574529495326e-05,5.7102292135816646e-05,3.932967731314212e-06
2016-01-20,-1.3371580612735682e-05,-5.19118443779561e-07,-6.626672219869055e-06,1.9329810976276128e-05,2.9539347033818108e-05,0.00020221818158556768,0.00010161838786677997,0.0004457289604786674,-7.682787570574949e-06,-4.403531067915908e-06,-0.00019111189028902533,-1.703956779949752e-05,1.1469988997429972e-05,-1.6081731723628474e-05
2016-01-21,-8.403892552308984e-06,-4.18332097756188e-06,-2.249063937157844e-05,-9.430237156633901e-06,7.68921847868623e-06,1.6919561534287448e-05,-1.3732613715883616e-05,0.00010011927821707527,-9.073422073514071e-06,-4.679864944324363e-06,-0.00011967976692192926,-1.4965689580645235e-05,-1.8150011497533134e-05,-1.0048490170464308e-05
2016-01-22,9.50979429734562e-06,6.178378002733219e-07,5.505557440087469e-06,4.594644553039208e-06,-2.6459289403042173e-06,-8.43238221062243e-06,2.145157573358075e-05,-9.9057416563832e-05,-1.0918870548349972e-06,0.0,9.59562544396144e-05,1.0392695350475462e-05,-6.033238310813158e-06,4.762937092778485e-06
2016-01-25,8.314255994694281e-06,4.1427838669491894e-06,1.8182389935232564e-05,1.6392209995276225e-05,1.3986168222078865e-05,9.181384758140122e-05,8.741589859692364e-05,0.00012934808792040118,9.794740265373832e-06,4.492938164700455e-06,0.00012174257615031906,-2.982827818352121e-06,4.754752857967073e-05,2.076835072647256e-06
2016-01-26,-2.409269321361647e-06,1.7409447879351941e-06,4.902878065017228e-06,1.7114095411403945e-06,-1.1956744951223742e-05,-3.320149773213475e-05,-7.608912119204173e-06,6.274968286432717e-05,3.402872849739769e-06,-1.4181898187947072e-06,7.416907817406407e-05,-2.2981587335311498e-06,-1.7766946227915004e-05,2.554149032647637e-06
2016-01-27,8.781979942670448e-07,2.251046117788075e-06,1.718263433643592e-05,1.886485680492377e-05,3.0282227117318504e-06,9.13715719073465e-05,5.443733723955012e-05,-0.00015631271658781475,-3.3772534549705763e-06,-1.4681919216753332e-06,-0.00012281593585521214,9.036290040230519e-06,-3.0043885103515728e-05,0.0
2016-01-28,1.134194898937354e-05,8.221951088631626e-06,4.805904322961733e-05,3.576477045039992e-05,4.509633479260657e-05,0.00023714513142680994,0.00022372981925825465,0.0003417002010559558,1.2877215574135347e-05,7.375448361128387e-06,0.0021201529122714577,3.207725540304082e-05,0.00011021154914263382,1.94809659181158e-06
2016-01-29,-5.126845251117901e-06,-6.7229133879593385e-06,-4.689093769848977e-05,-1.388427940194708e-05,-2.4524450569797056e-05,-0.00010615575603667053,-9.440524607871103e-05,-3.0840090540615176e-05,3.4359955583534143e-06,1.527085565650567e-06,0.00033398808086660504,-2.1079569791185398e-05,8.743620533614722e-05,-2.865934187689442e-06
2016-02-01,2.3609133189151803e-05,1.2933173886945993e-05,9.999824078726442e-05,1.7972829609152934e-05,1.528210730829545e-05,9.862025711784085e-05,7.711367419649928e-05,-9.472864811592693e-05,0.0,0.0,0.0,2.852046463097731e-05,1.2444803982806518e-05,2.0658576364297897e-05
2016-02-02,-5.450122916576188e-06,4.419299706837636e-06,9.946251941361746e-06,2.1055144839304454e-05,2.4855051384894585e-05,0.0001308996677951037,0.00011273958684598769,9.519288626066917e-05,2.6296387614433304e-05,1.1674624106418847e-05,0.00047359971935916854,1.4981344516135419e-05,6.248659974527385e-05,-5.915536226976358e-06
2016-02-03,2.8215067014688807e-06,3.838074542942764e-06,2.920759810443955e-05,-1.964236873310256e-05,-2.2141272655482644e-05,-0.00011688153858980854,-8.453738426467743e-05,0.0,-1.3405565574390142e-05,-8.330274286704438e-06,0.0003297475556490369,-2.0998685106763253e-05,1.297629348234791e-05,-1.593116863853734e-06
2016-02-04,3.616649184741615e-06,-4.237088722999602e-06,-1.0456074322497087e-05,4.2707512571699465e-06,9.86648778500544e-06,1.7343740741168693e-05,-1.1739062072754201e-05,-0.0002185909702132265,6.831038365070837e-06,1.6911073180996906e-06,0.000997975098924079,0.0,-2.8196916541864935e-05,3.6083964077607383e-06
2016-02-05,1.9294984096885516e-05,2.2418857797040706e-05,0.00016490745040945577,5.0402888881422585e-05,1.9700599539596362e-05,0.00021157820585313448,9.291275388645574e-05,-0.0005605475190776411,-1.0455920386465408e-05,-3.3020296023542795e-06,-0.00018350611184038025,6.378596858465362e-05,0.0,1.494232539276343e-05
2016-02-08,6.214274750429533e-07,-3.85963922699907e-06,-8.238754952786467e-06,-9.24383668091522e-06,2.645995904070439e-05,2.6827662719053753e-05,-5.0831814289915276e-05,0.0,4.4616474595560884e-05,1.9417901787064575e-05,0.0018873713232075535,-3.4740716604410657e-06,0.0,-2.4297215958169267e-06
2016-02-09,6.427705755861909e-06,-2.9638675207700745e-06,2.3652165432050037e-05,-7.043069958561129e-06,-2.795879829000602e-05,-3.6921433518184134e-05,8.341034033229931e-06,0.0002011461254065443,1.18038724853584e-06,-1.5382055172737074e-06,-0.0007289468425121849,-2.605820231916658e-06,0.0,3.5674759872438332e-06
2016-02-10,8.811715154146564e-06,2.946046810466192e-05,8.790439031853257e-05,5.3159650422247695e-05,4.373872936878766e-05,0.00023758429713888567,7.897582026549718e-05,-0.0005247183877767204,7.4614514173602015e-06,3.28251709990265e-06,0.0,5.4755640075013235e-05,0.00017920970056264267,2.145389715818932e-06
2016-02-11,-1.2309886265043157e-05,-3.2938382338250865e-05,-0.00020182829855422733,-5.9309335419613895e-05,-4.690995430381651e-05,-0.0002724097635966478,-0.0001206527967261862,0.00024397264824478114,-1.0806778367474754e-05,-6.302796744542869e-06,-0.0015154709075560888,-4.679808001808835e-05,-8.693384438243351e-05,-1.6882370996429814e-05
2016-02-12,0.0,0.0,0.0,1.4780982753292669e-05,1.1586200356472126e-05,0.00013949041661536732,6.533837830147153e-05,7.690186929241213e-05,-2.5577857866069542e-05,-1.274611688528908e-05,-0.00014126536701392444,-7.88538979673465e-06,-4.601123868768498e-05,0.0
2016-02-15,-5.439454315876681e-06,-7.122457198575876e-06,-3.17962573268235e-05,-1.744178714179303e-05,-1.153001230879432e-05,-9.197650533675854e-05,-4.571791610822298e-05,-2.559236423097731e-05,-2.6054849119318268e-06,-2.8004959018934126e-06,0.0006779724217511503,0.0,0.00016270632096602116,-4.386656209622774e-06
2016-02-16,-8.375056967828562e-06,-1.349979607967078e-05,-0.00011889772041674083,-9.165679163415846e-06,-3.796906230637347e-06,-1.043111795440017e-05,1.3963882235188484e-05,2.5429761284846916e-05,1.0664654984333014e-05,3.5964639843628736e-06,-0.0004533833275089752,-2.160881962359035e-05,-2.019298906743655e-05,-4.180580135066677e-06
2016-02-17,1.0660922437492045e-05,1.1230861774678056e-05,0.00011962363613635392,4.861388172951299e-05,1.1316329527364407e-05,0.00014778002783305322,0.00011302800373008883,0.00020246208544496392,-1.5849676648662794e-05,-2.407065457977067e-06,0.0004201870093670519,1.7897869957838703e-05,-6.453997512682216e-05,7.127093617255249e-06
2016-02-18,3.2895052202336904e-06,-1.626188618976424e-05,-4.945445152567518e-05,9.986548817525893e-06,1.4807619790264452e-05,3.195375211509558e-05,1.227995542041381e-05,-5.116778894430453e-05,3.0281782782653442e-05,8.426219602197628e-06,0.0001949212199756305,1.3370208017582076e-05,-5.543251529444728e-05,3.460145283082645e-06
2016-02-19,-2.563765329578051e-06,-6.779460605636082e-06,-5.603677690297377e-05,2.0419394293505614e-05,7.2625831120260305e-06,8.580388781932876e-05,5.0074086839996344e-05,0.00010462231749264334,-7.4264601222736636e-06,-3.6358919057386423e-06,0.00020846996008020983,1.561548449864013e-06,-5.4766291436400305e-05,-3.140936381778001e-06
2016-02-22,3.542523880218063e-06,4.263050654834183e-06,6.337518031563843e-05,-4.8678869069775075e-06,-1.7883059351221635e-05,-7.680832545686277e-05,-1.14005603926947e-05,2.7000181492227777e-05,1.0711301145142448e-05,3.4787210937506694e-06,-1.6872903533084113e-05,-8.863980516182443e-06,0.0,-3.1640075770860822e-06
2016-02-23,-3.949286129085719e-07,5.087200021598716e-06,2.3944998343687657e-05,3.5244375619187314e-05,-7.124001682369465e-06,6.7902926567404e-05,3.240766817028133e-05,-5.40498669247957e-05,5.696457804588578e-06,2.2107349699012024e-06,0.000612464675524892,2.6793256653484624e-05,5.3714691177732e-05,1.707005787383421e-06
