,alpha_probs_bottom_train,alpha_probs_bottom_test,alpha_probs_bottom_validation,alpha_probs_top_train,alpha_probs_top_test,alpha_probs_top_validation,expected_value_bottom_train,expected_value_bottom_test,expected_value_bottom_validation,expected_value_top_train,expected_value_top_test,expected_value_top_validation,variance_top_train,variance_top_test,variance_top_validation,variance_bottom_train,variance_bottom_test,variance_bottom_validation,sharpe_of_average_train,sharpe_of_average_test,sharpe_of_average_validation,rets_of_average_train,rets_of_average_test,rets_of_average_validation,average_sharp_train,average_sharp_test,average_sharp_validation,average_rets_train,average_rets_test,average_rets_validation,sortino_of_average_train,sortino_of_average_test,sortino_of_average_validation,calmar_of_average_train,calmar_of_average_test,calmar_of_average_validation,percentage_of_positive_returns_train,percentage_of_positive_returns_test,percentage_of_positive_returns_validation,sharpe_of_average_transaction_cost_train,sharpe_of_average_transaction_cost_test,sharpe_of_average_transaction_cost_validation,rets_of_average_transaction_cost_train,rets_of_average_transaction_cost_test,rets_of_average_transaction_cost_validation,average_sharp_transaction_cost_train,average_sharp_transaction_cost_test,average_sharp_transaction_cost_validation,average_rets_transaction_cost_train,average_rets_transaction_cost_test,average_rets_transaction_cost_validation,sortino_of_average_transaction_cost_train,sortino_of_average_transaction_cost_test,sortino_of_average_transaction_cost_validation,calmar_of_average_transaction_cost_train,calmar_of_average_transaction_cost_test,calmar_of_average_transaction_cost_validation,percentage_of_positive_returns_transaction_cost_train,percentage_of_positive_returns_transaction_cost_test,percentage_of_positive_returns_transaction_cost_validation,alpha_probs_bottom_unnormalized_train,alpha_probs_bottom_unnormalized_test,alpha_probs_bottom_unnormalized_validation,alpha_probs_top_unnormalized_train,alpha_probs_top_unnormalized_test,alpha_probs_top_unnormalized_validation,expected_value_bottom_unnormalized_train,expected_value_bottom_unnormalized_test,expected_value_bottom_unnormalized_validation,expected_value_top_unnormalized_train,expected_value_top_unnormalized_test,expected_value_top_unnormalized_validation,variance_top_unnormalized_train,variance_top_unnormalized_test,variance_top_unnormalized_validation,variance_bottom_unnormalized_train,variance_bottom_unnormalized_test,variance_bottom_unnormalized_validation,seq_length,bias,last_layer_type,label_type,cross_sectional,train_transaction_cost_factor,batch_size,hidden_size,dropout,lr,grad_clip,loss_function_from_returns,epochs,early_stopping_dist,num_layers,type_net,type_dropout,optimizer_type,bootstrap_ratio,bootstrap_seed,input_normalization,type_train,using_swa,swa_decay,swa_epochs_or_steps,swa_start,swa_freq,swa_lr,shrinkage,momentum,adaptation,type_eval,number_of_days_per_epoch,removing_artificial_data,chosen_targets
./../Experiments/Bonds_TPE/0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.10911619663238525,0.14277715981006622,0.11197062581777573,0,0,0,0.9875209761520408,0.9404179292645181,0.9129612598890882,0.0380431703885551,0.0063034938750747855,0.0071760321702306114,0.5349036985376951,0.8570267421026319,0.5342839680553398,8.361136349132987e-06,6.0320515550954885e-06,5.486263127087622e-06,1.464519352408559,1.3606158834225686,1.3391027144518857,1.464519352408559,1.3606158834225686,1.3391027144518857,0.5125274725274725,0.523444976076555,0.5466360856269113,0.9667305451515078,0.9265281131840063,0.8688709429598986,0.03724157164972309,0.006207313958066637,0.006826824995571693,0.05406754599913929,0.8248652698680142,0.4993634830861334,8.184960802136943e-06,5.940013357001565e-06,5.219285164810162e-06,1.4323033630844895,1.3392815236978421,1.2717813396314233,1.4323033630844895,1.3392815236978421,1.2717813396314233,0.5114285714285715,0.5215311004784688,0.5451070336391437,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.10911619663238525,0.14277715981006622,0.11197062581777573,0,0,0,128,True,Softmax,5,False,9.982328300829714,23,116,0.22738496402548714,0.05,1.0,sortino,27,0.0,1,LSTM,Davi,Adam,0.0,,True,1,False,0.0,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE/1,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.009626951068639755,0.01029958575963974,0.01000957377254963,0,0,0,1.1276580769824294,1.05521269371214,0.9823119904465476,0.03732914720964719,0.007993542532036133,0.008554325879970796,0.7035739314562709,0.7891056084154978,0.6273056794666948,8.204208177944438e-06,7.649322997163764e-06,6.540004495390516e-06,1.6569624050868825,1.4805522359241914,1.4221684852532812,1.6569624050868825,1.4805522359241914,1.4221684852532812,0.5228571428571429,0.5435406698564593,0.540519877675841,1.121799462943714,1.0758446340134313,0.9594219078929055,0.03713505728014295,0.008139243628954752,0.008348146352271177,-0.7402681812427166,0.7942506214084208,0.6090319846969919,8.161551050580866e-06,7.788749884167229e-06,6.382374887057474e-06,1.6479682804369773,1.5107915327923045,1.387562302697013,1.6479682804369773,1.5107915327923045,1.387562302697013,0.5226373626373626,0.5435406698564593,0.5397553516819572,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.009626951068639755,0.01029958575963974,0.01000957377254963,0,0,0,256,True,Softmax,21,False,5.986811835059375,39,117,0.5110300679623947,0.001,1.0,sharpe,24,0.0,1,LSTM,Davi,Adam,0.0,,False,1,False,0.0,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE/10,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.01462235115468502,0.015083727426826954,0.016610361635684967,0,0,0,1.083877957471791,1.0622915279840797,0.9838095366762889,0.03681846661974007,0.0076938515563025976,0.00834908967071938,0.6908860402809854,0.7304566378655225,0.6474530178863883,8.091970685657158e-06,7.362537374452246e-06,6.3830960785316355e-06,1.585092108529424,1.4922587489042634,1.419532455825576,1.585092108529424,1.4922587489042634,1.419532455825576,0.5230769230769231,0.539712918660287,0.5344036697247706,1.0772683658212103,1.0826719901471502,0.9601644525620796,0.0365937046746455,0.00783000740604503,0.00814282348106388,-0.6734184307216123,0.7338596913950113,0.627406597371335,8.042572455966043e-06,7.492830053631605e-06,6.225400214880643e-06,1.5749908212297872,1.522298838664217,1.3839967044099686,1.5749908212297872,1.522298838664217,1.3839967044099686,0.5226373626373626,0.539712918660287,0.5336391437308868,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.01462235115468502,0.015083727426826954,0.016610361635684967,0,0,0,128,True,Softmax,1,False,2.0896138135171234,10,21,0.783242138049558,0.01,0.0,sharpe,5,0.0,1,LSTM,Davi,Adam,0.0,,False,1,False,0.0,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE/11,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285671710968,0.043201614171266556,0.04345765709877014,0.03744426742196083,0,0,0,1.1378981094549128,1.1079422536794443,1.005934966593573,0.03263216281339169,0.00852242364062255,0.008779480515575047,0.6450785114190966,0.7662688568126776,0.5676530957130835,7.171903915031139e-06,8.155429321169902e-06,6.7121410669534e-06,1.7012274745475848,1.5718454563721294,1.4795504935022858,1.7012274745475848,1.5718454563721294,1.4795504935022858,0.5193406593406593,0.5330143540669856,0.5328746177370031,1.1090906232225062,1.0924015754503482,0.9618961537102045,0.03180542021113736,0.008400555378093913,0.008390744833000553,-0.6679167657811875,0.7393603593673337,0.5245260506603419,6.9902022442060125e-06,8.038808974252548e-06,6.414942532875042e-06,1.655909974827409,1.5482918860525194,1.4120664246404206,1.655909974827409,1.5482918860525194,1.4120664246404206,0.5182417582417582,0.5311004784688995,0.5321100917431193,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285671710968,0.043201614171266556,0.04345765709877014,0.03744426742196083,0,0,0,256,True,Softmax,1,False,3.6311720387778843,37,159,0.261264026919965,0.005,1.0,sharpe,17,0.0,1,LSTM,Davi,Adam,0.0,,True,1,False,0.0,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE/12,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.13039620220661163,0.12718258798122406,0.12721335887908936,0,0,0,1.0668310256556175,1.7243836745027454,0.21338568158139354,0.048879711199589226,0.013350056588476534,0.0015712176271974166,0.4369745344892181,0.551235234974315,0.07053476021059482,1.074279367023939e-05,1.2775173768877067e-05,1.201236718040839e-06,1.5829977846464574,2.723449999228314,0.2896444984244901,1.5829977846464574,2.723449999228314,0.2896444984244901,0.5217582417582417,0.5598086124401914,0.5290519877675841,1.036590785600989,1.6962250831808239,0.15047276695919823,0.04749429914313376,0.013129891220480031,0.0011074153276529062,0.2604006931061099,0.5278127542525399,0.03684050117888694,1.0438307503985443e-05,1.2564489206200987e-05,8.466478040159832e-07,1.5361677615669753,2.674674530236505,0.2037069156103013,1.5361677615669753,2.674674530236505,0.2037069156103013,0.5197802197802198,0.5559808612440191,0.5237003058103975,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.13039620220661163,0.12718258798122406,0.12721335887908936,0,0,0,64,True,Softmax,1,False,3.280158329423566,39,154,0.3659477257143584,0.005,1.0,sharpe,16,0.0,1,LSTM,Davi,Adam,0.0,,True,1,False,0.0,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE/13,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.18349795043468475,0.18788212537765503,0.18459245562553406,0,0,0,0.8415924173343203,1.3063607724231674,0.6614625027083092,0.04576278433208354,0.016491865083550952,0.0058009967388274845,0.3168638411364426,0.4234228557010179,0.2850713390343172,1.0057754798260117e-05,1.5781689075168372e-05,4.4350127972687174e-06,1.2251638880385476,1.9185004727024426,0.9272740976122239,1.2251638880385476,1.9185004727024426,0.9272740976122239,0.5202197802197802,0.5511961722488038,0.5382262996941896,0.818991255406483,1.2798129087882415,0.6005777263129751,0.04453305457614763,0.016157463135638137,0.005261480813896502,0.05338002042287101,0.4053642426696831,0.25931167320055337,9.787484522230251e-06,1.546168721113697e-05,4.022538848544727e-06,1.19124155293089,1.8777614099299187,0.8395952164904601,1.19124155293089,1.8777614099299187,0.8395952164904601,0.5171428571428571,0.5464114832535886,0.5321100917431193,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.18349795043468475,0.18788212537765503,0.18459245562553406,0,0,0,64,True,Softmax,1,False,2.6147617458381904,41,39,0.4409744315160185,0.01,1.0,sharpe,20,0.0,1,LSTM,Davi,Adam,0.0,,False,1,False,0.0,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE/14,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285671710968,0.0714285746216774,0.0714285746216774,0.13729354739189148,0.16509473323822021,0.14549368619918823,0,0,0,0.970688348614054,2.0907628719608047,0.12859149987747734,0.037894922449888215,0.009903054058983719,0.000921866071403041,0.3320683113675316,0.4647757347790007,-0.01184649103890707,8.328554384590816e-06,9.476606755008343e-06,7.04790574467156e-07,1.4341155575494597,3.1500679924524,0.17330471603113845,1.4341155575494597,3.1500679924524,0.17330471603113845,0.5153846153846153,0.5722488038277512,0.5290519877675841,0.9452837877390419,2.1154765446809325,0.08632233153660517,0.036903078695060806,0.009967788081107872,0.0006188137998792642,0.06653990995888671,0.46792364896771216,-0.031103104420104253,8.110566746167212e-06,9.538553187663033e-06,4.730992353817e-07,1.3950717316229944,3.2011152695553906,0.11613391581038075,1.3950717316229944,3.2011152695553906,0.11613391581038075,0.514065934065934,0.5712918660287082,0.5237003058103975,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285671710968,0.0714285746216774,0.0714285746216774,0.13729354739189148,0.16509473323822021,0.14549368619918823,0,0,0,64,True,Softmax,1,False,4.630108521168428,42,159,0.2911759013621107,0.01,1.0,sharpe,5,0.0,1,LSTM,Davi,Adam,0.0,,True,1,False,0.0,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE/15,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.14910034835338593,0.1405027210712433,0.14242829382419586,0,0,0,0.9494583779165154,1.0909574253922738,0.321821370880256,0.056427039880221554,0.012178271660362913,0.0041441037808433645,0.41271521170708286,0.43060517406900384,0.2377280551721563,1.2401547226422317e-05,1.1653848478816185e-05,3.168275061806852e-06,1.394858053191474,1.561570915985346,0.42851378406715307,1.394858053191474,1.561570915985346,0.42851378406715307,0.5162637362637362,0.55311004784689,0.5382262996941896,0.9120118165757061,1.0565739604771989,0.27219324770130515,0.05420073478844825,0.011791161400321442,0.0035049385095483284,0.3399686664305907,0.39337431643478143,0.20241497100969771,1.1912249404054562e-05,1.1283408038585112e-05,2.679616597514012e-06,1.3377445347641541,1.5097671842471492,0.36177437160969694,1.3377445347641541,1.5097671842471492,0.36177437160969694,0.514065934065934,0.5483253588516747,0.5344036697247706,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.14910034835338593,0.1405027210712433,0.14242829382419586,0,0,0,64,True,Softmax,1,False,1.5015632876017873,44,151,0.29185746393319384,0.005,1.0,kelly,5,0.0,1,LSTM,Davi,Adam,0.0,,True,1,False,0.0,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE/16,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.15182404220104218,0.17654235661029816,0.16247543692588806,0,0,0,1.167045394067382,0.6364350554717616,0.28451869490128273,0.05277086899247434,0.006645353278967408,0.002631480943783809,0.44191502233974744,0.14376684443943466,0.12126802961035267,1.1597993185159196e-05,6.359189740638668e-06,2.0118355839325765e-06,1.7477012190099779,0.9381647853729068,0.3950044286027333,1.7477012190099779,0.9381647853729068,0.3950044286027333,0.5237362637362637,0.5358851674641149,0.52217125382263,1.135468577468856,0.6134939760989258,0.2196508336902171,0.05134145057967583,0.006404833223675205,0.002030427463696617,-0.25424708490371056,0.12204933210350001,0.08644326480209874,1.1283835292236444e-05,6.129027008301631e-06,1.5523145746916033e-06,1.6983006364071336,0.9032307173234385,0.30414305002418374,1.6983006364071336,0.9032307173234385,0.30414305002418374,0.5210989010989011,0.5320574162679426,0.5175840978593272,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.15182404220104218,0.17654235661029816,0.16247543692588806,0,0,0,64,True,Softmax,1,False,3.9404558159485283,44,158,0.3271125711880703,0.005,1.0,sharpe,30,0.0,1,LSTM,Davi,Adam,0.0,,True,1,False,0.0,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE/17,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.1326451599597931,0.15939955413341522,0.14965708553791046,0,0,0,0.9418922073658108,1.2045084696251043,0.5093469975079759,0.03583452875410979,0.008033678803985277,0.003990623637389488,0.3818627061753154,0.3934686630645007,0.18591163856502904,7.875720605298858e-06,7.687730912904568e-06,3.0509355025913524e-06,1.3635902164708975,1.7110714804591638,0.7393075249498585,1.3635902164708975,1.7110714804591638,0.7393075249498585,0.5281318681318682,0.5425837320574163,0.5336391437308868,0.8957226562111024,1.1581390895052412,0.44308909059392654,0.034079239538904835,0.00772328446187674,0.003471567558116602,-0.39628983545330937,0.36970029135043975,0.1487637178940162,7.48994275580326e-06,7.3907028343318075e-06,2.6541036377038248e-06,1.294158938512833,1.641805398514675,0.6412162612127674,1.294158938512833,1.641805398514675,0.6412162612127674,0.5243956043956044,0.5406698564593302,0.5305810397553516,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.1326451599597931,0.15939955413341522,0.14965708553791046,0,0,0,128,True,Softmax,1,False,2.8363915216612794,35,143,0.20997241732230904,0.01,0.0,sharpe,19,0.0,1,LSTM,Davi,Adam,0.0,,True,1,False,0.0,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
