,alpha_probs_bottom_train,alpha_probs_bottom_test,alpha_probs_bottom_validation,alpha_probs_top_train,alpha_probs_top_test,alpha_probs_top_validation,expected_value_bottom_train,expected_value_bottom_test,expected_value_bottom_validation,expected_value_top_train,expected_value_top_test,expected_value_top_validation,variance_top_train,variance_top_test,variance_top_validation,variance_bottom_train,variance_bottom_test,variance_bottom_validation,sharpe_of_average_train,sharpe_of_average_test,sharpe_of_average_validation,rets_of_average_train,rets_of_average_test,rets_of_average_validation,average_sharp_train,average_sharp_test,average_sharp_validation,average_rets_train,average_rets_test,average_rets_validation,sortino_of_average_train,sortino_of_average_test,sortino_of_average_validation,calmar_of_average_train,calmar_of_average_test,calmar_of_average_validation,percentage_of_positive_returns_train,percentage_of_positive_returns_test,percentage_of_positive_returns_validation,sharpe_of_average_transaction_cost_train,sharpe_of_average_transaction_cost_test,sharpe_of_average_transaction_cost_validation,rets_of_average_transaction_cost_train,rets_of_average_transaction_cost_test,rets_of_average_transaction_cost_validation,average_sharp_transaction_cost_train,average_sharp_transaction_cost_test,average_sharp_transaction_cost_validation,average_rets_transaction_cost_train,average_rets_transaction_cost_test,average_rets_transaction_cost_validation,sortino_of_average_transaction_cost_train,sortino_of_average_transaction_cost_test,sortino_of_average_transaction_cost_validation,calmar_of_average_transaction_cost_train,calmar_of_average_transaction_cost_test,calmar_of_average_transaction_cost_validation,percentage_of_positive_returns_transaction_cost_train,percentage_of_positive_returns_transaction_cost_test,percentage_of_positive_returns_transaction_cost_validation,alpha_probs_bottom_unnormalized_train,alpha_probs_bottom_unnormalized_test,alpha_probs_bottom_unnormalized_validation,alpha_probs_top_unnormalized_train,alpha_probs_top_unnormalized_test,alpha_probs_top_unnormalized_validation,expected_value_bottom_unnormalized_train,expected_value_bottom_unnormalized_test,expected_value_bottom_unnormalized_validation,expected_value_top_unnormalized_train,expected_value_top_unnormalized_test,expected_value_top_unnormalized_validation,variance_top_unnormalized_train,variance_top_unnormalized_test,variance_top_unnormalized_validation,variance_bottom_unnormalized_train,variance_bottom_unnormalized_test,variance_bottom_unnormalized_validation,seq_length,bias,last_layer_type,label_type,cross_sectional,train_transaction_cost_factor,batch_size,hidden_size,dropout,lr,grad_clip,loss_function_from_returns,epochs,early_stopping_dist,num_layers,type_net,type_dropout,optimizer_type,bootstrap_ratio,bootstrap_seed,input_normalization,type_train,using_swa,swa_decay,swa_epochs_or_steps,swa_start,swa_freq,swa_lr,shrinkage,momentum,adaptation,type_eval,number_of_days_per_epoch,removing_artificial_data,chosen_targets
./../Experiments/Bonds_TPE_swa/0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.1148386299610138,0.10705229640007019,0.11897877603769302,0,0,0,1.0134511384833194,0.6918768272026071,1.0205239259931098,0.04668039280460867,0.006262087294319724,0.009719575471769118,0.4961902803783746,0.6358639413547039,0.5556938407107832,1.0259426990023884e-05,5.992428032841842e-06,7.430868097682814e-06,1.5397064431882717,0.9809977778464096,1.5510056906610235,1.5397064431882717,0.9809977778464096,1.5510056906610235,0.5129670329670329,0.5301435406698565,0.5351681957186545,0.9947331587075458,0.6911666504643258,0.9712851836743793,0.045817493263696524,0.006249337716167378,0.009239898687711873,0.13298961843723603,0.6152554430647951,0.5183206194072418,1.0069778739273962e-05,5.980227479586009e-06,7.064142727608468e-06,1.5099584831776107,0.9799350611012204,1.4724681084007174,1.5099584831776107,0.9799350611012204,1.4724681084007174,0.512087912087912,0.5291866028708134,0.5298165137614679,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.1148386299610138,0.10705229640007019,0.11897877603769302,0,0,0,64,True,Softmax,1,False,4.888458825384507,12,120,0.22186252256421451,0.05,1.0,sharpe,17,0,1,LSTM,Davi,Adam,0.0,,False,1,True,0.0,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE_swa/1,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285671710968,0.15615727007389069,0.14368556439876556,0.15583626925945282,0,0,0,2.4984494134116777,1.0268858986242253,0.2560552111426762,0.11648614496405973,0.010660704416046274,0.002891585602097014,0.7698368377363989,0.5525134380925083,0.2418839387581301,2.560135054155159e-05,1.0201631020139972e-05,2.210692356343283e-06,4.161092734751823,1.5603003838794989,0.3328164893383775,4.161092734751823,1.5603003838794989,0.3328164893383775,0.5410989010989011,0.5521531100478468,0.5275229357798165,2.445630445238393,0.9861996697944392,0.1913201391711413,0.1140153820825476,0.010239276726275042,0.0021601023337640434,0.5746226341412387,0.5083282444147145,0.1821566223528555,2.5058325732428046e-05,9.798350934234494e-06,1.6514543836116524e-06,4.0628956431094165,1.4956955293271932,0.24819397122745748,4.0628956431094165,1.4956955293271932,0.24819397122745748,0.5386813186813186,0.5483253588516747,0.5206422018348624,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285671710968,0.15615727007389069,0.14368556439876556,0.15583626925945282,0,0,0,256,True,Softmax,1,False,6.18906376857809,17,93,0.25486298637495103,0.05,1.0,sharpe,29,0,1,LSTM,Davi,Adam,0.0,,False,1,True,0.0,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE_swa/10,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285671710968,0.0714285746216774,0.0714285746216774,0.013274162076413631,0.07058673352003098,0.1026524007320404,0,0,0,1.1155961056478632,1.012309420456584,0.8428992049531886,0.036966230925851586,0.007420950904147634,0.00829959508321329,0.6864412062104777,0.6481532363924211,0.6402807989182561,8.12444635733002e-06,7.10138842502166e-06,6.345256179826677e-06,1.6403201840703057,1.3890198866941428,1.1149791775912383,1.6403201840703057,1.3890198866941428,1.1149791775912383,0.5210989010989011,0.5550239234449761,0.5481651376146789,1.1106944520743445,1.0300649780169315,0.8200161493294502,0.036803582220234804,0.007539736568912221,0.00807046479328621,-0.30665445259893137,0.6499462184592376,0.6188866567803533,8.088699389062595e-06,7.21505891761935e-06,6.170080117191294e-06,1.6327999865930387,1.4144853216621085,1.0839129326814085,1.6327999865930387,1.4144853216621085,1.0839129326814085,0.5206593406593406,0.5550239234449761,0.5466360856269113,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285671710968,0.0714285746216774,0.0714285746216774,0.013274162076413631,0.07058673352003098,0.1026524007320404,0,0,0,128,True,Softmax,1,False,2.9163804314752597,26,160,0.787499155949125,0.01,1.0,sharpe,20,0,1,LSTM,Davi,Adam,0.0,,False,1,True,0.0,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE_swa/100,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.1369008719921112,0.18849749863147736,0.16151542961597443,0,0,0,0.7349060417014261,1.7503878580785206,0.8693751814180153,0.014029696633404823,0.013031104038844655,0.004751140309005081,0.45350976687695993,0.6254163421835984,0.37754904464541716,3.0834498095395216e-06,1.2469956018033157e-05,3.632370266823456e-06,1.0911718740971896,2.727580538215443,1.2989402911171368,1.0911718740971896,2.727580538215443,1.2989402911171368,0.5243956043956044,0.5741626794258373,0.5175840978593272,0.7254352741423351,1.7488705963558648,0.8472720093475038,0.013848087317983983,0.01301958928938174,0.0046300316825340655,-0.06440085612963511,0.6242054883510103,0.3671049064099367,3.0435356742821943e-06,1.2458937119025588e-05,3.5397795738028025e-06,1.0766415487493477,2.7247600026092935,1.2647934093334445,1.0766415487493477,2.7247600026092935,1.2647934093334445,0.5235164835164835,0.5732057416267943,0.5152905198776758,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.1369008719921112,0.18849749863147736,0.16151542961597443,0,0,0,64,True,Softmax,21,False,7.993832045015305,21,61,0.352678596886577,0.005,0.0,sharpe,23,0,1,LSTM,Davi,Adam,0.0,,True,1,True,0.0,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE_swa/101,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.1078333854675293,0.15242460370063782,0.15396064519882202,0,0,0,1.0599998883205222,1.4733824497619041,1.0764581242844553,0.019928897791786984,0.013461626045257653,0.010407429670525993,0.5051344357718324,0.8027059925839818,0.51371135441332,4.37997753665648e-06,1.2881938799289622e-05,7.956750512634551e-06,1.5989082455293557,2.181637959613238,1.6023696748042013,1.5989082455293557,2.181637959613238,1.6023696748042013,0.521978021978022,0.5578947368421052,0.5359327217125383,1.0490745192460735,1.4743352891541606,1.062962029512587,0.019723121858724667,0.01346873876622328,0.010276084040243369,-0.2929819791505932,0.79564800350879,0.4998018611493008,4.334752056862564e-06,1.2888745230835672e-05,7.856333364100438e-06,1.5816639133918018,2.182658359165859,1.5815196943153882,1.5816639133918018,2.182658359165859,1.5815196943153882,0.5213186813186813,0.5569377990430622,0.5351681957186545,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.1078333854675293,0.15242460370063782,0.15396064519882202,0,0,0,64,True,Softmax,21,False,7.9437521294362945,18,61,0.34834193534240865,0.005,0.0,sharpe,23,0,1,LSTM,Davi,Adam,0.0,,True,1,True,0.0,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE_swa/102,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.071428582072258,0.0714285746216774,0.0714285746216774,0.14155864715576172,0.16519106924533844,0.17562136054039001,0,0,0,0.6936342145535558,1.4679331274927805,0.740861690874508,0.014896467770952035,0.014731569770242493,0.006064068148091831,0.31731898000891695,0.7521169292811523,0.28462936823109947,3.273948960648799e-06,1.4097195952385163e-05,4.636137727898953e-06,1.0963762498614094,2.185923313222324,1.0962516029849592,1.0963762498614094,2.185923313222324,1.0962516029849592,0.5105494505494506,0.5655502392344498,0.514525993883792,0.6820788628185002,1.4612395034926977,0.7179070213683517,0.014647521917703545,0.014664221442711706,0.0058753495847535244,-0.1459802197262833,0.7416449008135721,0.26451272993602426,3.2192355863084718e-06,1.4032747792068616e-05,4.491857480698415e-06,1.0773580698068899,2.1753999270859845,1.061324274781754,1.0773580698068899,2.1753999270859845,1.061324274781754,0.5092307692307693,0.5655502392344498,0.5129969418960245,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.071428582072258,0.0714285746216774,0.0714285746216774,0.14155864715576172,0.16519106924533844,0.17562136054039001,0,0,0,64,True,Softmax,21,False,7.7115378672214305,19,67,0.31960131331687214,0.005,0.0,sharpe,22,0,1,LSTM,Davi,Adam,0.0,,True,1,True,0.0,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE_swa/103,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.10898471623659134,0.14647027850151062,0.14291270077228546,0,0,0,0.7723863116692133,2.1170265645803634,1.0214717511773512,0.01485599358432415,0.01407286505958909,0.007056982898215286,0.3698398686488865,0.666694435361023,0.3236633881298317,3.265053535016297e-06,1.3466856516353198e-05,5.395246864078964e-06,1.1452760373841901,3.3080983687257026,1.512594465992244,1.1452760373841901,3.3080983687257026,1.512594465992244,0.5074725274725275,0.5684210526315789,0.5359327217125383,0.7591047924900239,2.1104009806199593,1.0036661717747886,0.014600105779300356,0.014028012825362587,0.006933554191324634,-0.4835418985875539,0.6651653702265149,0.31120028529299326,3.2088144569890893e-06,1.3423935718050325e-05,5.300882409269598e-06,1.124947079134975,3.2960879036188917,1.4850842546703404,1.124947079134975,3.2960879036188917,1.4850842546703404,0.5068131868131868,0.5674641148325359,0.5344036697247706,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.10898471623659134,0.14647027850151062,0.14291270077228546,0,0,0,64,True,Softmax,21,False,7.9778716178047295,21,57,0.30081088989180765,0.005,0.0,sharpe,21,0,1,LSTM,Davi,Adam,0.0,,True,1,True,0.0,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE_swa/104,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.071428582072258,0.0714285746216774,0.0714285671710968,0.12575776875019073,0.12855862081050873,0.12337066233158112,0,0,0,0.8515763501723477,1.8674169024892249,0.625501771488363,0.010768297921740562,0.015065220216856587,0.004924123616482237,0.5103086768342766,0.7692987298821604,0.5412874225690538,2.3666588838990244e-06,1.441647867641779e-05,3.7646205018977347e-06,1.3273419803189608,2.8589051858880135,0.8601472387322371,1.3273419803189608,2.8589051858880135,0.8601472387322371,0.5145054945054945,0.5636363636363636,0.5397553516819572,0.8424924341913045,1.865651343600705,0.6039993091413244,0.010652705439168748,0.015050220277465571,0.004753446073727108,-0.13114550701893182,0.76744890243274,0.5204767301551806,2.3412539426744503e-06,1.4402124667431167e-05,3.6341330838892274e-06,1.3126286484411038,2.8555714659953355,0.8300053287103557,1.3126286484411038,2.8555714659953355,0.8300053287103557,0.5142857142857142,0.5626794258373206,0.5382262996941896,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.071428582072258,0.0714285746216774,0.0714285671710968,0.12575776875019073,0.12855862081050873,0.12337066233158112,0,0,0,64,True,Softmax,21,False,8.365371572281058,21,54,0.35839078172065153,0.005,0.0,sharpe,21,0,1,LSTM,Davi,Adam,0.0,,True,1,True,0.0,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE_swa/105,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285671710968,0.1276601403951645,0.10672298073768616,0.12758059799671173,0,0,0,0.7404952710921388,1.794794368328317,1.1197199688563388,0.011800572881315285,0.01569913375984469,0.009149177995279955,0.435009299971032,0.7615295782128166,0.4652023739117504,2.5935325013879753e-06,1.502309450702841e-05,6.994784400061128e-06,1.16453321658537,2.7043083858177424,1.671718430724501,1.16453321658537,2.7043083858177424,1.671718430724501,0.5087912087912088,0.5607655502392345,0.5328746177370031,0.7320364081552674,1.7896009325899758,1.0903736460957527,0.011665007379340401,0.01565363634909718,0.008901315729937477,-0.23993265203123104,0.7551970017797291,0.4422945640373639,2.5637378855693186e-06,1.4979556314925535e-05,6.8052872553038815e-06,1.150695860322728,2.6957003671519266,1.6256531348905157,1.150695860322728,2.6957003671519266,1.6256531348905157,0.5081318681318682,0.5607655502392345,0.5313455657492355,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285671710968,0.1276601403951645,0.10672298073768616,0.12758059799671173,0,0,0,64,True,Softmax,21,False,8.333856159573052,21,52,0.3527738218975604,0.005,0.0,sharpe,21,0,1,LSTM,Davi,Adam,0.0,,True,1,True,0.0,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE_swa/106,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.12775015830993652,0.13361428678035736,0.11398474127054214,0,0,0,0.7918612218220575,1.7210390392596624,1.0103044146056006,0.012738384546129392,0.013367758163338564,0.006635589093580264,0.43046520138983735,0.6991345037118494,0.552423042090709,2.7996449551932734e-06,1.2792113074965131e-05,5.073080346773902e-06,1.222494010543514,2.5739802791360744,1.4434155748655386,1.222494010543514,2.5739802791360744,1.4434155748655386,0.52,0.5722488038277512,0.5458715596330275,0.7843474709871894,1.714472690847372,0.9852994768661836,0.012616936154041473,0.013317000153859237,0.006468661839493836,-0.22960910160068781,0.6935514339100103,0.5335111776302648,2.772953000888236e-06,1.2743540817090179e-05,4.945460121937184e-06,1.210514660075327,2.563582366923273,1.4063967937754909,1.210514660075327,2.563582366923273,1.4063967937754909,0.5195604395604395,0.570334928229665,0.5451070336391437,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.12775015830993652,0.13361428678035736,0.11398474127054214,0,0,0,64,True,Softmax,21,False,8.045068073152814,21,53,0.3934168043650797,0.005,0.0,sharpe,24,0,1,LSTM,Davi,Adam,0.0,,True,1,True,0.0,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
