,alpha_probs_bottom_train,alpha_probs_bottom_test,alpha_probs_bottom_validation,alpha_probs_top_train,alpha_probs_top_test,alpha_probs_top_validation,expected_value_bottom_train,expected_value_bottom_test,expected_value_bottom_validation,expected_value_top_train,expected_value_top_test,expected_value_top_validation,variance_top_train,variance_top_test,variance_top_validation,variance_bottom_train,variance_bottom_test,variance_bottom_validation,sharpe_of_average_train,sharpe_of_average_test,sharpe_of_average_validation,rets_of_average_train,rets_of_average_test,rets_of_average_validation,average_sharp_train,average_sharp_test,average_sharp_validation,average_rets_train,average_rets_test,average_rets_validation,sortino_of_average_train,sortino_of_average_test,sortino_of_average_validation,calmar_of_average_train,calmar_of_average_test,calmar_of_average_validation,percentage_of_positive_returns_train,percentage_of_positive_returns_test,percentage_of_positive_returns_validation,sharpe_of_average_transaction_cost_train,sharpe_of_average_transaction_cost_test,sharpe_of_average_transaction_cost_validation,rets_of_average_transaction_cost_train,rets_of_average_transaction_cost_test,rets_of_average_transaction_cost_validation,average_sharp_transaction_cost_train,average_sharp_transaction_cost_test,average_sharp_transaction_cost_validation,average_rets_transaction_cost_train,average_rets_transaction_cost_test,average_rets_transaction_cost_validation,sortino_of_average_transaction_cost_train,sortino_of_average_transaction_cost_test,sortino_of_average_transaction_cost_validation,calmar_of_average_transaction_cost_train,calmar_of_average_transaction_cost_test,calmar_of_average_transaction_cost_validation,percentage_of_positive_returns_transaction_cost_train,percentage_of_positive_returns_transaction_cost_test,percentage_of_positive_returns_transaction_cost_validation,alpha_probs_bottom_unnormalized_train,alpha_probs_bottom_unnormalized_test,alpha_probs_bottom_unnormalized_validation,alpha_probs_top_unnormalized_train,alpha_probs_top_unnormalized_test,alpha_probs_top_unnormalized_validation,expected_value_bottom_unnormalized_train,expected_value_bottom_unnormalized_test,expected_value_bottom_unnormalized_validation,expected_value_top_unnormalized_train,expected_value_top_unnormalized_test,expected_value_top_unnormalized_validation,variance_top_unnormalized_train,variance_top_unnormalized_test,variance_top_unnormalized_validation,variance_bottom_unnormalized_train,variance_bottom_unnormalized_test,variance_bottom_unnormalized_validation,seq_length,bias,last_layer_type,label_type,cross_sectional,train_transaction_cost_factor,batch_size,hidden_size,dropout,lr,grad_clip,loss_function_from_returns,epochs,early_stopping_dist,num_layers,type_net,type_dropout,optimizer_type,bootstrap_ratio,bootstrap_seed,input_normalization,type_train,using_swa,swa_decay,swa_epochs_or_steps,swa_start,swa_freq,swa_lr,shrinkage,momentum,adaptation,type_eval,number_of_days_per_epoch,removing_artificial_data,chosen_targets
./../Experiments/Bonds_TPE_swa_decay4/0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.010219062678515911,0.011019863188266754,0.010844768956303596,0,0,0,1.1463309994065527,1.0957387514533679,0.939009403194336,0.038865247569527056,0.008329096109117098,0.008141893418532309,0.7098572965729014,0.7975901935207096,0.6044110160361039,8.541812652643309e-06,7.970426898676648e-06,6.224689157899319e-06,1.6880753899816234,1.5459840800619424,1.3524889497131694,1.6880753899816234,1.5459840800619424,1.3524889497131694,0.5204395604395604,0.5473684210526316,0.5420489296636085,1.1400425669928476,1.1155901291493124,0.9154536248970769,0.03865187484998355,0.008468813058879242,0.007931497889528452,-0.6401904251322936,0.8015821296269994,0.5851508213714689,8.494917549446934e-06,8.104127329071046e-06,6.063836306978939e-06,1.678381254396588,1.5753303520430226,1.317157888048385,1.678381254396588,1.5753303520430226,1.317157888048385,0.5202197802197802,0.5473684210526316,0.540519877675841,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.010219062678515911,0.011019863188266754,0.010844768956303596,0,0,0,256,True,Softmax,1,False,5.7739705111512345,32,104,0.45176710439778417,0.005,0.0,sharpe,27,0.0,1,LSTM,Davi,Adam,0.0,,False,1,True,0.2,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE_swa_decay4/1,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.002403643447905779,0.0025278760585933924,0.002378402277827263,0,0,0,1.0997126667512596,1.0784494234221975,0.9659399334320055,0.03610830619711963,0.008157299054332014,0.00838775469120816,0.6954073048761901,0.7871200894604105,0.6374324786513613,7.935891471894425e-06,7.80602780318853e-06,6.412656491749358e-06,1.6119289314676617,1.5166007946403903,1.3951331777696252,1.6119289314676617,1.5166007946403903,1.3951331777696252,0.5217582417582417,0.5416267942583732,0.5412844036697247,1.0970966943987015,1.1027563191438168,0.9473453509304516,0.03602228347158841,0.008329706428794345,0.008220537309928277,-0.6952730612493718,0.7964407726616735,0.6233135399984603,7.916985378371079e-06,7.971010936645306e-06,6.284814457131712e-06,1.6079566840003297,1.5524144087895773,1.367181755624126,1.6079566840003297,1.5524144087895773,1.367181755624126,0.5215384615384615,0.5416267942583732,0.540519877675841,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.002403643447905779,0.0025278760585933924,0.002378402277827263,0,0,0,256,True,Softmax,21,False,8.728574425509258,40,124,0.7801186178872204,0.005,1.0,sharpe,15,0.0,1,LSTM,Davi,Adam,0.0,,False,1,True,0.3,True,14,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE_swa_decay4/10,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.15190958976745605,0.18668238818645477,0.1591259390115738,0,0,0,0.6639864579602154,0.8115762098445016,0.5728866739533225,0.02631502460669584,0.00621239951737825,0.006248243086381616,0.2766121997722814,0.18473184353717853,0.16435927494856264,5.783521891581504e-06,5.944879920936124e-06,4.776944255643436e-06,0.9371747266246476,1.1181273520305313,0.9274909346226959,0.9371747266246476,1.1181273520305313,0.9274909346226959,0.5182417582417582,0.5588516746411484,0.5435779816513762,0.5728896529157582,0.749507060633677,0.4682515882668937,0.022704659633566795,0.005734615179407748,0.005107614967166566,-0.532275402974663,0.14586910337300013,0.08615082351135915,4.9900350843003954e-06,5.487670028141388e-06,3.904904409148751e-06,0.8059049535750226,1.0293678286662171,0.7543259715048969,0.8059049535750226,1.0293678286662171,0.7543259715048969,0.5127472527472527,0.5521531100478468,0.5359327217125383,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.15190958976745605,0.18668238818645477,0.1591259390115738,0,0,0,128,True,Softmax,5,False,1.0125348688441642,11,75,0.6778316901197996,0.05,1.0,sharpe,30,0.0,1,LSTM,Davi,Adam,0.0,,True,1,True,0.3,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE_swa_decay4/11,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.16539359092712402,0.17687682807445526,0.171438530087471,0,0,0,0.9915771489049883,0.8907966297327694,0.370185818047068,0.047128647821958136,0.008810914953179646,0.00420172081485051,0.31036402066854724,0.32649523207679304,0.19470909795752958,1.0357944576254534e-05,8.431497562851336e-06,3.212324781995804e-06,1.454910514299052,1.2639791986946922,0.484204727231197,1.454910514299052,1.2639791986946922,0.484204727231197,0.5272527472527473,0.5502392344497608,0.5481651376146789,0.9745085437104188,0.8918187547672337,0.34454276336648454,0.046317601285879736,0.008815317330276585,0.003910246128529948,-0.23905525825707347,0.30856544870056574,0.1660788925274437,1.0179692590303243e-05,8.435710363901038e-06,2.989484807744609e-06,1.4288782335930281,1.2652081415800236,0.45032989848770444,1.4288782335930281,1.2652081415800236,0.45032989848770444,0.5257142857142857,0.5492822966507177,0.5474006116207951,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.16539359092712402,0.17687682807445526,0.171438530087471,0,0,0,128,True,Softmax,5,False,7.272150130288287,13,132,0.31593981028695733,0.01,1.0,sharpe,19,0.0,1,LSTM,Davi,Adam,0.0,,True,1,True,0.3,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE_swa_decay4/12,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.08574943244457245,0.09126314520835876,0.09042821079492569,0,0,0,1.062735839692965,1.4734981835444734,0.576800451517016,0.038447541488036634,0.0072089389278463,0.0047469856503513045,0.49323756778690897,0.5394330684970975,0.29616509005825836,8.450009118249808e-06,6.898506151049091e-06,3.6291939222869295e-06,1.552765309976715,2.1306691195500393,0.8235329724444013,1.552765309976715,2.1306691195500393,0.8235329724444013,0.5237362637362637,0.5559808612440191,0.5382262996941896,1.0418375851300834,1.4650837482129686,0.5404209766079344,0.037691581340324326,0.007160362133048724,0.004446466612405109,-0.3297849010553259,0.5260451970432033,0.2686720580109817,8.283864030840512e-06,6.852021179950932e-06,3.399439306120114e-06,1.5208198983027823,2.117501006552643,0.7704803355128617,1.5208198983027823,2.117501006552643,0.7704803355128617,0.5230769230769231,0.5559808612440191,0.5359327217125383,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.08574943244457245,0.09126314520835876,0.09042821079492569,0,0,0,128,True,Softmax,5,False,6.586959798554276,43,108,0.3569276253041041,0.01,1.0,sharpe,15,0.0,1,LSTM,Davi,Adam,0.0,,True,1,True,0.3,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE_swa_decay4/13,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285671710968,0.0714285746216774,0.0714285746216774,0.14616072177886963,0.16999782621860504,0.1398126482963562,0,0,0,0.9052685099438731,1.7597608682902253,0.34335991334232635,0.03668090030869849,0.011146389374556316,0.003362886758793671,0.3670370627570699,0.3264555496797457,0.16713325336400686,8.061736331582085e-06,1.0666401315364897e-05,2.5710143415853746e-06,1.3142493745849282,2.729183326325433,0.4634350310265798,1.3142493745849282,2.729183326325433,0.4634350310265798,0.5103296703296704,0.584688995215311,0.5535168195718655,0.8766268482952736,1.731351068147272,0.30302237000079413,0.03551831731043831,0.010966617091956095,0.0029676592817707015,-0.19464481680115958,0.30457568972514404,0.13239174654402935,7.806223584711717e-06,1.0494370422924491e-05,2.2688526619042074e-06,1.2711245713987607,2.6816760563860638,0.4084427422184003,1.2711245713987607,2.6816760563860638,0.4084427422184003,0.509010989010989,0.5818181818181818,0.5481651376146789,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285671710968,0.0714285746216774,0.0714285746216774,0.14616072177886963,0.16999782621860504,0.1398126482963562,0,0,0,128,True,Softmax,5,False,2.432014479877438,42,94,0.6454233979045341,0.01,1.0,sharpe,21,0.0,1,LSTM,Davi,Adam,0.0,,True,1,True,0.3,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE_swa_decay4/14,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.14941568672657013,0.16454190015792847,0.13292856514453888,0,0,0,0.8731504158637765,1.4422200218002355,0.6187217114422842,0.043859535239342204,0.015724997912449676,0.005334466607958502,0.3444155702386689,0.4063342970280342,0.2566100224232349,9.639458294360925e-06,1.504784489229634e-05,4.078338385289375e-06,1.27200505307059,2.2033129848707023,0.8813887057975747,1.27200505307059,2.2033129848707023,0.8813887057975747,0.5193406593406593,0.5617224880382775,0.5237003058103975,0.8562139589780321,1.422090654323802,0.5795509618375339,0.04300882714495438,0.01550556607427177,0.004995601673840083,-0.22160000575868125,0.38434750417789687,0.23208010750843164,9.452489482407557e-06,1.48378622720304e-05,3.819267334740124e-06,1.2465352493086472,2.1710994639320886,0.8243134418413995,1.2465352493086472,2.1710994639320886,0.8243134418413995,0.5184615384615384,0.5578947368421052,0.5206422018348624,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.14941568672657013,0.16454190015792847,0.13292856514453888,0,0,0,128,True,Softmax,5,False,9.704237432657349,42,96,0.2199936608857869,0.01,1.0,sharpe,22,0.0,1,LSTM,Davi,Adam,0.0,,True,1,True,0.3,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE_swa_decay4/15,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.20443160831928253,0.1984534114599228,0.19619162380695343,0,0,0,0.6639038371373692,1.2785974638812563,0.8583828701374946,0.03305611258759632,0.013898933373091145,0.00948902019269951,0.2413438161689532,0.3436774811727344,0.23133404963624685,7.265079689581606e-06,1.3300414711092007e-05,7.254602593806962e-06,0.9503559367151552,1.9352590365686395,1.2420686098797775,0.9503559367151552,1.9352590365686395,1.2420686098797775,0.5079120879120879,0.5569377990430622,0.5389908256880734,0.6298740062406598,1.24085227954086,0.7934990086231466,0.03136183339748088,0.013489616696374352,0.008767440143842021,0.06447484190895163,0.3131622153861643,0.19826886047868622,6.892710636808986e-06,1.2908724111363013e-05,6.702935889787478e-06,0.9004696621672735,1.8753728487290915,1.1448180191857904,0.9004696621672735,1.8753728487290915,1.1448180191857904,0.5050549450549451,0.554066985645933,0.5305810397553516,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.20443160831928253,0.1984534114599228,0.19619162380695343,0,0,0,128,True,Softmax,1,False,3.0717098174029074,37,146,0.32635466458144563,0.01,1.0,sharpe,25,0.0,1,LSTM,Davi,Adam,0.0,,True,1,True,0.3,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE_swa_decay4/16,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.14848066866397858,0.12752178311347961,0.1437949240207672,0,0,0,0.9831136214371472,1.9775300565933416,0.9363823743462926,0.031987668545725524,0.006794180276772446,0.004191563533242534,0.3060507545347933,0.2942203287625218,0.3846674485664,7.030256823236378e-06,6.501607920356407e-06,3.204559276179307e-06,1.4335916684384746,3.1751743943038853,1.4040547713841107,1.4335916684384746,3.1751743943038853,1.4040547713841107,0.5206593406593406,0.5674641148325359,0.5206422018348624,0.9698760045143775,1.9950094933403972,0.8959546595888733,0.03155666093647155,0.006834965095308539,0.004008923986880185,-0.2813752603977706,0.2954787836906996,0.3662103559579215,6.935529876147593e-06,6.540636454840707e-06,3.064926595474148e-06,1.4134670029336915,3.2113976394190185,1.340919526396601,1.4134670029336915,3.2113976394190185,1.340919526396601,0.5197802197802198,0.5665071770334928,0.5198776758409785,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.14848066866397858,0.12752178311347961,0.1437949240207672,0,0,0,128,True,Softmax,5,False,3.1910032574200167,47,102,0.6266836389800522,0.01,1.0,sharpe,20,0.0,1,LSTM,Davi,Adam,0.0,,True,1,True,0.2,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE_swa_decay4/17,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285671710968,0.15499311685562134,0.1687777191400528,0.15225940942764282,0,0,0,0.8355434463971736,1.8620773188541204,0.6457824892307862,0.036300888719032996,0.012977795370788177,0.005188154295319139,0.27731360012107803,0.5678446960428792,0.1815348438946247,7.978217300886373e-06,1.241894293855328e-05,3.966478819051329e-06,1.2005980901685758,2.9183330981215505,0.9242548956895446,1.2005980901685758,2.9183330981215505,0.9242548956895446,0.5217582417582417,0.5779904306220096,0.5275229357798165,0.800059185852942,1.8297412253827225,0.5782655299118136,0.034757849006327626,0.01274875109181824,0.004644562780554679,0.1808120185667239,0.5520157487862056,0.1389531942566583,7.63908769369838e-06,1.2199761810352387e-05,3.550888975959234e-06,1.1479593444868827,2.863086505818826,0.825434846432694,1.1479593444868827,2.863086505818826,0.825434846432694,0.5206593406593406,0.5779904306220096,0.5214067278287462,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285671710968,0.15499311685562134,0.1687777191400528,0.15225940942764282,0,0,0,64,True,Softmax,5,False,3.0160116138011586,47,76,0.6378387250794954,0.01,1.0,sharpe,19,0.0,1,LSTM,Davi,Adam,0.0,,True,1,True,0.2,True,14,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE_swa_decay4/18,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.16794398427009583,0.16550910472869873,0.16426417231559753,0,0,0,0.9789199758296208,1.6660691314191605,0.6531601954148998,0.04749863874079048,0.018239283011855005,0.006548851448714122,0.3405027949091109,0.5337421951822222,0.292141306603608,1.0439261261712195e-05,1.7453859341488045e-05,5.006767162625476e-06,1.4392647678661175,2.6530315161782436,0.911619915042581,1.4392647678661175,2.6530315161782436,0.911619915042581,0.5123076923076924,0.5598086124401914,0.5298165137614679,0.9531478370058919,1.6358391117237197,0.6077984649768863,0.04624772116365298,0.0179097040842378,0.006093003748101499,0.26789731846400766,0.5043492307924198,0.2535828021670078,1.0164334321681975e-05,1.7138472807883063e-05,4.658259746254967e-06,1.3998292482155044,2.6017707413927584,0.8468396267666647,1.3998292482155044,2.6017707413927584,0.8468396267666647,0.5101098901098902,0.5569377990430622,0.5244648318042814,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.16794398427009583,0.16550910472869873,0.16426417231559753,0,0,0,64,True,Softmax,5,False,3.326854447025715,47,79,0.6057413294182561,0.01,1.0,sharpe,19,0.0,1,LSTM,Davi,Adam,0.0,,True,1,True,0.2,True,14,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE_swa_decay4/19,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285671710968,0.012148893438279629,0.017638906836509705,0.016340970993041992,0,0,0,1.076303343209082,1.1514126059676957,0.9604942338859768,0.035999419333649335,0.008264034657646661,0.008053154195541513,0.6632761037389022,0.7517268338426174,0.6133316580007989,7.911960293109745e-06,7.908167136503982e-06,6.1568457152458056e-06,1.5746792047910751,1.6234554337851537,1.3893507850605635,1.5746792047910751,1.6234554337851537,1.3893507850605635,0.5217582417582417,0.5502392344497608,0.5428134556574924,1.06811348582929,1.1663845669179311,0.9344316145855859,0.03572539316505367,0.008360909914132277,0.007829274812403466,-0.35946592270425404,0.7518171797497626,0.5898023008251357,7.851734761550258e-06,8.000870731227061e-06,5.985684107342099e-06,1.5621561299717248,1.6455620623280267,1.3500520581379636,1.5621561299717248,1.6455620623280267,1.3500520581379636,0.5215384615384615,0.5502392344497608,0.5412844036697247,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285671710968,0.012148893438279629,0.017638906836509705,0.016340970993041992,0,0,0,64,True,Softmax,1,False,1.1915653436431581,47,57,0.7537141411736024,0.05,1.0,sharpe,20,0.0,1,LSTM,Davi,Adam,0.0,,True,1,True,0.2,True,14,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments/Bonds_TPE_swa_decay4/2,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285671710968,0.0714285746216774,0.0714285746216774,0.13153047859668732,0.13010993599891663,0.12184256315231323,0,0,0,1.88588391900085,0.9511361442538789,0.7054868930702579,0.07824175875594402,0.008412222529969454,0.0068757541951389506,0.6545186155464534,0.49417609721647215,0.3414129954764119,1.7195990935372313e-05,8.049973712889427e-06,5.256692809739259e-06,3.0221422277093,1.3785184519320244,0.9949585096877596,3.0221422277093,1.3785184519320244,0.9949585096877596,0.5301098901098901,0.5492822966507177,0.5313455657492355,1.855193841797417,0.9252338809524028,0.6625026920747376,0.0769685577439171,0.008182314735240344,0.006456814191018634,-0.06665008074252753,0.47062591375629415,0.3058312057084662,1.691616653712464e-05,7.829966253818513e-06,4.936402286711494e-06,2.9688318673900183,1.3393739769106905,0.932755902655534,2.9688318673900183,1.3393739769106905,0.932755902655534,0.5279120879120879,0.5435406698564593,0.5290519877675841,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285671710968,0.0714285746216774,0.0714285746216774,0.13153047859668732,0.13010993599891663,0.12184256315231323,0,0,0,256,True,Softmax,1,False,4.503508786284924,50,59,0.2416326879074132,0.005,0.0,sharpe,15,0.0,1,LSTM,Davi,Adam,0.0,,True,1,True,0.2,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
