,alpha_probs_bottom_train,alpha_probs_bottom_test,alpha_probs_bottom_validation,alpha_probs_top_train,alpha_probs_top_test,alpha_probs_top_validation,expected_value_bottom_train,expected_value_bottom_test,expected_value_bottom_validation,expected_value_top_train,expected_value_top_test,expected_value_top_validation,variance_top_train,variance_top_test,variance_top_validation,variance_bottom_train,variance_bottom_test,variance_bottom_validation,sharpe_of_average_train,sharpe_of_average_test,sharpe_of_average_validation,rets_of_average_train,rets_of_average_test,rets_of_average_validation,average_sharp_train,average_sharp_test,average_sharp_validation,average_rets_train,average_rets_test,average_rets_validation,sortino_of_average_train,sortino_of_average_test,sortino_of_average_validation,calmar_of_average_train,calmar_of_average_test,calmar_of_average_validation,percentage_of_positive_returns_train,percentage_of_positive_returns_test,percentage_of_positive_returns_validation,sharpe_of_average_transaction_cost_train,sharpe_of_average_transaction_cost_test,sharpe_of_average_transaction_cost_validation,rets_of_average_transaction_cost_train,rets_of_average_transaction_cost_test,rets_of_average_transaction_cost_validation,average_sharp_transaction_cost_train,average_sharp_transaction_cost_test,average_sharp_transaction_cost_validation,average_rets_transaction_cost_train,average_rets_transaction_cost_test,average_rets_transaction_cost_validation,sortino_of_average_transaction_cost_train,sortino_of_average_transaction_cost_test,sortino_of_average_transaction_cost_validation,calmar_of_average_transaction_cost_train,calmar_of_average_transaction_cost_test,calmar_of_average_transaction_cost_validation,percentage_of_positive_returns_transaction_cost_train,percentage_of_positive_returns_transaction_cost_test,percentage_of_positive_returns_transaction_cost_validation,alpha_probs_bottom_unnormalized_train,alpha_probs_bottom_unnormalized_test,alpha_probs_bottom_unnormalized_validation,alpha_probs_top_unnormalized_train,alpha_probs_top_unnormalized_test,alpha_probs_top_unnormalized_validation,expected_value_bottom_unnormalized_train,expected_value_bottom_unnormalized_test,expected_value_bottom_unnormalized_validation,expected_value_top_unnormalized_train,expected_value_top_unnormalized_test,expected_value_top_unnormalized_validation,variance_top_unnormalized_train,variance_top_unnormalized_test,variance_top_unnormalized_validation,variance_bottom_unnormalized_train,variance_bottom_unnormalized_test,variance_bottom_unnormalized_validation,last_layer_type,cross_sectional,bias,train_transaction_cost_factor,shrinkage,dropout,type_dropout,label_type,batch_size,seq_length,hidden_size,num_layers,type_net,n_head,d_k,d_v,lr,grad_clip,momentum,adaptation,optimizer_type,type_train,using_swa,swa_decay,swa_epochs_or_steps,swa_start,swa_freq,swa_lr,loss_function_from_returns,epochs,early_stopping_dist,number_of_days_per_epoch,bootstrap_ratio,bootstrap_seed,input_normalization,type_eval,removing_artificial_data,chosen_targets
./../Experiments/Comdty_TPE/0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.03448275849223137,0.03448275849223137,0.03448275849223137,0.12904252111911774,0.1581176072359085,0.1485503762960434,0,0,0,0.9401694684442367,0.41558760067487255,0.4306685758772939,0.15718288389509566,0.011066010528735418,0.01869050617074233,0.1820027305229783,-0.08893979302984766,0.07904587754027821,3.4545688768152886e-05,1.0589483759555422e-05,1.4289377806377927e-05,1.3649727006526247,0.6071785505376596,0.6175505416680108,1.3649727006526247,0.6071785505376596,0.6175505416680108,0.5169230769230769,0.49282296650717705,0.540519877675841,0.9156336197861923,0.3440516444820659,0.4280788372388768,0.1530827045312685,0.009115819958125666,0.018553535016742104,0.17375391970615545,-0.13132843207401848,0.07036667533858512,3.364455044643262e-05,8.723272687201593e-06,1.4184659798732492e-05,1.3280959889597073,0.4996573285319901,0.6139330352253539,1.3280959889597073,0.4996573285319901,0.6139330352253539,0.514065934065934,0.48708133971291867,0.5298165137614679,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.03448275849223137,0.03448275849223137,0.03448275849223137,0.12904252111911774,0.1581176072359085,0.1485503762960434,0,0,0,Softmax,False,True,1.6164134093689815,0.0,0.6693445398919768,Davi,21,28,64,62,1,LSTM,5,21,19,0.01,1.0,0.9,0.99,Adam,1,False,0.0,True,14,1,,sharpe,30,0.0,70000,0.0,,False,new,False,0.0
./../Experiments/Comdty_TPE/1,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.03448275849223137,0.03448275849223137,0.03448275849223137,8.62862216308713e-05,7.704395102337003e-05,7.06507998984307e-05,0,0,0,0.4306370330509528,-0.7467403243512101,0.3309459149122467,0.03556453149109576,-0.011524175189175987,0.007293627821535448,0.21042460445558483,-0.3211078938508472,0.16698678584156934,7.81638054749357e-06,-1.1027918841316733e-05,5.576168059277866e-06,0.6019653691804575,-1.0161228602891907,0.4536889996634411,0.6019653691804575,-1.0161228602891907,0.4536889996634411,0.5101098901098902,0.48995215311004786,0.5160550458715596,0.43031867104121274,-0.8017693035305036,0.3498049877663294,0.035538240216941616,-0.012306474711280158,0.007701911479956602,0.21006682283133854,-0.3461615971518748,0.17662728188171545,7.810602245481673e-06,-1.1776530824191539e-05,5.888311529018809e-06,0.601512335959437,-1.0850797226832145,0.4799151086817605,0.601512335959437,-1.0850797226832145,0.4799151086817605,0.5098901098901099,0.48899521531100476,0.5160550458715596,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.03448275849223137,0.03448275849223137,0.03448275849223137,8.62862216308713e-05,7.704395102337003e-05,7.06507998984307e-05,0,0,0,Softmax,False,True,1.3517457709569973,0.0,0.7127920679969588,Davi,21,13,64,109,1,LSTM,1,25,23,0.05,0.0,0.9,0.99,Adam,1,False,0.0,True,10,1,,sharpe,27,0.0,70000,0.0,,True,new,False,0.0
./../Experiments/Comdty_TPE/10,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.03448275849223137,0.03448275849223137,0.03448276221752167,0.07757434248924255,0.08766639232635498,0.0905470997095108,0,0,0,0.8568298240916477,-0.3621956729428635,0.5616442816870176,0.10187743819705393,-0.006742121307550813,0.02009538860555391,0.24153379957750948,-0.3500494752105128,-0.036434670723805254,2.2390645757594273e-05,-6.451790724929007e-06,1.536344694614214e-05,1.2596014445718804,-0.4975699135189666,0.8149354733317971,1.2596014445718804,-0.4975699135189666,0.8149354733317971,0.5221978021978022,0.49569377990430624,0.5351681957186545,0.8362396931942107,-0.45082805950455346,0.5673378992456194,0.09943122626450646,-0.008345867140821844,0.02026286470107505,0.23295749235081806,-0.39777628407827165,-0.04090130627222915,2.1853016761429988e-05,-7.986475732843869e-06,1.549148677452221e-05,1.2282280661742622,-0.6149335482053754,0.8239649880406242,1.2282280661742622,-0.6149335482053754,0.8239649880406242,0.5189010989010989,0.49282296650717705,0.5328746177370031,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.03448275849223137,0.03448275849223137,0.03448276221752167,0.07757434248924255,0.08766639232635498,0.0905470997095108,0,0,0,Softmax,False,True,1.7927210449513784,0.0,0.7836389181222372,Davi,5,40,128,67,1,LSTM,4,38,16,0.01,1.0,0.9,0.99,Adam,1,False,0.0,True,14,1,,sharpe,25,0.0,70000,0.0,,False,new,False,0.0
./../Experiments/Comdty_TPE/11,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.03448275849223137,0.03448275849223137,0.03448275849223137,0.10743390023708344,0.12142638862133026,0.12093859910964966,0,0,0,0.8400948121275856,-0.28460452071002984,0.5486783119600915,0.11500861984902835,-0.006609394751946858,0.02414748899335997,0.1907597280011714,-0.40259576653439727,-0.05954651725493223,2.5276619747039193e-05,-6.324779666934794e-06,1.8461383022446457e-05,1.2324249329230819,-0.4002245812101055,0.8006180799071944,1.2324249329230819,-0.4002245812101055,0.8006180799071944,0.5241758241758242,0.47942583732057414,0.5412844036697247,0.8199453376400286,-0.3634653495678016,0.5530973374014052,0.11225089407791047,-0.008401367858391056,0.024313586506681927,0.1836876511702745,-0.4241278767701343,-0.06385417738631735,2.467052617096934e-05,-8.039586467359865e-06,1.8588368888900558e-05,1.2019019827713575,-0.5080362617953077,0.8076021168686632,1.2019019827713575,-0.5080362617953077,0.8076021168686632,0.5215384615384615,0.47368421052631576,0.5351681957186545,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.03448275849223137,0.03448275849223137,0.03448275849223137,0.10743390023708344,0.12142638862133026,0.12093859910964966,0,0,0,Softmax,False,True,2.0105289418440435,0.0,0.6015123769841964,Davi,21,36,256,79,1,LSTM,4,10,12,0.01,1.0,0.9,0.99,Adam,1,False,0.0,True,14,1,,sharpe,12,0.0,70000,0.0,,False,new,False,0.0
./../Experiments/Comdty_TPE/12,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.03448275849223137,0.03448275849223137,0.03448275849223137,0.09962272644042969,0.11153611540794373,0.11497955769300461,0,0,0,0.5175564679466397,-0.5362717147979452,0.09730199131157637,0.07278861908617769,-0.011102424603412368,0.00417775312427246,0.13589422150882208,-0.42573520036432777,-0.06414434165230004,1.599749870025883e-05,-1.0624329764030974e-05,3.194000859535525e-06,0.7403699002122628,-0.7318892587739312,0.1436715939850776,0.7403699002122628,-0.7318892587739312,0.1436715939850776,0.510989010989011,0.48899521531100476,0.5275229357798165,0.4976579766659467,-0.6265293501010931,0.09378873988645918,0.06999295340948672,-0.012897218459180104,0.004021962758592217,0.12879024743685102,-0.45431817242087924,-0.0718757541485159,1.5383066683403674e-05,-1.2341835846105363e-05,3.0748950753763092e-06,0.7112656537612528,-0.8488282718544207,0.1385328781110758,0.7112656537612528,-0.8488282718544207,0.1385328781110758,0.5092307692307693,0.4861244019138756,0.5229357798165137,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.03448275849223137,0.03448275849223137,0.03448275849223137,0.09962272644042969,0.11153611540794373,0.11497955769300461,0,0,0,Softmax,False,True,2.1069684357370337,0.0,0.6553310756329547,Davi,5,23,256,95,1,LSTM,4,22,14,0.05,1.0,0.9,0.99,Adam,1,False,0.0,True,14,1,,sharpe,7,0.0,70000,0.0,,False,new,False,0.0
./../Experiments/Comdty_TPE/13,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.03448276221752167,0.03448275849223137,0.03448275849223137,0.10873417556285858,0.12515996396541595,0.12237334996461868,0,0,0,0.9614201232478563,-0.3246753746209367,0.5388435542948242,0.13119270749083065,-0.007667206448798682,0.020060428417212346,0.24489973208494933,-0.3688427626828863,-0.04651760342516809,2.8833562085896846e-05,-7.3370396639221815e-06,1.533671897340394e-05,1.4207553624098632,-0.4486865735220228,0.7634426886412173,1.4207553624098632,-0.4486865735220228,0.7634426886412173,0.5153846153846153,0.47464114832535886,0.5374617737003058,0.9342853548907498,-0.4048916889825447,0.5342690025609462,0.12749381483099265,-0.009528791817312941,0.019856852116977495,0.23605303266827518,-0.3965173953192193,-0.05285895740802691,2.8020618644174204e-05,-9.118461069198981e-06,1.5181079600135706e-05,1.3791125963357422,-0.5567255078982791,0.7572130570937101,1.3791125963357422,-0.5567255078982791,0.7572130570937101,0.5125274725274725,0.46794258373205744,0.5321100917431193,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.03448276221752167,0.03448275849223137,0.03448275849223137,0.10873417556285858,0.12515996396541595,0.12237334996461868,0,0,0,Softmax,False,True,1.6186784889378654,0.0,0.36480160529515393,Davi,21,35,64,147,1,LSTM,5,10,18,0.01,0.0,0.9,0.99,Adam,1,False,0.0,True,14,1,,sharpe,15,0.0,70000,0.0,,False,new,False,0.0
./../Experiments/Comdty_TPE/14,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.03448275849223137,0.03448275849223137,0.03448275476694107,0.005197133403271437,0.005316522438079119,0.005158011801540852,0,0,0,0.42378615499703004,-0.7519359413653691,0.31460615434772343,0.0350580613374976,-0.01170752486824576,0.006903956478770643,0.20698195852678225,-0.31975641813903183,0.16509596796435452,7.705068425823648e-06,-1.1203373079661012e-05,5.278254188662571e-06,0.5924927571359857,-1.0264664056258206,0.4302025154294779,0.5924927571359857,-1.0264664056258206,0.4302025154294779,0.5096703296703297,0.4842105263157895,0.5191131498470948,0.4043637583267402,-0.8294341055656473,0.31046116625601267,0.03345136104624742,-0.012850701039112108,0.00680676725314105,0.19681926321056145,-0.35538201006321074,0.16317534008668938,7.35194748269174e-06,-1.2297321568528335e-05,5.203950499343308e-06,0.5648802468439873,-1.1253453404073679,0.42445748690758955,0.5648802468439873,-1.1253453404073679,0.42445748690758955,0.509010989010989,0.48325358851674644,0.518348623853211,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.03448275849223137,0.03448275849223137,0.03448275476694107,0.005197133403271437,0.005316522438079119,0.005158011801540852,0,0,0,Softmax,False,True,2.980308896322841,0.0,0.794768394042841,Davi,1,32,256,160,1,LSTM,4,27,10,0.005,1.0,0.9,0.99,Adam,1,False,0.0,True,14,1,,sharpe,23,0.0,70000,0.0,,False,new,False,0.0
./../Experiments/Comdty_TPE/15,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.03448276221752167,0.03448275849223137,0.03448275849223137,0.11041813343763351,0.12433202564716339,0.1267116665840149,0,0,0,0.8743411843944383,-0.045526379134756496,0.4432969403462227,0.11496491016279155,-0.001025735893615984,0.01833486001664147,0.16114599366389662,-0.41261332568335424,-0.08543592933250808,2.526701322259155e-05,-9.815654484363436e-07,1.4017477076943016e-05,1.3161229252845592,-0.06444903252432628,0.6544784613052046,1.3161229252845592,-0.06444903252432628,0.6544784613052046,0.5114285714285715,0.49186602870813395,0.5275229357798165,0.8401935489515725,-0.14594855157331527,0.4331583314263534,0.1104736647001476,-0.003272317167742133,0.01789258145791779,0.1494676912675282,-0.44305881979152856,-0.09493061013978245,2.427992630772475e-05,-3.131403988269984e-06,1.3679343622261305e-05,1.262915799250707,-0.20513603241154713,0.6396351039193728,1.262915799250707,-0.20513603241154713,0.6396351039193728,0.5076923076923077,0.4880382775119617,0.518348623853211,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.03448276221752167,0.03448275849223137,0.03448275849223137,0.11041813343763351,0.12433202564716339,0.1267116665840149,0,0,0,Softmax,False,True,1.0032924429335868,0.0,0.7440460065607906,Davi,5,24,128,62,1,LSTM,5,34,26,0.01,0.0,0.9,0.99,Adam,1,False,0.0,True,14,1,,sharpe,30,0.0,70000,0.0,,False,new,False,0.0
./../Experiments/Comdty_TPE/16,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.03448275849223137,0.03448275849223137,0.03448275849223137,0.11050423979759216,0.11628004908561707,0.13785284757614136,0,0,0,0.8481789448882433,-0.08347952854392726,0.39950245327027245,0.12144480852771881,-0.001775995254774408,0.020405905924927425,0.19611081767864363,-0.28218079983567634,0.006155874712029541,2.669116670938875e-05,-1.6995169902147409e-06,1.5600845508354292e-05,1.2491124881588003,-0.11720391943461836,0.5628281957812435,1.2491124881588003,-0.11720391943461836,0.5628281957812435,0.5167032967032967,0.4966507177033493,0.5512232415902141,0.8317708309646658,-0.16362861271922025,0.40535204827297644,0.11909718608904987,-0.003463287740829521,0.020686832296946636,0.19049712518519296,-0.31665432015174244,0.0012360402494701567,2.617520573385712e-05,-3.314150948162225e-06,1.5815621022130442e-05,1.2241457917391267,-0.2282387807753405,0.5713249850775396,1.2241457917391267,-0.2282387807753405,0.5713249850775396,0.5131868131868131,0.49282296650717705,0.5474006116207951,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.03448275849223137,0.03448275849223137,0.03448275849223137,0.11050423979759216,0.11628004908561707,0.13785284757614136,0,0,0,Softmax,False,True,2.240431862782521,0.0,0.6358990553397581,Davi,21,42,64,89,1,LSTM,4,22,19,0.01,0.0,0.9,0.99,Adam,1,False,0.0,True,14,1,,sharpe,13,0.0,70000,0.0,,False,new,False,0.0
./../Experiments/Comdty_TPE/17,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.03448275476694107,0.03448275849223137,0.03448275849223137,0.04284346103668213,0.05401894077658653,0.04878654703497887,0,0,0,0.819630416868512,-0.3197200624528845,0.21897709299170845,0.08092724468098747,-0.0051443120196640055,0.006163122760158834,0.26745751610127494,-0.40086170493462014,-0.05859799320429842,1.778620762219505e-05,-4.922786621688044e-06,4.711867553638257e-06,1.1667083670216276,-0.4469751015814529,0.2928078895491343,1.1667083670216276,-0.4469751015814529,0.2928078895491343,0.5167032967032967,0.49760765550239233,0.5336391437308868,0.8048349731214995,-0.4069532915725666,0.2235321188127831,0.07946762560016621,-0.006495472662833537,0.006283609175975724,0.2610774868104573,-0.4373179406430915,-0.05829338840018291,1.7465412219816742e-05,-6.215763313716302e-06,4.803982550440157e-06,1.1449155897372605,-0.5637689414615982,0.29897926652942497,1.1449155897372605,-0.5637689414615982,0.29897926652942497,0.516043956043956,0.4966507177033493,0.5321100917431193,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.03448275476694107,0.03448275849223137,0.03448275849223137,0.04284346103668213,0.05401894077658653,0.04878654703497887,0,0,0,Softmax,False,True,1.861761920654181,0.0,0.39859678765350054,Davi,21,31,64,22,1,LSTM,3,13,14,0.001,1.0,0.9,0.99,Adam,1,False,0.0,True,14,1,,sharpe,9,0.0,70000,0.0,,False,new,False,0.0
