,GOLD,SILVER,PLATINUM,PALLADIUM,COPPER,NICKEL,ALUMINUM,CRUDE,NATUGAS,CORN,WHEAT,SOYBEAN,COFFE,COCOA,SUGAR,COTTON,BRENT,HOG,CATTLE,GASOLINE,GASOIL,FEEDER,WHEATKANSAS,SUGARICE,SOYBEANOIL,SOYBEANMEAL,LEAD,ZINC,HEATINGOIL
2016-01-01,4.6863378968169415e-05,3.5835697670972512e-06,-3.519807912678625e-05,-3.136251475315211e-05,-1.810293852319447e-05,-0.0001045061879102716,-3.366606760702879e-05,-8.451432151659805e-06,-2.3499922946889306e-06,-1.1411832330173506e-05,-8.486063311784814e-06,-5.515919137001635e-06,-2.4139994352298112e-05,-0.025401151902340113,-8.781975913188671e-05,-6.453766585885794e-06,-2.3817429588916514e-06,-3.6173926115935667e-06,-6.331157940831294e-06,1.168100108431685e-05,7.093469512221687e-06,1.3884354865804456e-05,-3.2364636460734915e-05,-0.00012951951482432911,-1.1748336687434712e-05,-2.4083431841478215e-06,-1.5007597794352768e-05,-0.00011290482930538348,2.423124329741014e-06
2016-01-04,9.743971936910266e-06,1.3268100604386962e-05,2.2524015770658122e-05,-1.5586660491251528e-05,5.019071581763303e-06,6.55358303087845e-06,-1.0009559998811222e-05,-2.4161615828740336e-05,-6.590674420387505e-06,2.6750803158173668e-06,2.2640952393038598e-06,8.900953136585414e-07,-7.732660626747205e-06,-0.019393161414942527,-0.00014200689642271966,7.179209598661897e-07,-2.729284070071255e-05,1.6396023315599583e-05,5.950220763503708e-06,-2.0615793669276355e-05,1.2646664390726247e-06,2.990586204580274e-06,1.2973211460708377e-05,-0.000316063801696135,-5.816506181950156e-06,3.896133883378533e-06,-1.0108073699861849e-05,1.2888975143172842e-05,-1.0631565176816895e-06
2016-01-05,4.01463524176354e-05,4.531873845845933e-07,-5.924828710376209e-05,-5.476851417552396e-05,-2.2847414539059537e-06,3.00545183686513e-05,1.2426374626081182e-05,-6.0532102991948035e-05,-4.168575730839362e-05,2.610763828714384e-07,1.073528872749302e-06,4.878122095467312e-06,-2.703333575415261e-05,-0.023965478123594557,-5.112731003438216e-05,-6.527618487064163e-06,-8.449838868890954e-05,-2.715872033438261e-06,-4.476116082233497e-06,-5.999462527258426e-05,-4.519058991956454e-05,1.2329500543602335e-05,2.4187783652907193e-06,0.00031010156387652985,-4.5104770286065957e-07,4.4972528353748055e-06,-1.0804113455570327e-05,-7.471272767349485e-05,-4.244403431019167e-05
2016-01-06,4.6791056605356124e-05,3.5601863125858255e-05,1.0091604707175074e-05,-2.1415013274294018e-05,-1.9375212243114295e-05,-3.526710850170074e-05,-1.3721444148678432e-06,-2.209691394716297e-05,8.175678513381744e-05,-2.573517462074909e-07,4.29631055101321e-06,-1.206814230720719e-07,-1.2896318235003636e-05,-0.00577139802237192,0.00010700968625695429,-5.373889331702193e-06,-2.111740302630271e-05,-1.2037730700368432e-05,-5.146257993374484e-05,-1.0822088122730012e-05,6.801585204831271e-06,-0.00010910116329383921,4.392928206056158e-06,0.0004442205545472238,-2.7876441569818834e-06,-2.2007682835344583e-06,-6.465888881240216e-06,-0.00011507203144921457,-1.4684928860408554e-05
2016-01-07,-2.8983652157592757e-05,-3.976750308576713e-05,4.6416891604166864e-06,1.100932065615975e-06,0.0,1.8484666813186046e-05,1.7378395184454685e-05,-3.617768418890272e-06,5.820316399938329e-05,7.091466996390793e-06,7.271517502552762e-06,4.730693854701002e-07,4.8147960989511715e-06,0.017099757005853908,-8.063025316048683e-05,-2.85915173174362e-07,-6.442971102670592e-06,2.8394103849496093e-06,-1.021528028339289e-05,-1.2524715088247126e-05,-5.935509640782351e-05,-0.00012308078155876196,2.3720232068500813e-05,-0.0004465088036997027,3.939509733256043e-07,2.0544049795886974e-06,-1.492279803351456e-05,9.657310282725958e-06,-1.3035139894488729e-05
2016-01-08,-5.222296155837895e-06,-4.866814346002354e-06,-0.00012127016956952899,-3.6414791211898754e-05,-1.5958340024380738e-05,-9.949170219965572e-05,-3.9348482349530363e-05,-5.9033254658714196e-05,-4.9335027808021444e-05,-9.280970937854528e-06,-6.785853521749499e-06,-2.514969072901816e-06,-4.288496404458761e-05,-0.03548499123738704,-8.441391183675265e-05,8.926542140833417e-07,-8.082959932608765e-05,-1.43496750198438e-06,-8.909329740810608e-06,-9.722495369431867e-06,-2.5396764727486317e-05,7.815891710928503e-07,-2.4389951975756142e-05,-0.00030306107869050635,-6.02267900205136e-06,1.9504331697977216e-06,-8.796698730309296e-06,-7.792230422349648e-05,-3.4418312084559714e-05
2016-01-11,-3.4677735891153515e-05,-9.945516894702934e-06,-3.0316040223507887e-05,-9.21782642516041e-06,-4.638673403246884e-06,-1.131371646806838e-05,-1.0630423328198127e-05,-3.4651375220233455e-05,-9.248008444106186e-05,9.347153903797596e-06,9.061546084295232e-06,8.240727365084144e-06,-1.1231642723481442e-06,-0.013307417117532756,-2.5072107075082396e-05,7.095764061418988e-07,-3.8237491231109995e-05,2.112040699975011e-05,-8.570205596276385e-06,-1.7464555059634415e-05,-2.5394461295844304e-05,2.6577448726493405e-05,4.431740712428463e-05,-0.00015283830383023975,-1.1163696355132847e-06,8.543369675038839e-06,3.6121868486318036e-06,-3.446436390463625e-05,-2.2098259036975224e-05
2016-01-12,6.279007788880642e-06,3.4347249931862866e-05,5.138850258626916e-05,3.727585473680073e-05,-1.1983801663065227e-06,5.573887832136644e-05,1.8566367281653985e-05,-4.892730768616272e-06,8.476279271140337e-06,2.510088369764098e-06,-2.4275608742513765e-06,3.5044882300891514e-06,4.636112221991757e-06,0.01035360934220035,8.893578836985456e-05,4.394617182429317e-06,-2.8508653932869174e-05,-2.5701092722905797e-06,6.362271369631388e-06,-1.980664384640701e-05,-1.859498130395088e-05,1.9287708331604214e-05,-1.0941066689145484e-05,0.0007244292584079849,5.289790287760331e-06,-2.2251303132452565e-07,1.261178928770268e-05,6.999836950208452e-05,-1.7425591510374573e-05
2016-01-13,-4.670315709643351e-05,-3.4619391857648796e-05,-6.865265103142127e-05,1.0248936198089467e-05,8.267943365178664e-06,6.871744627795014e-05,3.0413054031337267e-05,2.7025170050840342e-05,-8.439709186434431e-05,0.0,-8.21463614237612e-06,1.3840624442744932e-06,1.1999376008374774e-05,-0.011402971137850233,7.786542876626928e-05,-1.9893091261010638e-06,2.6329414065623716e-05,7.096870888366997e-06,-1.859549593285519e-05,1.028447118140521e-05,-1.7062854507955328e-05,-7.267530690036927e-05,-1.8527323506089878e-05,0.0004257109928129246,3.0844455550332243e-06,-2.017605688302061e-06,1.8838002584925646e-06,3.785206542928111e-05,1.0079659466939347e-05
2016-01-14,6.10966910312806e-05,1.2877020976587118e-05,-3.431259871602084e-05,-9.855121168986055e-06,-1.3840514320948565e-05,-6.65756180230449e-05,-1.677470623425353e-05,-6.226862861838838e-05,-2.3566488210065607e-05,1.1686538975104672e-05,5.246848952432704e-06,-2.2891656307073497e-06,-1.2019710331868292e-05,0.015439269543433186,7.201919996686932e-06,-4.433256022473157e-06,-8.672858172744692e-05,-3.269200242910147e-06,-3.583052679252174e-05,-3.3941039036582254e-05,-1.8769550686240084e-05,-0.00016979144965506253,1.49929673271339e-05,-0.00011750900217270134,-1.4980553232088298e-06,-5.879100685953333e-06,-2.2761968775419943e-05,-8.075745250308181e-05,-4.2850187007644956e-05
2016-01-15,0.0,0.0,0.0,0.0,0.0,7.317486374224507e-05,1.4971531042363325e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8713338902003495e-05,0.0,0.0,0.0,-3.177235137952609e-05,0.0,0.0,-4.061278515503196e-05,0.0,0.0,6.802982854448207e-06,4.7584278296820454e-05,0.0
2016-01-18,-5.853358327562972e-06,2.0777850152757154e-05,1.3427243365144401e-05,2.470206652283355e-05,1.7233975988612302e-05,1.6396192129552132e-06,1.0033605772792598e-06,-2.960796010294304e-05,-9.368172110009086e-06,1.0881041543300532e-05,8.793421142706622e-07,3.626561663102844e-06,1.0290118653043614e-05,0.008881559002154774,-3.5924287584555084e-05,1.0511818284727956e-05,1.1045083337048054e-05,8.582691660912958e-06,2.0914462050631168e-05,4.436421643411632e-06,-5.508355125601373e-06,7.713273045868023e-05,-4.0553948137654026e-06,-0.0002225702367146958,6.361421608528333e-06,1.2013386522409723e-06,1.6973172387595472e-05,2.9959620828056646e-05,-2.7308273368091835e-05
2016-01-19,6.4192331980061e-05,3.5893377344875182e-06,-5.581838508627622e-05,-2.0208864383073802e-05,-9.654693173929708e-06,-1.5566759649366387e-05,-2.5363246047124784e-05,-4.5237987458155046e-05,7.642449005911703e-06,2.394334746473354e-06,-3.831392430279045e-06,-7.65992196707328e-06,-5.908765314263857e-05,-0.037034320778028096,-0.00014100691167268995,-5.125601211434073e-06,-4.307883307001313e-05,-1.3478876519974885e-06,-2.3622221558434466e-05,-7.937501068585709e-06,-0.00012409912228249995,-9.544111346381794e-05,-1.7094165676270774e-05,-0.0012775057146465639,-3.912522680167583e-06,-2.978130853835004e-06,-1.2481351919769167e-05,-6.609516816188068e-05,-4.810657675805541e-05
2016-01-20,-3.1672518730572796e-05,-5.854269398919389e-06,1.8613746704762679e-06,2.686817182349041e-05,2.1253939074385024e-05,7.026519746403483e-05,3.2191024390509615e-05,4.7840854254688874e-05,8.275845634764608e-06,-4.673014582379276e-06,4.831472343570173e-06,4.056622570892024e-06,4.2494259543102644e-05,0.013777411786738265,7.353405859275378e-05,1.4537546209470448e-06,6.116821755729116e-05,1.1573515050780895e-05,3.402835563877983e-05,1.2752083111856504e-05,6.941989068018429e-05,0.00016677994092760247,1.4251650269087611e-05,0.0017638206042185224,2.4431293480117074e-06,4.949163527788745e-06,1.8861040432199958e-05,7.615319779929195e-05,3.937901726947913e-05
2016-01-21,-6.319875482645281e-06,-3.431773231731218e-06,5.9924586203041035e-05,2.3289151890910533e-06,3.3597637697847398e-06,-1.356688813731325e-05,-2.335666371739593e-06,0.00011273349370272628,1.0056037593757319e-06,7.903751040043208e-06,5.757987360133754e-07,-1.7402179589284972e-06,2.460678897048894e-05,0.005302880774443323,-7.703382450147864e-06,4.1995292613179985e-06,0.00015600918149093692,-9.365030688514292e-06,1.9812878759880966e-05,4.9504015497943355e-05,0.00017349800390410508,0.0001239463732911499,-2.3016210005519665e-06,0.00024063230599895633,1.0467371596846453e-05,-7.706811548504104e-06,-1.1191715159414857e-06,2.3422165810756754e-05,0.00012916660757053834
