,alpha_probs_bottom_train,alpha_probs_bottom_test,alpha_probs_bottom_validation,alpha_probs_top_train,alpha_probs_top_test,alpha_probs_top_validation,expected_value_bottom_train,expected_value_bottom_test,expected_value_bottom_validation,expected_value_top_train,expected_value_top_test,expected_value_top_validation,variance_top_train,variance_top_test,variance_top_validation,variance_bottom_train,variance_bottom_test,variance_bottom_validation,sharpe_of_average_train,sharpe_of_average_test,sharpe_of_average_validation,rets_of_average_train,rets_of_average_test,rets_of_average_validation,average_sharp_train,average_sharp_test,average_sharp_validation,average_rets_train,average_rets_test,average_rets_validation,sortino_of_average_train,sortino_of_average_test,sortino_of_average_validation,calmar_of_average_train,calmar_of_average_test,calmar_of_average_validation,percentage_of_positive_returns_train,percentage_of_positive_returns_test,percentage_of_positive_returns_validation,sharpe_of_average_transaction_cost_train,sharpe_of_average_transaction_cost_test,sharpe_of_average_transaction_cost_validation,rets_of_average_transaction_cost_train,rets_of_average_transaction_cost_test,rets_of_average_transaction_cost_validation,average_sharp_transaction_cost_train,average_sharp_transaction_cost_test,average_sharp_transaction_cost_validation,average_rets_transaction_cost_train,average_rets_transaction_cost_test,average_rets_transaction_cost_validation,sortino_of_average_transaction_cost_train,sortino_of_average_transaction_cost_test,sortino_of_average_transaction_cost_validation,calmar_of_average_transaction_cost_train,calmar_of_average_transaction_cost_test,calmar_of_average_transaction_cost_validation,percentage_of_positive_returns_transaction_cost_train,percentage_of_positive_returns_transaction_cost_test,percentage_of_positive_returns_transaction_cost_validation,alpha_probs_bottom_unnormalized_train,alpha_probs_bottom_unnormalized_test,alpha_probs_bottom_unnormalized_validation,alpha_probs_top_unnormalized_train,alpha_probs_top_unnormalized_test,alpha_probs_top_unnormalized_validation,expected_value_bottom_unnormalized_train,expected_value_bottom_unnormalized_test,expected_value_bottom_unnormalized_validation,expected_value_top_unnormalized_train,expected_value_top_unnormalized_test,expected_value_top_unnormalized_validation,variance_top_unnormalized_train,variance_top_unnormalized_test,variance_top_unnormalized_validation,variance_bottom_unnormalized_train,variance_bottom_unnormalized_test,variance_bottom_unnormalized_validation,seq_length,bias,last_layer_type,label_type,cross_sectional,batch_size,hidden_size,dropout,lr,grad_clip,loss_function_from_returns,epochs,early_stopping_dist,num_layers,type_net,type_dropout,optimizer_type,bootstrap_ratio,bootstrap_seed,input_normalization,using_swag,epochs_or_steps,start,freq,new_lr,shrinkage,momentum,adaptation,type_eval,number_of_days_per_epoch,removing_artificial_data,chosen_targets
./../Experiments2/glauberfinal/0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.13536474108695984,0.08339542895555496,0.07423295825719833,0,0,0,0.8605959679855565,1.20792374483782,0.7224794867351171,0.22404989573507395,0.032792436805953444,0.05437640650710882,0.2649400027144967,0.6139813358716246,0.3895931508204131,5.2792152623721474e-05,4.372324907460459e-05,3.230921361087869e-05,1.3131969633253595,1.8292002710669435,0.992627558436539,1.3131969633253595,1.8292002710669435,0.992627558436539,0.5268614514608859,0.548,0.5341651812240048,0.8291901635976472,1.2225564395936295,0.6918088608751783,0.21587049294818295,0.03301330283730311,0.052050833737273164,0.24978184137395848,0.6192095650636942,0.3654738859008248,5.0864866387413505e-05,4.4017737116404145e-05,3.0927411608599625e-05,1.2633827895594592,1.857496667810495,0.9490349482346492,1.2633827895594592,1.857496667810495,0.9490349482346492,0.5247408105560791,0.5466666666666666,0.5335710041592394,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.13536474108695984,0.08339542895555496,0.07423295825719833,0,0,0,256,True,Softmax,1,False,13,40,0.4414937594999617,0.05,1,sharpe,50,15,1,LSTM,Davi,Adam,0.0,,False,True,True,10,2,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments2/glauberfinal/1,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.02210586704313755,0.024558397009968758,0.026966353878378868,0,0,0,0.3012271173733109,1.0601779774767555,0.5689653159452825,0.05563573713369434,0.027952334420836465,0.04090189925673604,0.20130656084939952,0.786216146257995,0.40813188130493266,1.3109268881643336e-05,3.726977922778197e-05,2.4302970443693427e-05,0.42171619737661437,1.55325255541717,0.765630548612288,0.42171619737661437,1.55325255541717,0.765630548612288,0.5266258246936852,0.5453333333333333,0.5490196078431373,0.29729717598685446,1.131770324388662,0.5677590406019543,0.054909414448225204,0.029629538719978348,0.04081475018371289,0.19871509321558153,0.8368052312784051,0.40680190736352934,1.2938127815321678e-05,3.9506051626637784e-05,2.425118846328752e-05,0.4161581211449112,1.6705099394484217,0.7639236247923922,0.4161581211449112,1.6705099394484217,0.7639236247923922,0.5256833176248822,0.5453333333333333,0.5490196078431373,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.02210586704313755,0.024558397009968758,0.026966353878378868,0,0,0,256,True,Softmax,1,False,16,47,0.40961250335372573,0.001,1,sharpe,50,15,1,LSTM,Davi,Adam,0.0,,False,True,True,10,1,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments2/glauberfinal/10,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.1293436735868454,0.09544743597507477,0.0701584592461586,0,0,0,0.8993297484739678,1.335404266835363,0.6819521837293476,0.20077343813376092,0.0313429373868063,0.04737190092418395,0.33485205867263995,0.6313394006778251,0.4585676397488602,4.730759616723867e-05,4.17905831824084e-05,2.8147297043484224e-05,1.324410065381831,2.0156822158978174,0.9256091926641096,1.324410065381831,2.0156822158978174,0.9256091926641096,0.5339302544769086,0.5346666666666666,0.5490196078431373,0.885289282865267,1.3838079824449172,0.6770326264654318,0.19763350497069443,0.0323104084369445,0.04702181179110891,0.3278166776556974,0.6686756324638647,0.45225872640389975,4.656774386679887e-05,4.3080544582592665e-05,2.793928210998747e-05,1.3029061817572625,2.099645255381174,0.9185963020158171,1.3029061817572625,2.099645255381174,0.9185963020158171,0.5336946277097078,0.5346666666666666,0.5490196078431373,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.1293436735868454,0.09544743597507477,0.0701584592461586,0,0,0,128,True,Softmax,1,False,45,75,0.4931923890289927,0.005,1,sharpe,50,15,1,LSTM,Davi,Adam,0.0,,False,True,True,10,2,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments2/glauberfinal/100,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.16950352489948273,0.1597391963005066,0.15990862250328064,0,0,0,0.835263662711546,1.1479628136884776,0.6997286295577911,0.22478021067409013,0.0376666042241763,0.060566012996534156,0.37766485915746933,0.4891282869853331,0.1928219042641429,5.2964234371840264e-05,5.0222138965568404e-05,3.5986935826817674e-05,1.2368224721450223,1.7098143118462543,0.9758049013730231,1.2368224721450223,1.7098143118462543,0.9758049013730231,0.5200282752120641,0.5346666666666666,0.5377302436125966,0.8012389074755641,1.1921594596788805,0.6743351419888062,0.21560782462861347,0.03884058848536445,0.058350107037984426,0.3626859204644676,0.4830277934457685,0.1737947571992088,5.08029747004273e-05,5.178745131381927e-05,3.4670295328570665e-05,1.1847149567573303,1.7869869515262453,0.9391330713410724,1.1847149567573303,1.7869869515262453,0.9391330713410724,0.5162582469368521,0.532,0.5359477124183006,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.16950352489948273,0.1597391963005066,0.15990862250328064,0,0,0,64,True,Softmax,1,False,18,53,0.30571899781294787,0.05,1,sharpe,50,15,1,LSTM,Davi,Adam,0.0,,False,True,True,10,2,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments2/glauberfinal/101,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.09646354615688324,0.06982873380184174,0.070032499730587,0,0,0,0.7281723126194927,1.3514818827840258,0.6497709440958508,0.16014144824045518,0.033524633861481704,0.04617977720279989,0.3331804254570937,0.8516626672328046,0.413999082824073,3.773361174374532e-05,4.469951181530894e-05,2.7438964469875154e-05,1.0486852685133181,2.0236850317985207,0.8752752363682538,1.0486852685133181,2.0236850317985207,0.8752752363682538,0.5315739868049011,0.5493333333333333,0.5395127748068924,0.7094553381282298,1.386512577943185,0.63069903043633,0.1560200762709711,0.0342134230060704,0.04482086819187685,0.32221212933329296,0.8719698762317314,0.400464871145719,3.676250619014399e-05,4.5617897341427205e-05,2.6631531902481783e-05,1.0209183323443154,2.0855841955897367,0.8488834876087078,1.0209183323443154,2.0855841955897367,0.8488834876087078,0.5313383600377003,0.548,0.5395127748068924,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.09646354615688324,0.06982873380184174,0.070032499730587,0,0,0,256,True,Softmax,1,False,27,52,0.32539768021754245,0.01,1,sharpe,50,15,1,LSTM,Davi,Adam,0.0,,False,True,True,10,2,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments2/glauberfinal/102,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285671710968,0.17302466928958893,0.20989975333213806,0.17666877806186676,0,0,0,1.2849484474072355,1.5843884812985516,0.651889990781633,0.33108234145852516,0.045346584133799814,0.04931399969468258,0.40335358716640834,0.669049700236772,0.20154605755961794,7.801186179512847e-05,6.0462112178399746e-05,2.930124759042339e-05,1.9444973279728224,2.3843003126941196,0.9112880633666819,1.9444973279728224,2.3843003126941196,0.9112880633666819,0.5414703110273327,0.5573333333333333,0.5353535353535354,1.2550476500731684,1.61797515659115,0.6346042456108704,0.32339355517923707,0.046161727935185276,0.04799814749701714,0.38593294400376443,0.6818247300234423,0.19245163888193198,7.62001779404423e-05,6.154897058024705e-05,2.851939839394957e-05,1.8966662077107845,2.4410258187255507,0.8862848979477255,1.8966662077107845,2.4410258187255507,0.8862848979477255,0.5377002827521207,0.5573333333333333,0.5347593582887701,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285671710968,0.17302466928958893,0.20989975333213806,0.17666877806186676,0,0,0,64,True,Softmax,1,False,16,49,0.3373964722262082,0.01,1,sharpe,50,15,1,LSTM,Davi,Adam,0.0,,False,True,True,10,2,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments2/glauberfinal/103,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.16508501768112183,0.17083558440208435,0.17650295794010162,0,0,0,1.0518893920947774,1.0893169417129864,0.6502383249968275,0.2983112369803175,0.031437113151316816,0.05812981329985454,0.3801022465663054,0.3573597305049859,0.10363765404904501,7.029011238933022e-05,4.191615086842242e-05,3.453940184186247e-05,1.6300018495317463,1.6134511906760587,0.8895961382851283,1.6300018495317463,1.6134511906760587,0.8895961382851283,0.5372290292177191,0.5453333333333333,0.5502079619726679,1.0253720396573074,1.1028168769038167,0.6360895313148134,0.29078701252042227,0.03173015477819531,0.056840339177590696,0.37978463346566843,0.34978972539296393,0.0901408736034753,6.851720370415227e-05,4.2306873037593754e-05,3.377322589280492e-05,1.5870182864554008,1.6361992043959517,0.869693623779901,1.5870182864554008,1.6361992043959517,0.869693623779901,0.5348727615457116,0.544,0.5496137849079026,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.16508501768112183,0.17083558440208435,0.17650295794010162,0,0,0,64,True,Softmax,1,False,10,49,0.36094021500831736,0.01,1,sharpe,50,15,1,LSTM,Davi,Adam,0.0,,False,True,True,10,2,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments2/glauberfinal/104,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.15780198574066162,0.12437637150287628,0.12718144059181213,0,0,0,0.9090710482255888,1.5797482306999706,0.763474763697388,0.23761066421469332,0.04654362189365535,0.0592250149274723,0.3120313636476822,0.6283232225664086,0.28550100080012386,5.5987432661332066e-05,6.205816252487379e-05,3.5190145530286566e-05,1.3431730498672503,2.480618348167318,1.0502484486579777,1.3431730498672503,2.480618348167318,1.0502484486579777,0.5367577756833176,0.556,0.5371360665478313,0.8631428640450153,1.552888949060104,0.7185129249953646,0.22559953878272043,0.04563572312971702,0.055700204222281974,0.29369526149969655,0.6166231881230758,0.26270401844358654,5.3157290005353546e-05,6.0847630839622695e-05,3.309578385162328e-05,1.272749532628204,2.4370826178297955,0.9865655170080113,1.272749532628204,2.4370826178297955,0.9865655170080113,0.5341658812441094,0.5546666666666666,0.5341651812240048,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.15780198574066162,0.12437637150287628,0.12718144059181213,0,0,0,64,True,Softmax,1,False,16,44,0.3353355619018637,0.05,1,sharpe,50,15,1,LSTM,Davi,Adam,0.0,,False,True,True,10,2,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments2/glauberfinal/105,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.11013314872980118,0.08344264328479767,0.07538038492202759,0,0,0,0.7358409523743739,1.2757182400247304,0.667518608951178,0.16109015890470627,0.030438159557171593,0.0482995402945654,0.3465563305735267,0.7521267920280473,0.35903815256338195,3.795715337057169e-05,4.0584212742895454e-05,2.8698479081738207e-05,1.0594877109303467,1.8964938399804,0.9064683457568101,1.0594877109303467,1.8964938399804,0.9064683457568101,0.5372290292177191,0.552,0.5389185977421271,0.7221516253923721,1.3271575762105066,0.65995341027311,0.15809055285014134,0.03149532625713005,0.047746904655580985,0.33883819088048284,0.8008161334675012,0.35195429722074956,3.725036589305874e-05,4.199376834284006e-05,2.8370115659881752e-05,1.0391538885965788,1.9833165937192894,0.895780803108754,1.0391538885965788,1.9833165937192894,0.895780803108754,0.5362865221489161,0.552,0.5389185977421271,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.11013314872980118,0.08344264328479767,0.07538038492202759,0,0,0,64,True,Softmax,1,False,89,46,0.3170235610428517,0.01,1,sharpe,50,15,1,LSTM,Davi,Adam,0.0,,False,True,True,10,2,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments2/glauberfinal/106,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.21032153069972992,0.2213672697544098,0.2043309211730957,0,0,0,1.0315451194487668,0.8661364538196035,1.117340028230864,0.3248135696091925,0.033642120645232615,0.10549507757822639,0.20402250888920062,0.3071611939268686,0.18233922274322908,7.65347713499511e-05,4.485616086031015e-05,6.268275554261818e-05,1.5749591005263524,1.3016419390375045,1.6055964498528292,1.5749591005263524,1.3016419390375045,1.6055964498528292,0.5381715362865221,0.5093333333333333,0.5412953060011884,0.9861833004489594,0.8454448930101031,1.0725768755972638,0.31053615086682174,0.03277566591503267,0.10114826324360013,0.1885282642157729,0.2901432997388224,0.1578136137047392,7.317062932771482e-05,4.370088788671024e-05,6.009997816019022e-05,1.5028594065854812,1.2699838463958548,1.5391602485616231,1.5028594065854812,1.2699838463958548,1.5391602485616231,0.5320452403393026,0.5053333333333333,0.5335710041592394,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.21032153069972992,0.2213672697544098,0.2043309211730957,0,0,0,64,True,Softmax,1,False,13,59,0.3532518928954439,0.05,1,sharpe,50,15,1,LSTM,Davi,Adam,0.0,,False,True,True,10,2,,0.0,0.9,0.99,new,70000,False,0.0
