,alpha_probs_bottom_train,alpha_probs_bottom_test,alpha_probs_bottom_validation,alpha_probs_top_train,alpha_probs_top_test,alpha_probs_top_validation,expected_value_bottom_train,expected_value_bottom_test,expected_value_bottom_validation,expected_value_top_train,expected_value_top_test,expected_value_top_validation,variance_top_train,variance_top_test,variance_top_validation,variance_bottom_train,variance_bottom_test,variance_bottom_validation,sharpe_of_average_train,sharpe_of_average_test,sharpe_of_average_validation,rets_of_average_train,rets_of_average_test,rets_of_average_validation,average_sharp_train,average_sharp_test,average_sharp_validation,average_rets_train,average_rets_test,average_rets_validation,sortino_of_average_train,sortino_of_average_test,sortino_of_average_validation,calmar_of_average_train,calmar_of_average_test,calmar_of_average_validation,percentage_of_positive_returns_train,percentage_of_positive_returns_test,percentage_of_positive_returns_validation,sharpe_of_average_transaction_cost_train,sharpe_of_average_transaction_cost_test,sharpe_of_average_transaction_cost_validation,rets_of_average_transaction_cost_train,rets_of_average_transaction_cost_test,rets_of_average_transaction_cost_validation,average_sharp_transaction_cost_train,average_sharp_transaction_cost_test,average_sharp_transaction_cost_validation,average_rets_transaction_cost_train,average_rets_transaction_cost_test,average_rets_transaction_cost_validation,sortino_of_average_transaction_cost_train,sortino_of_average_transaction_cost_test,sortino_of_average_transaction_cost_validation,calmar_of_average_transaction_cost_train,calmar_of_average_transaction_cost_test,calmar_of_average_transaction_cost_validation,percentage_of_positive_returns_transaction_cost_train,percentage_of_positive_returns_transaction_cost_test,percentage_of_positive_returns_transaction_cost_validation,alpha_probs_bottom_unnormalized_train,alpha_probs_bottom_unnormalized_test,alpha_probs_bottom_unnormalized_validation,alpha_probs_top_unnormalized_train,alpha_probs_top_unnormalized_test,alpha_probs_top_unnormalized_validation,expected_value_bottom_unnormalized_train,expected_value_bottom_unnormalized_test,expected_value_bottom_unnormalized_validation,expected_value_top_unnormalized_train,expected_value_top_unnormalized_test,expected_value_top_unnormalized_validation,variance_top_unnormalized_train,variance_top_unnormalized_test,variance_top_unnormalized_validation,variance_bottom_unnormalized_train,variance_bottom_unnormalized_test,variance_bottom_unnormalized_validation,seq_length,bias,last_layer_type,label_type,cross_sectional,batch_size,hidden_size,dropout,lr,grad_clip,loss_function_from_returns,epochs,early_stopping_dist,num_layers,type_net,type_dropout,optimizer_type,bootstrap_ratio,bootstrap_seed,input_normalization,using_swag,epochs_or_steps,start,freq,new_lr,shrinkage,momentum,adaptation,type_eval,number_of_days_per_epoch,removing_artificial_data,n_heads,d_model,d_k,d_v,chosen_targets
./../Experiments2/useless_san_diego_padres2/0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.05363799259066582,0.040531352162361145,0.04244392365217209,0,0,0,0.6519321865945678,0.9193863736987221,0.6703862078102233,0.11714244651399497,0.018683485124518194,0.038775699510816365,0.31010586191016565,0.5630128950682723,0.4291002483591629,2.7556444722181835e-05,2.4911313499357587e-05,2.2998635534292035e-05,0.924342524517502,1.3266462873712335,0.91840213275203,0.924342524517502,1.3266462873712335,0.91840213275203,0.5398729710656316,0.544,0.5438908659549229,0.6392114581494531,0.9768673209790881,0.6618794867052257,0.11484927072830149,0.019716994950187413,0.03828106320707092,0.3035910935496383,0.5967893113466598,0.4222333120893942,2.7017000877041043e-05,2.628932660024988e-05,2.2705256943695684e-05,0.90585203767698,1.4183489760715375,0.9063394820849487,0.90585203767698,1.4183489760715375,0.9063394820849487,0.5391672547635851,0.544,0.5421115065243179,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.0536738820374012,0.040637362748384476,0.04233908653259277,0,0,0,128,True,Softmax,1,False,35,65,0.8,0.001,1,kelly,22,0,1,LSTM,Variational,Adam,0.0,,True,True,True,10,2,,0.0,0.9,0.99,new,70000,False,3,32,16,16,0.0
./../Experiments2/useless_san_diego_padres2/1,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352590560913,0.05882352590560913,0.1708335131406784,0.1768709272146225,0.1812371462583542,0,0,0,0.4899042274400454,0.659873026385652,0.5128388252967574,0.12729080612706464,0.020362448713647077,0.04060686179145345,0.1508542758687935,0.20926554941222872,0.27493779532101537,2.9943732328173297e-05,2.7149931618196114e-05,2.4084734158631944e-05,0.7112654025764178,0.9669658810991477,0.7313183603066846,0.7112654025764178,0.9669658810991477,0.7313183603066846,0.5210538696777229,0.5053333333333333,0.5338078291814946,0.46431739567846314,0.673667534424068,0.489271257947051,0.12064286745580412,0.020707224471139797,0.038731670935904704,0.13926284737838504,0.26399417880248566,0.2565816553472886,2.8379879429735147e-05,2.7609632628186405e-05,2.2972521314296974e-05,0.6733852450520782,0.9896142099601594,0.6970145483095503,0.6733852450520782,0.9896142099601594,0.6970145483095503,0.5168195718654435,0.5053333333333333,0.5302491103202847,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352590560913,0.05882352963089943,0.17015404999256134,0.1898232400417328,0.17537064850330353,0,0,0,256,True,Softmax,1,False,15,44,0.8,0.05,1,kelly,35,0,1,LSTM,Variational,Adam,0.0,,True,True,True,10,1,,0.0,0.9,0.99,new,70000,False,3,32,16,16,0.0
./../Experiments2/useless_san_diego_padres2/10,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.1021515429019928,0.09263993054628372,0.08914435654878616,0,0,0,0.8287774871379038,1.4471332395216119,0.5850495636217419,0.21118733103810855,0.03648016145562352,0.04362174061413276,0.28657404304000345,0.5808215464791706,0.3001336807398949,4.967944743310012e-05,4.86402152741647e-05,2.5872918513720495e-05,1.3264491752886465,2.2420925446441284,0.8015536113388052,1.3264491752886465,2.2420925446441284,0.8015536113388052,0.5417548812044225,0.5373333333333333,0.5344009489916963,0.7872506168511321,1.4359686151757165,0.5315061547070566,0.2005854464099291,0.036004789423075056,0.039624965958661086,0.26710279011664334,0.5746618085768279,0.2728572070456931,4.718547316159234e-05,4.800638589743341e-05,2.3502352288648333e-05,1.2575647950043864,2.2312735666234356,0.7267394394795419,1.2575647950043864,2.2312735666234356,0.7267394394795419,0.5365796283227476,0.5373333333333333,0.5308422301304864,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882353335618973,0.10349960625171661,0.09220953285694122,0.09112461656332016,0,0,0,128,True,Softmax,1,False,28,77,0.8,0.05,1,sharpe,48,0,1,LSTM,Variational,Adam,0.0,,True,True,True,10,1,,0.0,0.9,0.99,new,70000,False,3,32,16,16,0.0
./../Experiments2/useless_san_diego_padres2/100,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352218031883,0.05882352963089943,0.05882352963089943,0.18094542622566223,0.17970161139965057,0.1771811842918396,0,0,0,1.0407310245155572,1.3633101191894772,0.5667264301973272,0.30922080466913504,0.043194879306431816,0.04728978909020909,0.2185495068772927,0.39192327210747824,0.19407445365042938,7.274072092898967e-05,5.759317240857574e-05,2.8048510729661382e-05,1.6790430110313876,2.1521708215951842,0.7640868828944424,1.6790430110313876,2.1521708215951842,0.7640868828944424,0.5466948953187485,0.528,0.5326215895610913,0.9929354253000479,1.3238584938709657,0.5047281165612627,0.29502555382073214,0.04183382492526274,0.042106381033275575,0.20258365570454953,0.38151215172058495,0.17142462537428943,6.940144761720351e-05,5.5778433233683656e-05,2.4974128726735212e-05,1.5985055338676,2.0882856789172735,0.678808795844803,1.5985055338676,2.0882856789172735,0.678808795844803,0.5330510468125147,0.52,0.5231316725978647,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.18091200292110443,0.17979981005191803,0.17719952762126923,0,0,0,128,True,Softmax,1,False,31,40,0.8,0.05,1,sharpe,34,0,1,LSTM,Variational,Adam,0.0,,True,True,True,10,2,,0.0,0.9,0.99,new,70000,False,3,32,16,16,0.0
./../Experiments2/useless_san_diego_padres2/101,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.058823537081480026,0.05882352963089943,0.05882352963089943,0.10401532053947449,0.08760340511798859,0.09713050723075867,0,0,0,0.8920774983839668,0.7834373739486988,0.8103295151770998,0.20309108710411972,0.017549702179170703,0.050033497012348646,0.2930581468835195,0.3784022320918943,0.42893449146160195,4.7774896989912895e-05,2.3399602905560943e-05,2.9675858251689596e-05,1.3493038539406181,1.1536522382378753,1.144694003767788,1.3493038539406181,1.1536522382378753,1.144694003767788,0.5403434486003293,0.5426666666666666,0.5427046263345195,0.8504324878080342,0.7778880155241992,0.7562409467612625,0.19360112794463247,0.017326278241565025,0.04668965747180862,0.2746152335192815,0.3770837569401111,0.40262247133678203,4.5542490695044085e-05,2.3101704322086715e-05,2.7692560778059675e-05,1.2838073870396873,1.1482201827799998,1.0654598512916487,1.2838073870396873,1.1482201827799998,1.0654598512916487,0.5332862855798636,0.5386666666666666,0.538552787663108,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.10417898744344711,0.08789996802806854,0.09697241336107254,0,0,0,128,True,Softmax,1,False,31,40,0.8,0.05,1,sharpe,41,0,1,LSTM,Variational,Adam,0.0,,True,True,True,10,2,,0.0,0.9,0.99,new,70000,False,3,32,16,16,0.0
./../Experiments2/useless_san_diego_padres2/102,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.11885131895542145,0.10178688168525696,0.11639361083507538,0,0,0,0.4489765770429056,0.6594796249708905,0.38778302957589583,0.10690082122745197,0.015250256005566913,0.02543888049364125,0.23381988094831063,0.28595872179059795,0.24587610942762986,2.5147217414126546e-05,2.033367467408922e-05,1.5088303970131226e-05,0.6135127918570815,0.9369679403451078,0.5220620239597021,0.6135127918570815,0.9369679403451078,0.5220620239597021,0.545989179016702,0.5546666666666666,0.5450771055753262,0.39844371728878963,0.6152853113497952,0.31778775944012516,0.09486928557807527,0.014166495022121597,0.020845851389962256,0.2075621628825834,0.26519954825938674,0.21256976857445697,2.2316933798653315e-05,1.888866002949546e-05,1.2364087419906435e-05,0.5435863071635059,0.8739853939616726,0.42669356117473933,0.5435863071635059,0.8739853939616726,0.42669356117473933,0.5361091507880499,0.5506666666666666,0.5409252669039146,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.119012251496315,0.10049831122159958,0.11653663963079453,0,0,0,128,True,Softmax,1,False,29,41,0.8,0.05,1,sharpe,34,0,1,LSTM,Variational,Adam,0.0,,True,True,True,10,2,,0.0,0.9,0.99,new,70000,False,3,32,16,16,0.0
./../Experiments2/useless_san_diego_padres2/103,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.058823537081480026,0.05882352963089943,0.05882352963089943,0.15635910630226135,0.14642232656478882,0.15021935105323792,0,0,0,1.1040823415750947,1.1610745832210454,0.5967240788469322,0.280353160406184,0.03068254333452468,0.04442047966222602,0.2884625101795551,0.3571940246044123,0.14645200670266406,6.594993187630769e-05,4.091005777936624e-05,2.6346666466326227e-05,1.7153734978432256,1.755053509845464,0.8366404936661398,1.7153734978432256,1.755053509845464,0.8366404936661398,0.5537520583392143,0.552,0.538552787663108,1.0502151906151773,1.0949211355175401,0.5449133963277952,0.2666787947259932,0.02891333870917792,0.04051264647532378,0.26953727943576816,0.32654581059093285,0.12306767740652906,6.273319094942206e-05,3.85511182789039e-05,2.4028853188211017e-05,1.6277019146383318,1.648961634085607,0.7627419307550497,1.6277019146383318,1.648961634085607,0.7627419307550497,0.5372853446247942,0.548,0.534994068801898,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.15708546340465546,0.1457393765449524,0.150749072432518,0,0,0,128,True,Softmax,1,False,31,38,0.8,0.05,1,sharpe,37,0,1,LSTM,Variational,Adam,0.0,,True,True,True,10,2,,0.0,0.9,0.99,new,70000,False,3,32,16,16,0.0
./../Experiments2/useless_san_diego_padres2/104,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882353335618973,0.14740672707557678,0.13637231290340424,0.13709212839603424,0,0,0,0.8675168197904416,0.9845495100295384,0.7790371128726067,0.24120227916972292,0.03135364525810964,0.058613125521401827,0.25756154874630693,0.47642039113998214,0.3803793295085984,5.6740126833621014e-05,4.180486034414617e-05,3.476460588457996e-05,1.323929338442573,1.508364600508328,1.0999403596177595,1.323929338442573,1.508364600508328,1.0999403596177595,0.5382262996941896,0.5426666666666666,0.534994068801898,0.8271974909877764,0.9702343507756824,0.7364279902961317,0.2299930813366574,0.03080439793483973,0.05535700117441082,0.24040695250089883,0.46966020644894874,0.3560212210551423,5.410328895240117e-05,4.1072530579786306e-05,3.283333402989965e-05,1.2603318562791785,1.4877384141680825,1.0381227098178967,1.2603318562791785,1.4877384141680825,1.0381227098178967,0.5332862855798636,0.54,0.5302491103202847,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.14120565354824066,0.1342875212430954,0.13775116205215454,0,0,0,128,True,Softmax,1,False,35,33,0.8,0.05,1,sharpe,34,0,1,LSTM,Variational,Adam,0.0,,True,True,True,10,2,,0.0,0.9,0.99,new,70000,False,3,32,16,16,0.0
./../Experiments2/useless_san_diego_padres2/105,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.1817714422941208,0.1782952845096588,0.18608781695365906,0,0,0,1.1753535486727853,1.6209568902341795,0.9264583765867663,0.3466424874533557,0.053415240008840015,0.07624246734657364,0.2742354109386777,0.535218634737645,0.323089163962299,8.154375145926974e-05,7.122032001178668e-05,4.522091776190606e-05,1.9217070798121647,2.5664033305473657,1.3340603291718893,1.9217070798121647,2.5664033305473657,1.3340603291718893,0.539402493530934,0.5506666666666666,0.5379596678529063,1.1198424662616229,1.5505437237986914,0.8640731541894211,0.33026565066626573,0.05105402822499642,0.07102281833099301,0.2550216505509647,0.4998578777067806,0.2976587812115355,7.769128456040126e-05,6.807203763332855e-05,4.2125040528465594e-05,1.8264531808499553,2.4460816074995093,1.2412868662118859,1.8264531808499553,2.4460816074995093,1.2412868662118859,0.5222300635144672,0.5493333333333333,0.5326215895610913,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.18188896775245667,0.1784311681985855,0.18626908957958221,0,0,0,128,True,Softmax,1,False,27,51,0.8,0.05,1,sharpe,38,0,1,LSTM,Variational,Adam,0.0,,True,True,True,10,2,,0.0,0.9,0.99,new,70000,False,3,32,16,16,0.0
./../Experiments2/useless_san_diego_padres2/106,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.00042384883272461593,0.00041792975389398634,0.000406265608035028,0,0,0,0.3361896011057585,0.940598768587929,0.5676108508001051,0.04930571081030231,0.019068550432166487,0.03206691452588657,0.2076184481010468,0.6939785532868293,0.40383311646359277,1.1598614634274833e-05,2.542473390955532e-05,1.9019522257346722e-05,0.4681246064900431,1.3613813036392424,0.7642339790558501,0.4681246064900431,1.3613813036392424,0.7642339790558501,0.5384615384615384,0.5386666666666666,0.5438908659549229,0.3331008400246383,1.0114254695743439,0.568819851815888,0.04884976987297606,0.02037095598357458,0.032134818503767454,0.20592814194505088,0.7422327913219157,0.404289140578768,1.1491359650194324e-05,2.716127464476611e-05,1.9059797451819363e-05,0.4637882138483122,1.4737134545935202,0.7658522580318512,0.4637882138483122,1.4737134545935202,0.7658522580318512,0.5382262996941896,0.5386666666666666,0.5438908659549229,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.0004238411202095449,0.00042209724779240787,0.0004033431177958846,0,0,0,64,True,Softmax,1,False,28,48,0.8,0.05,1,sharpe,38,0,1,LSTM,Variational,Adam,0.0,,True,True,True,10,2,,0.0,0.9,0.99,new,70000,False,3,32,16,16,0.0
