,alpha_probs_bottom_train,alpha_probs_bottom_test,alpha_probs_bottom_validation,alpha_probs_top_train,alpha_probs_top_test,alpha_probs_top_validation,expected_value_bottom_train,expected_value_bottom_test,expected_value_bottom_validation,expected_value_top_train,expected_value_top_test,expected_value_top_validation,variance_top_train,variance_top_test,variance_top_validation,variance_bottom_train,variance_bottom_test,variance_bottom_validation,sharpe_of_average_train,sharpe_of_average_test,sharpe_of_average_validation,rets_of_average_train,rets_of_average_test,rets_of_average_validation,average_sharp_train,average_sharp_test,average_sharp_validation,average_rets_train,average_rets_test,average_rets_validation,sortino_of_average_train,sortino_of_average_test,sortino_of_average_validation,calmar_of_average_train,calmar_of_average_test,calmar_of_average_validation,percentage_of_positive_returns_train,percentage_of_positive_returns_test,percentage_of_positive_returns_validation,sharpe_of_average_transaction_cost_train,sharpe_of_average_transaction_cost_test,sharpe_of_average_transaction_cost_validation,rets_of_average_transaction_cost_train,rets_of_average_transaction_cost_test,rets_of_average_transaction_cost_validation,average_sharp_transaction_cost_train,average_sharp_transaction_cost_test,average_sharp_transaction_cost_validation,average_rets_transaction_cost_train,average_rets_transaction_cost_test,average_rets_transaction_cost_validation,sortino_of_average_transaction_cost_train,sortino_of_average_transaction_cost_test,sortino_of_average_transaction_cost_validation,calmar_of_average_transaction_cost_train,calmar_of_average_transaction_cost_test,calmar_of_average_transaction_cost_validation,percentage_of_positive_returns_transaction_cost_train,percentage_of_positive_returns_transaction_cost_test,percentage_of_positive_returns_transaction_cost_validation,alpha_probs_bottom_unnormalized_train,alpha_probs_bottom_unnormalized_test,alpha_probs_bottom_unnormalized_validation,alpha_probs_top_unnormalized_train,alpha_probs_top_unnormalized_test,alpha_probs_top_unnormalized_validation,expected_value_bottom_unnormalized_train,expected_value_bottom_unnormalized_test,expected_value_bottom_unnormalized_validation,expected_value_top_unnormalized_train,expected_value_top_unnormalized_test,expected_value_top_unnormalized_validation,variance_top_unnormalized_train,variance_top_unnormalized_test,variance_top_unnormalized_validation,variance_bottom_unnormalized_train,variance_bottom_unnormalized_test,variance_bottom_unnormalized_validation,last_layer_type,cross_sectional,bias,train_transaction_cost_factor,shrinkage,dropout,type_dropout,label_type,batch_size,seq_length,hidden_size,num_layers,type_net,n_head,d_k,d_v,lr,grad_clip,momentum,adaptation,optimizer_type,type_train,using_swa,swa_decay,swa_epochs_or_steps,swa_start,swa_freq,swa_lr,loss_function_from_returns,epochs,early_stopping_dist,number_of_days_per_epoch,bootstrap_ratio,bootstrap_seed,input_normalization,type_eval,removing_artificial_data,chosen_targets
./../Experiments/glauber_input_normalization_no_importance2/0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.1797734498977661,0.17264002561569214,0.186575248837471,0,0,0,1.6240791206612548,1.1976319176250834,0.5425121924640532,0.4582183997087709,0.039903987044949324,0.04954677321735232,0.4460520914744222,0.3600550908387548,0.2803056042134585,0.00010796852019528063,5.320531605993244e-05,2.9439556278878372e-05,2.6504083391337923,1.8237441650532364,0.7656155315395609,2.6504083391337923,1.8237441650532364,0.7656155315395609,0.5438265786993403,0.5533333333333333,0.5300059417706476,1.5921987180561321,1.2036387855172763,0.5274130811742115,0.4492443168239034,0.03994927013633415,0.048108580784756355,0.43389401421440665,0.3659986227313647,0.26676577162094184,0.00010585398605652768,5.32656935151122e-05,2.8585015320710844e-05,2.5945170776870308,1.836772827472293,0.7441814241272133,2.5945170776870308,1.836772827472293,0.7441814241272133,0.5402921771913289,0.552,0.5252525252525253,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.1797734498977661,0.17264002561569214,0.186575248837471,0,0,0,Softmax,False,True,6.350995462349317,0.0,0.31122968978510906,Davi,1,37,128,51,1,LSTM,1,29,29,0.01,1,0.9,0.99,Adam,1,False,0.0,True,14,1,,sharpe,50,15,70000,0.0,,True,new,False,0.0
./../Experiments/glauber_input_normalization_no_importance2/1,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.12838950753211975,0.13197936117649078,0.12492338567972183,0,0,0,0.9122706709603579,1.0401185433611086,0.6383059585322001,0.22311630748777267,0.029385475371202785,0.051619163726317516,0.3245518066039158,0.4640554264332902,0.29393469686742135,5.257217424311327e-05,3.918063382827038e-05,3.06709231885428e-05,1.3440159226050308,1.5127951934644421,0.8656579523363183,1.3440159226050308,1.5127951934644421,0.8656579523363183,0.5391140433553252,0.552,0.5377302436125966,0.8968265392563091,1.1051612957026808,0.6214337463549067,0.21933546979080956,0.030943385858264102,0.05025306680401986,0.31719379802017994,0.47947303431279514,0.2845467717888795,5.168130767926709e-05,4.12578478110188e-05,2.9859219729067057e-05,1.3203494112695493,1.6210984757927276,0.8421394501852711,1.3203494112695493,1.6210984757927276,0.8421394501852711,0.5372290292177191,0.5506666666666666,0.5365418894830659,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.12838950753211975,0.13197936117649078,0.12492338567972183,0,0,0,Softmax,False,True,1.831160519270654,0.0,0.35174706315831133,Davi,1,50,128,63,1,LSTM,2,38,26,0.005,1,0.9,0.99,Adam,1,False,0.0,True,10,1,,sharpe,50,15,70000,0.0,,True,new,False,0.0
./../Experiments/glauber_input_normalization_no_importance2/10,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.16803184151649475,0.15825951099395752,0.16994082927703857,0,0,0,1.2891096263120747,1.3062013211946473,0.5029195438464588,0.36030608439411926,0.037320957938410025,0.04431638543407206,0.38423515041830136,0.44952057801679307,0.13569542749907573,8.489775786854836e-05,4.976127725121337e-05,2.6331779818224635e-05,2.029380021976123,1.9919535361417144,0.6883289309196229,2.029380021976123,1.9919535361417144,0.6883289309196229,0.5400565504241281,0.54,0.5401069518716578,1.2597221327297972,1.3250685375151399,0.4729663182951464,0.352086970065526,0.0376644898123662,0.0416734762434684,0.3722114755634471,0.4742082474370689,0.1198190439649001,8.296111453004855e-05,5.02193197498216e-05,2.4761423792910516e-05,1.9802691395541319,2.0277123307494698,0.6464488438154417,1.9802691395541319,2.0277123307494698,0.6464488438154417,0.5372290292177191,0.5373333333333333,0.5365418894830659,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.16803184151649475,0.15825951099395752,0.16994082927703857,0,0,0,Softmax,False,True,4.28472311237244,0.0,0.4205615654008983,Davi,1,21,256,37,1,LSTM,3,12,19,0.01,1,0.9,0.99,Adam,1,False,0.0,True,10,1,,sharpe,50,15,70000,0.0,,True,new,False,0.0
./../Experiments/glauber_input_normalization_no_importance2/100,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.1604338437318802,0.16242407262325287,0.17785078287124634,0,0,0,1.3125124946030395,1.3484323933920646,0.7644018751028934,0.3814464252007368,0.040753243135729034,0.06893980024155023,0.3796919990300079,0.5365872744431396,0.3218804824582852,8.987898803033384e-05,5.433765751430538e-05,4.0962448153030445e-05,2.1008677620992255,2.0819808423424435,1.0627374415215816,2.1008677620992255,2.0819808423424435,1.0627374415215816,0.5308671065032988,0.5453333333333333,0.5389185977421271,1.282498410014924,1.347349261671606,0.7370592955621024,0.3727470709920294,0.04060616290702936,0.06646619068113944,0.3674679329672682,0.519627788941866,0.3058942832518016,8.782918732140185e-05,5.414155054270581e-05,3.949268608505017e-05,2.049774405438945,2.081833159880144,1.0234359260905042,2.049774405438945,2.081833159880144,1.0234359260905042,0.5289820923656927,0.54,0.5371360665478313,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.1604338437318802,0.16242407262325287,0.17785078287124634,0,0,0,Softmax,False,True,8.179353111498546,0.0,0.45787496373608405,Davi,1,19,256,76,1,LSTM,2,31,13,0.01,1,0.9,0.99,Adam,1,False,0.0,True,10,1,,sharpe,50,15,70000,0.0,,True,new,False,0.0
./../Experiments/glauber_input_normalization_no_importance2/101,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.19713832437992096,0.19802260398864746,0.20043238997459412,0,0,0,1.3227839034191469,1.715104400368601,0.9501408693137923,0.38613913661138827,0.05768624738993986,0.08456762124014386,0.30451877059128274,0.48397242131514,0.3228386228134574,9.098471644943173e-05,7.69149965199198e-05,5.0248140962652335e-05,2.0940606255123977,2.655348889937859,1.363937512881068,2.0940606255123977,2.655348889937859,1.363937512881068,0.5407634307257304,0.556,0.5317884729649436,1.2920606595879292,1.7474106635612676,0.908161582968795,0.377177663350217,0.05837657623365851,0.0808277592906193,0.29328698594869523,0.5042735300679261,0.3072116203909236,8.887315347554594e-05,7.783543497821133e-05,4.80260007668564e-05,2.042391840023908,2.7216600427035025,1.3012572126220947,2.042391840023908,2.7216600427035025,1.3012572126220947,0.5374646559849199,0.552,0.5276292335115864,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.19713832437992096,0.19802260398864746,0.20043238997459412,0,0,0,Softmax,False,True,9.610124305847679,0.0,0.4631817716513505,Davi,1,12,256,79,1,LSTM,2,39,12,0.01,1,0.9,0.99,Adam,1,False,0.0,True,10,1,,sharpe,50,15,70000,0.0,,True,new,False,0.0
./../Experiments/glauber_input_normalization_no_importance2/102,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.18303194642066956,0.16728617250919342,0.17074820399284363,0,0,0,1.034179875719749,1.4438788865638146,0.9625553923296609,0.3082755118893934,0.05658261789367344,0.08401410102734144,0.26350951282920115,0.3707833283235128,0.3456387345952388,7.263796227365537e-05,7.544349052489791e-05,4.991925194732112e-05,1.6013479969496083,2.228943334904528,1.3692725000533215,1.6013479969496083,2.228943334904528,1.3692725000533215,0.5242695570216777,0.5426666666666666,0.5448603683897801,1.0089922044014685,1.460493542292771,0.94607693745795,0.30077682034209624,0.057017300682223146,0.08246108175836803,0.25297937298369366,0.3820742952918868,0.3328934732708401,7.087106982613011e-05,7.602306757629752e-05,4.899648351655855e-05,1.5604821234944073,2.260753336498521,1.3453919231322622,1.5604821234944073,2.260753336498521,1.3453919231322622,0.5212064090480678,0.5413333333333333,0.5424836601307189,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.18303194642066956,0.16728617250919342,0.17074820399284363,0,0,0,Softmax,False,True,9.006294338762133,0.0,0.46302886783231684,Davi,1,10,256,78,1,LSTM,2,39,12,0.01,1,0.9,0.99,Adam,1,False,0.0,True,10,1,,sharpe,50,15,70000,0.0,,True,new,False,0.0
./../Experiments/glauber_input_normalization_no_importance2/103,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.13092540204524994,0.1130056083202362,0.1235542967915535,0,0,0,1.1416077914708487,1.1948883062311653,0.6055017153148132,0.2891653628324713,0.03211396199945317,0.04492089584320775,0.38457173958312246,0.639073315183655,0.2376225272275842,6.813509963064827e-05,4.281861599927089e-05,2.669096603874495e-05,1.7718493865077856,1.8061555460397825,0.814061596740512,1.7718493865077856,1.8061555460397825,0.814061596740512,0.5362865221489161,0.5466666666666666,0.5490196078431373,1.120291940719459,1.232665346669738,0.5800065732058581,0.2837590165354955,0.03293590874768038,0.04302941345956894,0.37510755653427713,0.6585795189443546,0.22541248653675355,6.68612197303241e-05,4.391454499690718e-05,2.5567090587979166e-05,1.7368731208433752,1.873227617500787,0.7788759205909921,1.7368731208433752,1.873227617500787,0.7788759205909921,0.5339302544769086,0.5466666666666666,0.5478312537136066,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.13092540204524994,0.1130056083202362,0.1235542967915535,0,0,0,Softmax,False,True,9.799591667012194,0.0,0.45069995893851894,Davi,1,12,256,77,1,LSTM,2,37,16,0.01,1,0.9,0.99,Adam,1,False,0.0,True,10,1,,sharpe,50,15,70000,0.0,,True,new,False,0.0
./../Experiments/glauber_input_normalization_no_importance2/104,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.20394419133663177,0.19439634680747986,0.1990104764699936,0,0,0,1.4118618593554233,1.4843096803469396,0.9251565979287661,0.43746471011209354,0.05572861752898197,0.0845564414756162,0.3847372510023646,0.3076723051245588,0.36872022067113885,0.00010307839540812758,7.430482337197597e-05,5.0241498202980514e-05,2.2543166117193327,2.2962984434695968,1.348353069925189,2.2543166117193327,2.2962984434695968,1.348353069925189,0.5339302544769086,0.5333333333333333,0.5282234105763518,1.3828804184700128,1.4941935440584315,0.8921250558016868,0.42850954036544275,0.055890001819738674,0.08151926011156849,0.3736516703467615,0.3107285281115182,0.3532070377135277,0.00010096831771099027,7.45200024263182e-05,4.843687469493076e-05,2.205116755209703,2.3172613582107897,1.298323217801065,2.205116755209703,2.3172613582107897,1.298323217801065,0.5301602262016966,0.5333333333333333,0.5258467023172906,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.20394419133663177,0.19439634680747986,0.1990104764699936,0,0,0,Softmax,False,True,9.156098146962758,0.0,0.4738554865557474,Davi,1,13,256,79,1,LSTM,2,39,11,0.01,1,0.9,0.99,Adam,1,False,0.0,True,10,1,,sharpe,50,15,70000,0.0,,True,new,False,0.0
./../Experiments/glauber_input_normalization_no_importance2/105,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.1852535605430603,0.16321858763694763,0.18177983164787292,0,0,0,1.482291863698136,1.295390335580366,0.6064503206979847,0.422089279382101,0.04734375245824732,0.056232186121435684,0.40591544037854327,0.39749448685184907,0.2498365343997136,9.945553237090032e-05,6.31250032776631e-05,3.34118752949707e-05,2.392995681760907,1.9142509767184974,0.8546037617688386,2.392995681760907,1.9142509767184974,0.8546037617688386,0.5318096135721018,0.5506666666666666,0.5329768270944741,1.4497645933730383,1.331424487568172,0.5844707399622244,0.4128442608919693,0.04825802927719178,0.05415014020510568,0.39380974212525033,0.3912879527040575,0.23624325622856973,9.72771585513594e-05,6.434403903625572e-05,3.217477136369916e-05,2.336836974798574,1.9811556495952665,0.8230486264319044,2.336836974798574,1.9811556495952665,0.8230486264319044,0.529688972667295,0.5493333333333333,0.5300059417706476,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.1852535605430603,0.16321858763694763,0.18177983164787292,0,0,0,Softmax,False,True,8.487117896297839,0.0,0.4674155930633548,Davi,1,15,256,73,1,LSTM,2,35,14,0.01,1,0.9,0.99,Adam,1,False,0.0,True,10,1,,sharpe,50,15,70000,0.0,,True,new,False,0.0
./../Experiments/glauber_input_normalization_no_importance2/106,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.1846984624862671,0.17616482079029083,0.1921970695257187,0,0,0,1.3606909203064512,1.4879968300676922,0.7855890134379927,0.3903143839797803,0.048025375908450935,0.0705476349821965,0.3459743477421514,0.4562261550482166,0.2449007980264932,9.196851648910941e-05,6.403383454460123e-05,4.191778667985531e-05,2.183461372366892,2.341526832243193,1.0985855944266585,2.183461372366892,2.341526832243193,1.0985855944266585,0.5386427898209236,0.5413333333333333,0.5472370766488414,1.3265476698047993,1.4815392209756952,0.7456271763252429,0.3805273763847609,0.04770388965822539,0.06696019826749246,0.33364988427496606,0.4437529160850265,0.22850740276908876,8.966243552892575e-05,6.360518621096719e-05,3.978621406268119e-05,2.1250480913568155,2.33229176922719,1.0408822690766641,2.1250480913568155,2.33229176922719,1.0408822690766641,0.5353440150801131,0.5386666666666666,0.5448603683897801,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.1846984624862671,0.17616482079029083,0.1921970695257187,0,0,0,Softmax,False,True,9.631066453719892,0.0,0.4963533302446652,Davi,1,11,64,75,1,LSTM,3,28,13,0.01,1,0.9,0.99,Adam,1,False,0.0,True,10,1,,sharpe,50,15,70000,0.0,,True,new,False,0.0
